Games,Event,Team,Pos,Medal,As,athlete_id,NOC,Discipline,Nationality,Unnamed: 7
1984 Summer Olympics,"Basketball, Women (Olympic)",United States,1.0,Gold,Denise Curry,5198,USA,Basketball (Basketball),,
1988 Summer Olympics,"Light-Welterweight, Men (Olympic)",,=5,,Todd Foster,8670,USA,Boxing,,
1956 Summer Olympics,"Middleweight, Men (Olympic)",,=5,,Roger Rouse,8759,USA,Boxing,,
1996 Summer Olympics,"Lightweight Double Sculls, Women (Olympic)",Teresa Bell,2.0,Silver,Lindsay Burns,40442,USA,Rowing,,
1984 Summer Olympics,"Small-Bore Rifle, Three Positions, 50 metres, Women (Olympic)",,3,Bronze,Wanda Jewell,44579,USA,Shooting,,
1988 Summer Olympics,"Small-Bore Rifle, Three Positions, 50 metres, Women (Olympic)",,=13,,Wanda Jewell,44579,USA,Shooting,,
1984 Summer Olympics,"Air Rifle, 10 metres, Women (Olympic)",,1.0,Gold,Pat Spurgin,44591,USA,Shooting,,
1988 Summer Olympics,"Air Rifle, 10 metres, Women (Olympic)",,10.0,,Deena Wigger,44594,USA,Shooting,,
1932 Summer Olympics,"Rapid-Fire Pistol, 25 metres, Men (Olympic)",,12.0,,Thomas Carr,44631,USA,Shooting,,
1924 Summer Olympics,"Trap, Men (Olympic)",,=6,,Sam Sharman,44758,USA,Shooting,,
1924 Summer Olympics,"Trap, Team, Men (Olympic)",United States,1,Gold,Sam Sharman,44758,USA,Shooting,,
1964 Summer Olympics,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)",,1.0,Gold,Lones Wigger,44791,USA,Shooting,,
1964 Summer Olympics,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",,2.0,Silver,Lones Wigger,44791,USA,Shooting,,
1968 Summer Olympics,"Small-Bore Rifle, Prone, 50 metres, Open (Olympic)",,25.0,,Lones Wigger,44791,USA,Shooting,,
1972 Summer Olympics,"Free Rifle, Three Positions, 300 metres, Open (Olympic)",,1.0,Gold,Lones Wigger,44791,USA,Shooting,,
1972 Summer Olympics,"Small-Bore Rifle, Prone, 50 metres, Open (Olympic)",,7.0,,Lones Wigger,44791,USA,Shooting,,
1992 Summer Olympics,"Bantamweight, Freestyle, Men (Olympic)",,6.0,,Kendall Cross,60604,USA,Wrestling,,
1996 Summer Olympics,"Bantamweight, Freestyle, Men (Olympic)",,1.0,Gold,Kendall Cross,60604,USA,Wrestling,,
1972 Summer Olympics,"Featherweight, Freestyle, Men (Olympic)",,AC,,Gene Davis,60607,USA,Wrestling,,
1976 Summer Olympics,"Featherweight, Freestyle, Men (Olympic)",,3,Bronze,Gene Davis,60607,USA,Wrestling,,
1984 Summer Olympics,"Marathon, Women (Olympic)",,36.0,,Julie Brown,77770,USA,Athletics,,
1984 Summer Olympics,"Shot Put, Women (Olympic)",,9.0,,Lorna Griffin,77848,USA,Athletics,,
1984 Summer Olympics,"Discus Throw, Women (Olympic)",,12.0,,Lorna Griffin,77848,USA,Athletics,,
1948 Summer Olympics,"Shot Put, Men (Olympic)",,2.0,Silver,Jim Delaney,78314,USA,Athletics,,
1988 Summer Olympics,"Decathlon, Men (Olympic)",,9.0,,Dave Johnson,78612,USA,Athletics,,
1992 Summer Olympics,"Decathlon, Men (Olympic)",,3.0,Bronze,Dave Johnson,78612,USA,Athletics,,
1968 Summer Olympics,"200 metres, Men (Olympic)",,6,,Larry Questad,78924,USA,Athletics,,
1968 Summer Olympics,"4 × 100 metres Relay, Men (Olympic)",United States,DNS,,Larry Questad,78924,USA,Athletics,,
1996 Summer Olympics,"Javelin Throw, Men (Olympic)",,17 r1/2,,Todd Riech,78950,USA,Athletics,,
1920 Summer Olympics,"Long Jump, Men (Olympic)",,4.0,,Dink Templeton,79116,USA,Athletics,,
1920 Summer Olympics,Rugby (Rugby),USA,,,Dink Templeton,79116,USA,Athletics,,
1920 Summer Olympics,"Rugby, Men (Olympic)",United States,1.0,Gold,Dink Templeton,79116,USA,Athletics,,
1992 Summer Olympics,"Discus Throw, Men (Olympic)",,12.0,,Tony Washington,79168,USA,Athletics,,
1996 Summer Olympics,"Discus Throw, Men (Olympic)",,4.0,,Tony Washington,79168,USA,Athletics,,
2000 Summer Olympics,"Discus Throw, Men (Olympic)",,12.0,,Tony Washington,79168,USA,Athletics,,
1968 Winter Olympics,"Singles, Women (Olympic)",,17.0,,Sheila Johansen,81407,USA,Luge,,
1994 Winter Olympics,"15 kilometres, Women (Olympic)",,34,,Laura McCabe,81790,USA,Cross Country Skiing (Skiing),,
1994 Winter Olympics,"4 × 5 kilometres Relay, Women (Olympic)",United States,10,,Laura McCabe,81790,USA,Cross Country Skiing (Skiing),,
1998 Winter Olympics,"5 kilometres, Women (Olympic)",,75,,Laura McCabe,81790,USA,Cross Country Skiing (Skiing),,
1998 Winter Olympics,"30 kilometres, Women (Olympic)",,49,,Laura McCabe,81790,USA,Cross Country Skiing (Skiing),,
1998 Winter Olympics,"5/10 kilometres Pursuit, Women (Olympic)",,DNF,,Laura McCabe,81790,USA,Cross Country Skiing (Skiing),,
1998 Winter Olympics,"4 × 5 kilometres Relay, Women (Olympic)",United States,15,,Laura McCabe,81790,USA,Cross Country Skiing (Skiing),,
1984 Winter Olympics,"20 kilometres, Women (Olympic)",,37.0,,Kelly Milligan,81840,USA,Cross Country Skiing (Skiing),,
1964 Winter Olympics,"1,500 metres, Women (Olympic)",,15.0,,Judy Morstein,81876,USA,Speed Skating (Skating),,
1972 Winter Olympics,"5 kilometres, Women (Olympic)",,36.0,,Alison Owen,82008,USA,Cross Country Skiing (Skiing),,
1972 Winter Olympics,"10 kilometres, Women (Olympic)",,35.0,,Alison Owen,82008,USA,Cross Country Skiing (Skiing),,
1972 Winter Olympics,"3 × 5 kilometres Relay, Women (Olympic)",United States,11.0,,Alison Owen,82008,USA,Cross Country Skiing (Skiing),,
1980 Winter Olympics,"5 kilometres, Women (Olympic)",,22.0,,Alison Owen-Spencer,82008,USA,Cross Country Skiing (Skiing),,
1980 Winter Olympics,"10 kilometres, Women (Olympic)",,22.0,,Alison Owen-Spencer,82008,USA,Cross Country Skiing (Skiing),,
1980 Winter Olympics,"4 × 5 kilometres Relay, Women (Olympic)",United States,7.0,,Alison Owen-Spencer,82008,USA,Cross Country Skiing (Skiing),,
1976 Winter Olympics,"Singles, Women (Olympic)",,24.0,,Karen Roberts,82203,USA,Luge,,
1968 Winter Olympics,"Singles, Women (Olympic)",,14.0,,Kathleen Ann Roberts,82204,USA,Luge,,
1972 Winter Olympics,"Singles, Women (Olympic)",,15.0,,Kathleen Ann Homstad,82204,USA,Luge,,
1976 Winter Olympics,"Singles, Women (Olympic)",,21.0,,Kathleen Ann Homstad,82204,USA,Luge,,
