Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"James Taft ""Jimmer""•Fredette",Jimmer•Fredette,"25 February 1989 in Glens Falls, New York (USA)",,United States,150902,,Brigham Young University,,,,,,
Competed in Olympic Games,Male,Canyon•Barry,Canyon•Barry,"7 January 1994 in Fort Wayne, Indiana (USA)",,United States,150900,,College of Charleston,,,,,,
Competed in Olympic Games,Male,Kareem•Maddox,Kareem•Maddox,"9 December 1989 in Los Angeles, California (USA)",,United States,150904,,Princeton,,,,,,
Competed in Olympic Games,Male,Dylan•Travis,Dylan•Travis,"26 May 1993 in Omaha, Nebraska (USA)",,United States,150901,,Florida Southern College,,,,,,
Competed in Olympic Games,Female,Dearica Marie•Hamby,Dearica•Hamby,"6 November 1993 in Marietta, Georgia (USA)",,United States,150895,,,,,,,,
Competed in Olympic Games,Female,Cassidie Cierra•Burdick,Cierra•Burdick,"30 September 1993 in Charlotte, North Carolina (USA)",,United States,150894,,Tennessee,,,,,,
Competed in Olympic Games • Competed in Youth Olympic Games,Female,Hailey Ann•van Lith,Hailey•van Lith,"9 September 2001 in Wenatchee, Washington (USA)",,United States,2506196,175 cm / 70 kg,,,,,,,
Competed in Olympic Games,Female,Rhyne•Howard,Rhyne•Howard,"29 April 2000 in Cleveland, Tennessee (USA)",,United States,150897,,Kentucky,,,,,,
Competed in Olympic Games,Male,Brady Lee•Ellison,Brady•Ellison,"27 October 1988 in Glendale, Arizona (USA)",,United States,111530,181 cm / 86 kg,"Chula Vista Elite, Chula Vista (USA)",The Prospector,,,,,
Competed in Olympic Games,Female,Casey•Kaufhold,Casey•Kaufhold,"6 March 2004 in Lancaster, Pennsylvania (USA)",,United States,147091,,,,,,,,
Competed in Olympic Games • Competed in Youth Olympic Games,Female,Catalina•Gnoriega,Catalina•Gnoriega,"17 March 2003 in San Diego, California (USA)",,United States,2506187,170 cm / 56 kg,,,,,,,
Competed in Olympic Games,Female,Jennifer•Mucino-Fernandez,Jennifer•Mucino-Fernandez,"18 December 2002 in Boston, Massachusetts (USA)",,United States,147092,,,,,,,,
Competed in Olympic Games,Male,Paul Wojciech•Juda,Paul•Juda,"7 July 2001 in Deerfield, Illinois (USA)",,United States,152720,,University of Michigan,,,,,,
Competed in Olympic Games,Male,"Frederick Nathaniel ""Fred""•Richard",Fred•Richard,"23 April 2004 in Stoughton, Massachusetts (USA)",,United States,152719,,University of Michigan,,,,,,
