Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"Peter Waller ""Pete""•Lash, Jr.","Pete•Lash, Jr.","11 August 1959 in Anchorage, Alaska (USA)",,United States,32995,193 cm / 93 kg,,,,,,,
Competed in Olympic Games,Female,Diana Lynn•Olson,Diana•Olson,"27 February 1969 in Anchorage, Alaska (USA)",,United States,40497,178 cm / 73 kg,,,,,,,
Competed in Olympic Games,Female,Kristen Joy•Thorsness,Kristen•Thorsness,"10 March 1960 in Anchorage, Alaska (USA)",,United States,40518,175 cm / 69 kg,Pioneer Valley Rowing Association,,,,,,
Competed in Olympic Games,Male,"Joseph Brian ""Joe""•Amlong",Joe•Amlong,"17 December 1936 in Haines, Alaska (USA)","1 July 2019 in Vero Beach, Florida (USA)",United States,40532,186 cm / 86 kg,"Vesper Boat Club, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Male,"Donald Gene ""Don""•Clary, Jr.",Don•Clary,"29 July 1957 in Anchorage, Alaska (USA)",,United States,78233,175 cm / 74 kg,"adidas, Herzogenaurach (GER)",,,,,,
Competed in Olympic Games,Female,Barbara Ann•Britch (-Craig),Barbara•Britch,"30 March 1951 in Anchorage, Alaska (USA)",,United States,80729,167 cm / 59 kg,Nordic Ski Club,,,,,,
Competed in Olympic Games,Female,Wendy Lee•Burge,Wendy•Burge,"1 October 1957 in Adah, Alaska (USA)",,United States,80754,158 cm / 47 kg,"LAFSC, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Female,"Susan Daphne ""Sue""•Forbes",Sue•Forbes,"25 July 1961 in Anchorage, Alaska (USA)",,United States,81074,,,,,,,,
Competed in Olympic Games,Female,Megan C.•Gerety (-Moe),Megan•Gerety,"14 October 1971 in Anchorage, Alaska (USA)",,United States,81134,168 cm / 66 kg,Alyeska Ski Club,,,,,,
Competed in Olympic Games,Female,Hilary Kirsten•Lindh,Hilary•Lindh,"10 May 1969 in Juneau, Alaska (USA)",,United States,81684,175 cm / 72 kg,,,,,,,
Competed in Olympic Games,Female,"Marguerite ""Margie""•Mahoney-Richter",Margie•Mahoney,"12 May 1952 in Anchorage, Alaska (USA)",,United States,81744,158 cm / 52 kg,Anchorage Nordics,,,,,,
