Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"Velvet James ""Jim""•Barnes",Jim•Barnes,"13 April 1941 in Tuckerman, Arkansas (USA)","14 September 2002 in Silver Spring, Maryland (USA)",United States,5680,201 cm / 109 kg,"UTEP Miners, El Paso (USA)",Bad News,,,,,
Competed in Olympic Games,Male,Gordon C.•Carpenter,Gordon•Carpenter,"24 September 1919 in Saddle, Arkansas (USA)","8 March 1988 in Lakewood, Colorado (USA)",United States,5832,200 cm / 100 kg,"Phillips 66ers, Bartlesville (USA)",Shorty,,,,,
Competed in Olympic Games,Male,"Scotty Maurice ""Scottie""•Pippen",Scottie•Pippen,"25 September 1965 in Hamburg, Arkansas (USA)",,United States,6872,200 cm / 102 kg,"Chicago Bulls, Chicago (USA)",Pip,,,,,
Competed in Olympic Games,Male,"John ""Johnny""•Tate",Johnny•Tate,"29 January 1955 in Marion, Arkansas (USA)","9 April 1998 in Knoxville, Tennessee (USA)",United States,8785,193 cm / 104 kg,,Big John,,,,,
Competed in Olympic Games,Male,"Charles Dexter ""Chuck""•Walker, Jr.",Chuck•Walker,"10 May 1957 in Marion, Arkansas (USA)",,United States,8796,183 cm / 71 kg,,White Chocolate,,,,,
Competed in Olympic Games,Male,"Robert Chamberlain•Mitchell, II",Robert•Mitchell,"10 August 1949 in Monticello, Arkansas (USA)",,United States,11131,183 cm / 73 kg,"US Navy, (USA)",,,,,,
Competed in Olympic Games,Male,James Black•Freeman,James•Freeman,"20 February 1891 in Little Rock, Arkansas (USA)","16 July 1951 in St. Louis, Missouri (USA)",United States,14363,179 cm,"St. Louis Cycling Club, St. Louis (USA)",,,,,,
Competed in Olympic Games,Male,"Raymond Henry ""Benny""•Bass",Benny•Bass,"15 January 1910 in Chambersville, Arkansas (USA)","10 March 1997 in Los Angeles, California (USA)",United States,31285,167 cm / 59 kg,"US Navy, (USA)",Ben,,,,,
Competed in Olympic Games,Male,William Camielle•Long,William•Long,"3 October 1935 in Little Rock, Arkansas (USA)",19 March 2010,United States,40757,175 cm / 61 kg,"US Navy, (USA)",,,,,,
Competed in Olympic Games,Male,"Louis Kelley•McMillan, Jr.",Louis•McMillan,"8 February 1929 in Little Rock, Arkansas (USA)","13 September 2012 in Destin, Florida (USA)",United States,40788,,"US Navy, (USA)",,,,,,
Competed in Olympic Games,Male,"Huelet Leo ""Joe""•Benner",Joe•Benner,"1 November 1917 in Paragould, Arkansas (USA)","12 December 1999 in Tampa, Florida (USA)",United States,44615,178 cm / 100 kg,,,,,,,
Competed in Olympic Games,Male,John Keith•Boles,John•Boles,"31 January 1888 in Fort Smith, Arkansas (USA)","16 July 1952 in San Antonio, Texas (USA)",United States,44619,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,"Randolph Wayne ""Randy""•Stewart",Randy•Stewart,"28 October 1951 in Nashville, Arkansas (USA)",,United States,44772,180 cm / 85 kg,"US Army, (USA)",,,,,,
