Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,Sherry Lynn•Block (-Bryant),Sherry•Block,"10 February 1971 in Denver, Colorado (USA)",,United States,2205,162 cm / 64 kg,,,,,,,
Competed in Olympic Games,Male,"Joseph William ""Joe""•Kleine",Joe•Kleine,"4 January 1962 in Colorado Springs, Colorado (USA)",,United States,6410,211 cm / 122 kg,"Arkansas Razorbacks, Fayetteville (USA)",,,,,,
Competed in Olympic Games,Male,"Edward Patrick Francis ""Eddie""•Eagan",Eddie•Eagan,"26 April 1898 in Denver, Colorado (USA)","14 June 1967 in New York, New York (USA)",United States,8658,179 cm,"Yale Bulldogs, New Haven (USA)",,,,,,
Competed in Olympic Games,Male,Maurice Emmett•Frilot,Maurice•Frilot,"29 November 1940 in Denver, Colorado (USA)","30 October 2021 in Parker, Colorado (USA)",United States,8672,150 cm / 68 kg,"US Marine Corps, (USA)",,,,,,
Competed in Olympic Games,Female,Linda L.•Brenneman (Barnhizer-),Linda•Brenneman,"13 October 1965 in Wheat Ridge, Colorado (USA)",,United States,13074,,,,,,,,
Competed in Olympic Games,Female,Alison Kerry•Dunlap,Alison•Dunlap,"27 July 1969 in Denver, Colorado (USA)",,United States,13100,168 cm / 56 kg,,,,,,,
Competed in Olympic Games,Male,"Richard Neal ""Dick""•Ball",Dick•Ball,"26 July 1944 in Denver, Colorado (USA)",,United States,13490,180 cm / 73 kg,Old Town Bicycle Club,,,,,,
Competed in Olympic Games,Male,Alexi Singh•Grewal,Alexi•Grewal,"8 September 1960 in Denver, Colorado (USA)",,United States,14564,188 cm / 68 kg,"7-Eleven, (USA)",,,,,,
Competed in Olympic Games,Male,"Ronald Alexander ""Ron""•Kiefel",Ron•Kiefel,"11 April 1960 in Wheat Ridge, Colorado (USA)",,United States,15051,183 cm / 73 kg,"7-Eleven, (USA)",,,,,,
Competed in Olympic Games,Male,Davis Welsh•Phinney,Davis•Phinney,"10 July 1959 in Boulder, Colorado (USA)",,United States,16124,172 cm / 75 kg,"7-Eleven, (USA)",Cash Register,,,,,
Competed in Olympic Games,Male,"Gregory Scott ""Greg""•Randolph",Greg•Randolph,"12 December 1972 in Denver, Colorado (USA)",,United States,16241,180 cm / 77 kg,U.S. National Team,"Chopper, Buddha",,,,,
Competed in Olympic Games,Male,Antón Darío•Villatoro,Antón•Villatoro,"20 June 1970 in Boulder, Colorado (USA)",,Guatemala,17082,,,,,,,,
Competed in Olympic Games,Male,"Richard Dean ""Ricky""•Davis",Ricky•Davis,"24 November 1958 in Denver, Colorado (USA)",,United States,27724,170 cm / 70 kg,"New York Cosmos, New York (USA) / Tacoma Stars, Tacoma (USA)",,,,,,
Competed in Olympic Games,Female,Nancy Lynn•Thies (-Marshall),Nancy•Thies,"10 June 1957 in Denver, Colorado (USA)",,United States,29294,161 cm / 49 kg,McKinley YMCA (Young Men's Christian Association),,,,,,
Competed in Olympic Games,Female,"Deborah Ann ""Debra""•Willcox",Debra•Willcox,"16 September 1959 in Denver, Colorado (USA)",,United States,29298,163 cm / 47 kg,Flyers Gymnastics,,,,,,
Competed in Olympic Games,Female,Jo Anne•Quiring,Jo Anne•Quiring,"8 October 1963 in Denver, Colorado (USA)",,United States,33288,157 cm / 52 kg,,,,,,,
Competed in Olympic Games,Female,Anne Summertime•Kakela,Anne•Kakela,"22 June 1970 in Steamboat Springs, Colorado (USA)",,United States,40470,172 cm / 68 kg,,,,,,,
Competed in Olympic Games,Male,Duncan Smith•Gregg,Duncan•Gregg,"28 February 1910 in Lamar, Colorado (USA)","14 February 1989 in Berkeley, California (USA)",United States,40679,193 cm / 82 kg,"California Golden Bears, Berkeley (USA)",,,,,,
Competed in Olympic Games,Male,"Michael Kent ""Mike""•Livingston",Mike•Livingston,"21 September 1948 in Denver, Colorado (USA)",,United States,40754,191 cm / 86 kg,Brothers Rowing Club,,,,,,
Competed in Olympic Games,Male,James Scott•Munn,Scott•Munn,"21 May 1970 in Littleton, Colorado (USA)",,United States,40810,193 cm / 88 kg,"Washington Huskies, Seattle (USA)",,,,,,
Competed in Olympic Games,Male,Roger Graden•Mar,Roger•Mar,"30 April 1968 in Colorado Springs, Colorado (USA)",,United States,44714,175 cm / 79 kg,Black Mountain Shooting Club,,,,,,
Competed in Olympic Games,Female,"Caroline ""Carol""•Fletcher (-Metten)",Carol•Fletcher,"22 November 1906 in Denver, Colorado (USA)",3 April 1998,United States,51019,157 cm,"Pasadena Athletic and Country Club, Pasadena (USA)",,,,,,
Competed in Olympic Games,Female,Wendy Lynn•Lucero (-Schayes),Wendy•Lucero,"26 June 1963 in Denver, Colorado (USA)",,United States,51104,,,,,,,,
Competed in Olympic Games,Female,"Judith Anne ""Judy""•Reeder",Judy•Reeder,"17 August 1948 in Pueblo, Colorado (USA)",,United States,51165,174 cm / 57 kg,"Santa Clara SC, Santa Clara (USA)",,,,,,
Competed in Olympic Games,Female,Amy Deloris•Van Dyken (-Rouen),Amy•Van Dyken,"15 February 1973 in Denver, Colorado (USA)",,United States,51223,183 cm / 74 kg,,,,,,,
Competed in Olympic Games,Male,Gary Robert•Conelly,Gary•Conelly,"18 October 1952 in Denver, Colorado (USA)",,United States,51299,189 cm / 79 kg,"Gatorade Swim Club, Bloomington (USA) / Indiana Hoosiers, Bloomington (USA)",,,,,,
Competed in Olympic Games,Male,"Richard Carroll ""Dick""•Conner",Dick•Conner,"25 March 1934 in Pueblo, Colorado (USA)","8 July 2019 in Rancho Santa Fe, California (USA)",United States,51300,167 cm / 64 kg,"Pasadena Athletic and Country Club, Pasadena (USA)",,,,,,
Competed in Olympic Games,Male,James Raymond “Jim”•Gilhula,Jim•Gilhula,"14 June 1912 in Boone, Colorado (USA)","11 March 1962 in San Diego, California (USA)",United States,51359,,"Detroit Athletic Club, Detroit (USA)",,,,,,
Competed in Olympic Games,Male,"Alan ""Al""•Greene",Al•Greene,"29 August 1911 in Denver, Colorado (USA)","12 March 2001 in Mount Prospect, Illinois (USA)",United States,51371,,Lake Shore Athletic Club,,,,,,
Competed in Olympic Games,Male,Edwin Bruce•Knox,Edwin•Knox,"24 July 1914 in Arapahoe, Colorado (USA)","19 January 2004 in Longview, Washington (USA)",United States,54940,,"LAAC, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,"James Edward ""Jim""•Burke",Jim•Burke,"20 February 1936 in Denver, Colorado (USA)","11 May 2006 in ?, California (USA)",United States,60585,178 cm / 70 kg,"Olympic Club, San Francisco (USA)",,,,,,
Competed in Olympic Games,Male,Paul Dominico•Zanolini (-Zanoline),Paul•Zanolini,"13 August 1898 in Starkville, Colorado (USA)","8 June 1989 in Los Angeles, California (USA)",United States,60805,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,"Alphonse Adolph•Burnand, Jr.",Alphonse•Burnand,"21 January 1896 in Leadville, Colorado (USA)","4 December 1981 in Borrego Springs, California (USA)",United States,61501,,"California Yacht Club, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,Paul Jeffrey•Foerster,Paul•Foerster,"19 November 1963 in Rangely, Colorado (USA)",,United States,62032,172 cm / 68 kg,"Rush Creek Yacht Club, Heath, TX",,,,,,
Competed in Olympic Games,Male,"Hans Christopher ""Chris""•Steinfeld",Chris•Steinfeld,"14 December 1959 in Denver, Colorado (USA)",,United States,63767,185 cm / 66 kg,Ullman Sails East,,,,,,
Competed in Olympic Games,Female,Karen Linnea•Anderson-Oldham,Karen•Anderson-Oldham,"5 April 1938 in Denver, Colorado (USA)",,United States,77746,165 cm / 53 kg,"SDTC, San Diego (USA)",,,,,,
Competed in Olympic Games,Female,"Pamela D. ""Pam""•Greene",Pam•Greene,"15 February 1954 in Denver, Colorado (USA)",,United States,77846,170 cm / 55 kg,Denver All-Stars,,,,,,
Competed in Olympic Games,Female,Wendy Carol•Koenig-Knudson,Wendy•Koenig-Knudson,"28 May 1955 in Boulder, Colorado (USA)",,United States,77891,172 cm / 55 kg,"Colorado State Rams, Fort Collins (USA)",,,,,,
Competed in Olympic Games,Male,Jerome Cousins•Biffle,Jerome•Biffle,"20 March 1928 in Denver, Colorado (USA)","4 September 2002 in Denver, Colorado (USA)",United States,78111,184 cm / 79 kg,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,"Daniel Joseph ""Dan""•Kelly",Dan•Kelly,"1 September 1883 in Pueblo, Colorado (USA)","9 April 1920 in Fernie, British Columbia (CAN)",United States,78642,176 cm / 66 kg,Spokane Athletic Club,,,,,,
Competed in Olympic Games,Male,Glenn Edward•Morris,Glenn•Morris,"18 June 1912 in Simla, Colorado (USA)","31 January 1974 in Palo Alto, California (USA)",United States,78811,188 cm / 84 kg,"Denver Athletic Club, Denver (USA)",,,,,,
Competed in Olympic Games,Male,Conrad Keith•Nightingale,Conrad•Nightingale,"24 September 1945 in Colorado Springs, Colorado (USA)",,United States,78844,186 cm / 70 kg,"Kansas State Wildcats, Manhattan (USA)",,,,,,
Competed in Olympic Games,Male,"Thomas Edward ""Eddie""•Tolan, Jr.",Eddie•Tolan,"29 September 1908 in Denver, Colorado (USA)","31 January 1967 in Detroit, Michigan (USA)",United States,79132,170 cm / 65 kg,,,,,,,
Competed in Olympic Games,Female,"Lucille Mary•Ash (-McClure, -Klee)",Lucille•Ash,"26 May 1935 in Colorado Springs, Colorado (USA)",,United States,80555,,,,,,,,
Competed in Olympic Games,Female,Barbara Marie•Brown,Barbara•Brown,"21 July 1953 in Denver, Colorado (USA)",,United States,80736,153 cm / 48 kg,"Denver FSC, Centennial, Colorado (USA)",,,,,,
Competed in Olympic Games,Female,Ingrid Jean•Butts,Ingrid•Butts,"30 July 1963 in Denver, Colorado (USA)",,United States,80770,165 cm / 58 kg,Crested Butte Nordic Council,,,,,,
Competed in Olympic Games,Female,Christine•Haigler (-Krall),Christine•Haigler,"5 January 1948 in Colorado Springs, Colorado (USA)",,United States,81230,162 cm / 52 kg,"Broadmoor Skating Club, Colorado Springs (USA)",,,,,,
