Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,Frank Angell•Wheaton,Frank•Wheaton,"15 October 1876 in Putnam, Connecticut (USA)","29 October 1965 in Bellingham, Washington (USA)",United States,2802,,,,,,,,
Competed in Olympic Games,Female,Rebecca Rose•Lobo (-Rushin),Rebecca•Lobo,"6 October 1973 in Hartford, Connecticut (USA)",,United States,5349,193 cm / 64 kg,"Connecticut Huskies, Storrs, Connecticut (USA)",,,,,,
Competed in Olympic Games,Female,Mary Anne•O'Connor,Mary Anne•O'Connor,"1 October 1953 in Bridgeport, Connecticut (USA)",,United States,5409,180 cm / 72 kg,"Southern Connecticut State University, New Haven (USA)",,,,,,
Competed in Olympic Games,Male,"Michele ""Mike""•Pelliccia",Mike•Pelliccia,"27 January 1910 in New Haven, Connecticut (USA)",,Italy,6837,,"Pallacanestro Napoli, Napoli (ITA)",,,,,,
Competed in Olympic Games,Male,Charles Daniel H.•Smith,Charles D.•Smith,"16 July 1965 in Bridgeport, Connecticut (USA)",,United States,7140,208 cm / 100 kg,"Pittsburgh Panthers, Pittsburgh (USA)",,,,,,
Competed in Olympic Games,Male,Lawrence Marvin•Clay-Bey,Lawrence•Clay-Bey,"14 December 1965 in Bloomfield, Connecticut (USA)",,United States,8644,188 cm / 111 kg,Bellevue Square Boys' Club,,,,,,
Competed in Olympic Games,Male,"Harold George ""Harry""•Devine",Harry•Devine,"18 May 1909 in New Haven, Connecticut (USA)","29 April 1998 in Worcester, Massachusetts (USA)",United States,8655,,Worcester Boys' Club,,,,,,
Competed in Olympic Games,Male,"Frederick Churchill ""Fred""•Spaulding",Fred•Spaulding,"26 August 1965 in Manchester, Connecticut (USA)",,United States,11153,175 cm / 75 kg,"Newport Aquatic Center, Newport Beach (USA)",,,,,,
Competed in Olympic Games,Male,Jay Dennis•Hayes,Jay•Hayes,"14 June 1957 in Hartford, Connecticut (USA)",,Canada,12102,180 cm / 70 kg,North Ridge,,,,,,
Competed in Olympic Games,Male,Hugh•Wiley,Hugh•Wiley,"21 May 1927 in New Haven, Connecticut (USA)","3 September 1999 in Palmyra, Virginia (USA)",United States,13003,183 cm / 70 kg,"US Navy, (USA)",,,,,,
Competed in Olympic Games,Male,"Thomas Charles ""Tommy""•Godwin",Tommy•Godwin,"5 November 1920 in ?, Connecticut (USA)","3 November 2012 in Solihull, England (GBR)",Great Britain,14517,,Rover Cycling Club,,,,,,
Competed in Olympic Games,Male,"Samuel Symington ""Sam""•Jones",Sam•Jones,"16 January 1880 in Fairfield, Connecticut (USA)","13 April 1954 in Knoxville, Tennessee (USA)",United States,18272,189 cm / 82 kg,"New York University Violets, New York (USA) / NYAC, New York (USA)",,,,,,
Competed in Olympic Games,Male,Donald Eaton•Buck,Donald•Buck,"26 September 1916 in Hartford, Connecticut (USA)","3 June 2002 in Cockeysville, Maryland (USA)",United States,20384,,Mt. Washington Club,,,,,,
Competed in Olympic Games,Male,"James Bernard ""Jim""•Carpenter",Jim•Carpenter,"14 April 1962 in Canton, Connecticut (USA)",,United States,23675,188 cm / 95 kg,"NYAC, New York (USA)",,,,,,
Competed in Olympic Games,Male,Ralph•Spinella,Ralph•Spinella,"8 May 1923 in Waterbury, Connecticut (USA)","7 October 2021 in Waterbury, Connecticut (USA)",United States,23801,180 cm / 68 kg,"NYAC, New York (USA)",,,,,,
Competed in Olympic Games,Male,Donald Bartram•Waldhaus,Donald•Waldhaus,"31 March 1895 in Bridgeport, Connecticut (USA)","17 April 1975 in Shelton, Connecticut (USA)",United States,23815,180 cm,"Washington Square Fencers Club, New York (USA)",,,,,,
Competed in Olympic Games • Non-starter,Female,Chryssandra Annette•Hires (Watts-),Chryssandra•Hires,"27 November 1966 in Bristol, Connecticut (USA)",,United States,32938,172 cm / 66 kg,Atlanta Storm,,,,,,
Competed in Olympic Games,Male,Patrick•O'Neill,Patrick•O'Neill,"20 March 1956 in Stamford, Connecticut (USA)",,United States,33005,198 cm / 95 kg,,,,,,,
Competed in Olympic Games,Male,Joseph Paul•Wanag,Joseph•Wanag,"2 August 1966 in Wilton, Connecticut (USA)",,United States,34521,178 cm / 77 kg,,,,,,,
Competed in Olympic Games,Female,Julia L.•Chilicki (-Beasley),Julia•Chilicki,"1 August 1971 in Somers, Connecticut (USA)",,United States,40444,175 cm / 70 kg,,,,,,,
Competed in Olympic Games,Female,Jeanne Ann•Flanagan,Jeanne•Flanagan,"8 May 1957 in New Haven, Connecticut (USA)",,United States,40456,177 cm / 81 kg,"Boston Rowing Club, Boston (USA)",,,,,,
Competed in Olympic Games,Female,"Charlotte Mosher ""Carlie""•Geer",Carlie•Geer,"13 November 1957 in Greenwich, Connecticut (USA)",,United States,40458,167 cm / 64 kg,"Boston Rowing Club, Boston (USA)",,,,,,
Competed in Olympic Games,Male,Seth David•Bauer,Seth•Bauer,"25 September 1959 in Bridgeport, Connecticut (USA)",,United States,40543,165 cm / 50 kg,,,,,,,
Competed in Olympic Games,Male,Calvin Thomas•Coffey,Calvin•Coffey,"27 January 1951 in Norwich, Connecticut (USA)",,United States,40591,188 cm / 91 kg,"Vesper Boat Club, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Male,John Patrick•Cooke,John•Cooke,"9 April 1937 in Ansonia, Connecticut (USA)","26 December 2005 in Ridgefield, Connecticut (USA)",United States,40594,183 cm / 84 kg,"Yale Bulldogs, New Haven (USA)",,,,,,
Competed in Olympic Games,Male,"Richard Alan ""Dick""•Dreissigacker",Dick•Dreissigacker,"26 March 1947 in New Haven, Connecticut (USA)",,United States,40622,193 cm / 85 kg,"Vesper Boat Club, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Male,"Stuart Lane ""Stu""•Griffing",Stu•Griffing,"9 November 1926 in New Haven, Connecticut (USA)","20 December 2021 in Cincinnati, Ohio (USA)",United States,40680,,"Yale Bulldogs, New Haven (USA)",,,,,,
Competed in Olympic Games,Male,Aaron Benjamin•Herman,Aaron•Herman,"17 February 1953 in Stamford, Connecticut (USA)",,United States,40699,153 cm / 50 kg,College Boat Club,,,,,,
Competed in Olympic Games,Male,"Thomas Nisbit ""Tom""•Kiefer",Tom•Kiefer,"25 February 1958 in Sharon, Connecticut (USA)",,United States,40737,190 cm / 90 kg,"Penn AC, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Male,"Andrew Blinn ""Andy""•Larkin",Andy•Larkin,"20 September 1946 in New Britain, Connecticut (USA)","11 August 2023 in Northampton, Massachusetts (USA)",United States,40748,196 cm / 95 kg,"Harvard Crimson, Cambridge (USA)",,,,,,
Competed in Olympic Games,Male,"Stephen Lee ""Steve""•Peterson",Steve•Peterson,"27 June 1963 in Glastonbury, Connecticut (USA)",,United States,40830,185 cm / 73 kg,,,,,,,
Competed in Olympic Games,Male,Steven C.•Segaloff,Steven•Segaloff,"21 July 1970 in New Haven, Connecticut (USA)",,United States,40867,165 cm / 55 kg,,,,,,,
Competed in Olympic Games,Male,"Benjamin McLane ""Ben""•Spock",Ben•Spock,"2 May 1903 in New Haven, Connecticut (USA)","15 March 1998 in La Jolla, California (USA)",United States,40880,196 cm,"Yale Bulldogs, New Haven (USA)",,,,,,
Competed in Olympic Games,Male,"Phillip William ""Otto""•Stekl",Otto•Stekl,"20 January 1956 in Middletown, Connecticut (USA)",,United States,40886,193 cm / 93 kg,Hartford Barge,,,,,,
Competed in Olympic Games,Male,"Michael Louis ""Mike""•Vespoli",Mike•Vespoli,"14 December 1946 in New Haven, Connecticut (USA)",,United States,40916,,"Vesper Boat Club, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Male,Harold Terry•Bartlett,Harold•Bartlett,"26 July 1887 in Old Lyme, Connecticut (USA)","14 September 1955 in Oak Knoll, California (USA)",United States,44610,179 cm,"US Navy, (USA)",,,,,,
Competed in Olympic Games,Male,Allan Lindsay•Briggs,Allan•Briggs,"14 February 1873 in Bridgeport, Connecticut (USA)","12 November 1951 in Vineyard Haven, Massachusetts (USA)",United States,44622,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,Peter James•Dolfen,Peter•Dolfen,"21 May 1880 in Hartford, Connecticut (USA)","31 May 1947 in East Longmeadow, Massachusetts (USA)",United States,44644,,,,,,,,
Competed in Olympic Games,Male,"Edward Frederick ""Ed""•Etzel, Jr.",Ed•Etzel,"6 September 1952 in New Haven, Connecticut (USA)",,United States,44655,178 cm / 66 kg,"US Army, (USA)",,,,,,
Competed in Olympic Games,Female,Theresa•Andrews,Theresa•Andrews,"25 August 1962 in New London, Connecticut (USA)",,United States,50953,167 cm / 62 kg,"NBAC, Baltimore (USA)",,,,,,
Competed in Olympic Games,Female,Karen Julia•Josephson,Karen•Josephson,"10 January 1964 in Bristol, Connecticut (USA)",,United States,51075,162 cm / 55 kg,,,,,,,
Competed in Olympic Games,Female,Sarah Gay•Josephson,Sarah•Josephson,"10 January 1964 in Bristol, Connecticut (USA)",,United States,51076,162 cm / 55 kg,"The Ohio State Buckeyes, Columbus (USA)",,,,,,
Competed in Olympic Games,Male,"Frank Martin•Dooley, III",Frank•Dooley,"21 March 1929 in New Haven, Connecticut (USA)",14 November 2022,United States,51322,,"The Ohio State Buckeyes, Columbus (USA)",,,,,,
Competed in Olympic Games,Male,"Daniel Ploug ""Dan""•Jorgensen",Dan•Jorgensen,"4 April 1968 in New London, Connecticut (USA)",,United States,51426,190 cm / 93 kg,,,,,,,
Competed in Olympic Games,Male,Wayne Richard•Moore,Wayne•Moore,"30 November 1931 in Bridgeport, Connecticut (USA)","20 February 2015 in Trumbull, Connecticut (USA)",United States,51496,,New Haven Swim Club,,,,,,
Competed in Olympic Games,Male,Jon C.•Olsen,Jon•Olsen,"25 April 1969 in New Britain, Connecticut (USA)",,United States,51512,195 cm / 82 kg,"Curl-Burke Swim Team / University of Alabama, USA",,,,,,
Competed in Olympic Games,Male,Allen McIntyre•Stack,Allen•Stack,"23 January 1928 in New Haven, Connecticut (USA)","12 September 1999 in Honolulu, Hawaiʻi (USA)",United States,51573,,"US Navy, (USA)",,,,,,
Competed in Olympic Games,Male,Shawn Rodney•Sheldon,Shawn•Sheldon,"18 November 1964 in Norwich, Connecticut (USA)",,United States,60760,160 cm / 52 kg,"NYAC, New York (USA)",,,,,,
Competed in Olympic Games,Male,John Franklin•Spellman,John•Spellman,"14 June 1899 in Middletown, Connecticut (USA)","1 August 1966 in Mhangura, Mashonaland West (ZIM)",United States,60767,,"Brown Bears, Providence (USA)",,,,,,
Competed in Olympic Games,Female,Courtenay Compton•Becker-Dey,Courtenay•Becker-Dey,"27 April 1965 in Greenwich, Connecticut (USA)",,United States,60909,173 cm / 65 kg,American Yacht Club,,,,,,
Competed in Olympic Games,Male,"William Stanley Noel ""Stan""•Renehan",Stan•Renehan,"24 December 1929 in Norwalk, Connecticut (USA)","27 October 1995 in Delray Beach, Florida (USA)",United States,63433,178 cm / 74 kg,Essex Yacht Club,,,,,,
Competed in Olympic Games,Male,Victor Frank•Sheronas,Victor•Sheronas,"1 January 1909 in Waterbury, Connecticut (USA)","8 June 1981 in Haverford, Pennsylvania (USA)",United States,63638,,,,,,,,
Competed in Olympic Games,Female,"Janice Melbourne ""Jan""•Merrill",Jan•Merrill,"18 June 1956 in New London, Connecticut (USA)",,United States,77915,165 cm / 52 kg,Age Group Athletes Association,,,,,,
Competed in Olympic Games,Female,Simone Estelle•Schaller (-Kirin),Simone•Schaller,"22 August 1912 in South Manchester, Connecticut (USA)","20 October 2016 in Arcadia, California (USA)",United States,77961,170 cm / 57 kg,"LAAC, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,Howard Gardsell•Cann,Howard•Cann,"11 October 1895 in Bridgeport, Connecticut (USA)","18 December 1992 in Irvington, New York (USA)",United States,78193,188 cm / 98 kg,"NYAC, New York (USA)",,,,,,
Competed in Olympic Games,Male,"Peter Michael ""Pete""•Close",Pete•Close,"28 August 1937 in East Hartford, Connecticut (USA)","14 March 1990 in Damariscotta, Maine (USA)",United States,78235,180 cm / 69 kg,"US Marine Corps, (USA)",,,,,,
Competed in Olympic Games,Male,William Albert•Comins,William•Comins,"16 April 1901 in Stafford, Connecticut (USA)","14 July 1965 in Cambridge, Massachusetts (USA)",United States,78251,175 cm / 64 kg,"Yale Bulldogs, New Haven (USA)",,,,,,
Competed in Olympic Games,Male,"William Welles ""Bill""•Hoyt",Bill•Hoyt,"7 May 1875 in Glastonbury, Connecticut (USA)","1 December 1954 in Cambridge, New York (USA)",United States,78578,,"Boston AA, Boston (USA)",,,,,,
