Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,"Dorothy Gay ""Dot""•Richardson (-Pinto)",Dot•Richardson,"22 September 1961 in Orlando, Florida (USA)",,United States,1426,175 cm / 60 kg,Raybestos Brakettes,,,,,,
Competed in Olympic Games,Male,"Jack Leonard ""Jay""•Barrs, Jr.",Jay•Barrs,"17 July 1962 in Jacksonville, Florida (USA)",,United States,2223,182 cm / 70 kg,,,,,,,
Competed in Olympic Games,Female,"Christine Marie ""Chris""•Evert (-Lloyd, -Mill, -Norman)",Chris•Evert,"21 December 1954 in Fort Lauderdale, Florida (USA)",,United States,2725,167 cm / 57 kg,,The Ice Maiden,,,,,
Competed in Olympic Games,Male,"James Spencer ""Jim""•Courier",Jim•Courier,"17 August 1970 in Sanford, Florida (USA)",,United States,2751,185 cm / 82 kg,,The Rock,,,,,
Competed in Olympic Games,Male,"Charles Edward•Johnson, Jr.",Charles•Johnson,"20 July 1971 in Fort Pierce, Florida (USA)",,United States,3235,188 cm / 95 kg,"Miami Hurricanes, Coral Gables (USA)",,,,,,
Competed in Olympic Games,Male,"Christopher E. ""Chris""•Roberts",Chris•Roberts,"25 June 1971 in Green Cove Springs, Florida (USA)",,United States,3250,183 cm / 84 kg,"Florida State Seminoles, Tallahassee (USA)",,,,,,
Competed in Olympic Games,Female,Bridgette C.•Gordon,Bridgette•Gordon,"27 April 1967 in Deland, Florida (USA)",,United States,5247,183 cm / 72 kg,"Tennessee Volunteers, Knoxville (USA)",,,,,,
Competed in Olympic Games,Female,Tammy Eloise•Jackson,Tammy•Jackson,"3 December 1962 in Gainesville, Florida (USA)",,United States,5280,190 cm / 81 kg,"Chanson Cosmetics, Shizuoka (JPN)",,,,,,
Competed in Olympic Games,Male,"Mitchell James ""Mitch""•Richmond, III",Mitch•Richmond,"30 June 1965 in Fort Lauderdale, Florida (USA)",,United States,6955,195 cm / 98 kg,"Kansas State Wildcats, Manhattan (USA) / Sacramento Kings, Sacramento (USA)",The Rock,,,,,
Competed in Olympic Games,Male,David Maurice•Robinson,David•Robinson,"6 August 1965 in Key West, Florida (USA)",,United States,6972,216 cm / 107 kg,"San Antonio Spurs, San Antonio (USA)",The Admiral,,,,,
Competed in Olympic Games,Male,Daniel Gregg•Santiago Lynn,Daniel•Santiago,"24 June 1976 in Tarpon Springs, Florida (USA)",,Puerto Rico,7048,213 cm / 111 kg,"Vaqueros de Bayamón, Bayamón (PUR) / Milwaukee Bucks, Milwaukee (USA)",,,,,,
Competed in Olympic Games,Male,"Horace ""Hank""•Herring",Hank•Herring,"19 June 1922 in St. Petersburg, Florida (USA)","18 May 1999 in Lemoore, California (USA)",United States,8691,,"US Navy, (USA)",,,,,,
Competed in Olympic Games,Male,"Roy Levesta•Jones, Jr.","Roy•Jones, Jr.","16 January 1969 in Pensacola, Florida (USA)",,United States,8704,180 cm / 71 kg,,Junior,,,,,
Competed in Olympic Games,Male,"Raymond A. ""Ray""•Mercer",Ray•Mercer,"4 April 1961 in Jacksonville, Florida (USA)",,United States,8732,185 cm / 91 kg,"US Army, (USA)",Merciless,,,,,
Competed in Olympic Games,Male,Antonio Deon•Tarver,Antonio•Tarver,"21 November 1968 in Orlando, Florida (USA)",,United States,8783,188 cm / 81 kg,Frontline Boxing Club,Magic Man,,,,,
Competed in Olympic Games,Female,"Kathryn Hallowell ""Kathy""•Kusner",Kathy•Kusner,"21 March 1940 in Gainesville, Florida (USA)",,United States,11382,152 cm / 45 kg,,,,,,,
Competed in Olympic Games,Male,William Brooks•Bradford,William•Bradford,"15 March 1896 in Tallahassee, Florida (USA)","14 January 1965 in Roma, Roma (ITA)",United States,11663,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Female,Jeanne Marie•Golay,Jeanne•Golay,"16 April 1962 in Coral Gables, Florida (USA)",,United States,13114,178 cm / 65 kg,,,,,,,
Competed in Olympic Games,Male,"Herbert Nicholas ""Herbie""•Francis",Herbie•Francis,"26 May 1940 in Miami, Florida (USA)",20 September 1988,United States,14353,174 cm / 88 kg,Continental SC,,,,,,
Competed in Olympic Games,Male,William Bruce•Savage,Bruce•Savage,"21 December 1960 in Hollywood, Florida (USA)",,United States,27815,175 cm / 68 kg,Phoenix Pride,,,,,,
Competed in Olympic Games,Female,Carrie Lynne•Englert (-Zimmerman),Carrie•Englert,"28 November 1957 in Tallahassee, Florida (USA)",,United States,29242,163 cm / 49 kg,National Academy of Artistic Gymnastics,,,,,,
Competed in Olympic Games,Female,Mandy Marie•James (-Morgan),Mandy•James,"9 December 1978 in Jacksonville, Florida (USA)",,United States,29251,,U.S. Rhythmic National Group,,,,,,
