Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"William Henry ""Will""•Thompson",Will•Thompson,"10 March 1848 in Calhoun, Georgia (USA)","10 August 1918 in Seattle, Washington (USA)",United States,2249,,"Potomac Archers, Washington (USA)",,,,,,
Competed in Olympic Games,Female,"Cynthia Jane ""Cindy""•Brogdon",Cindy•Brogdon,"25 February 1957 in Buford, Georgia (USA)",,United States,5160,177 cm / 70 kg,"Mercer Bears, Macon (USA)",,,,,,
Competed in Olympic Games,Female,Teresa•Edwards,Teresa•Edwards,"19 July 1964 in Cairo, Georgia (USA)",,United States,5226,175 cm / 68 kg,"Georgia Bulldogs, Athens (USA) / Primax Magenta, Magenta (ITA) / Mitsubishi Nagoya, Nagoya (JPN) / Atlanta Glory, Atlanta (USA)",,,,,,
Competed in Olympic Games,Female,"Ludi ""Lea""•Henry (-Manning)",Lea•Henry,"22 November 1961 in Colquitt, Georgia (USA)",,United States,5269,162 cm / 53 kg,"Tennessee Volunteers, Knoxville (USA)",,,,,,
Competed in Olympic Games,Female,"Patricia Ann ""Trish""•Roberts",Trish•Roberts,"14 June 1955 in Monroe, Georgia (USA)",,United States,5447,187 cm / 63 kg,"Kansas State Wildcats, Manhattan (USA)",,,,,,
Competed in Olympic Games,Male,"Michel Taylor ""Tate""•Armstrong",Tate•Armstrong,"5 October 1955 in Moultrie, Georgia (USA)",,United States,5639,190 cm / 77 kg,"Duke Blue Devils, Durham (USA)",,,,,,
Competed in Olympic Games,Male,Earl Allen•Kelley,Allen•Kelley,"24 December 1932 in Dearing, Georgia (USA)","13 August 2016 in Lawrence, Kansas (USA)",United States,6382,183 cm / 74 kg,"Kansas Jayhawks, Lawrence (USA)",,,,,,
Competed in Olympic Games,Male,Romallis•Ellis,Romallis•Ellis,"16 December 1965 in Atlanta, Georgia (USA)",,United States,8661,171 cm / 60 kg,,Big Shot,,,,,
Competed in Olympic Games,Male,Vernon•Forrest,Vernon•Forrest,"12 February 1971 in Augusta, Georgia (USA)","25 July 2009 in Atlanta, Georgia (USA)",United States,8669,183 cm / 63 kg,U.S. Olympic Education Center,The Viper,,,,,
Competed in Olympic Games,Male,Eric M.•Giddens,Eric•Giddens,"8 May 1973 in Atlanta, Georgia (USA)",,United States,11082,173 cm / 70 kg,"Georgia Tech Yellow Jackets, Atlanta (USA)",,,,,,
Competed in Olympic Games,Male,"Horace P.•Holden, Jr.",Horace•Holden,"24 May 1963 in Atlanta, Georgia (USA)",,United States,11100,,"Duke Blue Devils, Durham (USA)",,,,,,
