Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,Benita Jean•Edds,Benita•Edds,"12 June 1958 in Sullivan, Indiana (USA)",,United States,2208,175 cm / 72 kg,,,,,,,
Competed in Olympic Games,Male,Samuel Harding•Duvall,Samuel•Duvall,"11 March 1836 in Liberty, Indiana (USA)","26 September 1908 in Liberty, Indiana (USA)",United States,2230,,"Cincinnati Archers, Cincinnati (USA)",,,,,,
Competed in Olympic Games,Male,"Richard Lee ""Rick""•McKinney",Rick•McKinney,"12 October 1953 in Decatur, Indiana (USA)",,United States,2241,170 cm / 59 kg,,,,,,,
Competed in Olympic Games,Male,"Stephen Todd ""Steve""•Alford",Steve•Alford,"23 November 1964 in Franklin, Indiana (USA)",,United States,5600,185 cm / 74 kg,"Indiana Hoosiers, Bloomington (USA)",,,,,,
Competed in Olympic Games,Male,"Clifford Eugene ""Cliff""•Barker",Cliff•Barker,"15 January 1921 in Yorktown, Indiana (USA)","17 March 1998 in Satsuma, Florida (USA)",United States,5677,188 cm / 84 kg,"Kentucky Wildcats, Lexington (USA)",,,,,,
Competed in Olympic Games,Male,Larry Joe•Bird,Larry•Bird,"7 December 1956 in French Lick, Indiana (USA)",,United States,5732,205 cm / 100 kg,"Boston Celtics, Boston (USA)",The Hick from French Lick,,,,,
Competed in Olympic Games,Male,"Vincent Joseph ""Vince""•Boryla",Vince•Boryla,"11 March 1927 in East Chicago, Indiana (USA)","27 March 2016 in Englewood, Colorado (USA)",United States,5773,195 cm / 95 kg,"Denver Nuggets, Denver (USA)",Moose,,,,,
Competed in Olympic Games,Male,"Terence Gilbert ""Terry""•Dischinger",Terry•Dischinger,"21 November 1940 in Terre Haute, Indiana (USA)","9 October 2023 in Lake Oswego, Oregon (USA)",United States,6014,198 cm / 86 kg,"Purdue Boilermakers, West Lafayette (USA)",,,,,,
Competed in Olympic Games,Male,Clyde Edward•Lovellette,Clyde•Lovellette,"7 September 1929 in Petersburg, Indiana (USA)","9 March 2016 in North Manchester, Indiana (USA)",United States,6548,205 cm / 104 kg,"Kansas Jayhawks, Lawrence (USA)",,,,,,
Competed in Olympic Games,Male,"Howard Earl ""Howie""•Williams",Howie•Williams,"29 October 1927 in New Ross, Indiana (USA)","25 December 2004 in Phoenix, Arizona (USA)",United States,7359,183 cm / 76 kg,"Peoria Caterpillars, Peoria (USA)",,,,,,
Competed in Olympic Games,Male,"Charles ""Chuck""•Adkins",Chuck•Adkins,"27 April 1932 in Gary, Indiana (USA)","8 July 1993 in Gary, Indiana (USA)",United States,8608,,,,,,,,
Competed in Olympic Games,Male,John Adam “Johnny”•Hines,Johnny•Hines,"30 July 1912 in East Chicago, Indiana (USA)","11 December 1966 in Los Angeles, California (USA)",United States,8693,,,,,,,,
Competed in Olympic Games,Male,Marvin L.•Johnson,Marvin•Johnson,"12 April 1954 in Indianapolis, Indiana (USA)",,United States,8700,177 cm / 75 kg,,Pops,,,,,
Competed in Olympic Games,Male,George Edmond•Mulholland,George•Mulholland,"10 May 1904 in Indianapolis, Indiana (USA)","2 April 1971 in Indianapolis, Indiana (USA)",United States,8741,178 cm,,,,,,,
Competed in Olympic Games,Male,"John Robert ""Rob""•Plankenhorn",Rob•Plankenhorn,"20 August 1954 in Richmond, Indiana (USA)",,United States,11143,185 cm / 86 kg,St. Charles Canoe Club,,,,,,
Competed in Olympic Games,Male,"Daniel Ward ""Dan""•Schnurrenberger",Dan•Schnurrenberger,"17 November 1955 in Lafayette, Indiana (USA)",,United States,11148,178 cm / 77 kg,,,,,,,
Competed in Olympic Games,Male,Alvin Hovy•Moore,Alvin•Moore,"11 November 1891 in Griffin, Indiana (USA)","9 November 1972 in Albuquerque, New Mexico (USA)",United States,12450,,"US Army, (USA)",,,,,,
