Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,Doreen Viola•Wilber (Hansen-),Doreen•Wilber,"8 January 1930 in Rutland, Iowa (USA)","19 October 2008 in Jefferson, Iowa (USA)",United States,2221,167 cm / 60 kg,,,,,,,
Competed in Olympic Games,Male,Wilfred E.•Blatherwick,Wilfred•Blatherwick,"19 September 1870 in Black Hawk, Iowa (USA)","7 April 1956 in Los Angeles, California (USA)",United States,2747,,,,,,,,
Competed in Olympic Games,Male,"James Jon ""Jim""•Butler",Jim•Butler,"15 February 1971 in Iowa City, Iowa (USA)",,United States,2748,193 cm / 77 kg,,,,,,,
Competed in Olympic Games,Male,"Andrew Jay ""A. J.""•Hinch",A. J.•Hinch,"15 May 1974 in Waverly, Iowa (USA)",,United States,3234,185 cm / 91 kg,"Stanford Cardinal, Stanford (USA)",,,,,,
Competed in Olympic Games,Male,"Charles Frick ""Chuck""•Darling",Chuck•Darling,"20 March 1930 in Denison, Iowa (USA)","6 April 2021 in Littleton, Colorado (USA)",United States,5953,203 cm / 102 kg,"Phillips 66ers, Bartlesville (USA)",,,,,,
Competed in Olympic Games,Male,Jon Francis•Koncak,Jon•Koncak,"17 May 1963 in Cedar Rapids, Iowa (USA)",,United States,6424,213 cm / 113 kg,"SMU Mustangs, Dallas (USA)",Jon Contract,,,,,
Competed in Olympic Games,Male,"John ""Johnny""•Miler (Miletich-)",Johnny•Miler,"10 August 1910 in Hocking, Iowa (USA)","17 June 1976 in Iowa City, Iowa (USA)",United States,8734,185 cm,Christ Church Athletic Club,,,,,,
Competed in Olympic Games,Male,"Curtis Jay ""Curt""•Bader",Curt•Bader,"5 January 1961 in Bloomfield, Iowa (USA)",,United States,11054,175 cm / 77 kg,,,,,,,
Competed in Olympic Games,Male,Karl Christopher “Joe”•Greenwald,Joe•Greenwald,"2 December 1888 in New Hampton, Iowa (USA)","19 May 1986 in San Antonio, Texas (USA)",United States,12051,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,Victor M.•Hopkins (Morice-),Victor•Hopkins,"19 July 1904 in Cedar Rapids, Iowa (USA)","8 December 1969 in Nutley, New Jersey (USA)",United States,14782,180 cm,Davenport Cycling Club,Flicker,,,,,
Competed in Olympic Games,Male,Roscoe Leroy•Bowman,Roscoe•Bowman,"21 March 1900 in Carroll, Iowa (USA)","24 September 1964 in Washington, District of Columbia (USA)",United States,23662,,"US Navy, (USA)",,,,,,
Competed in Olympic Games,Male,Leander Albert•Keim,Leander•Keim,"17 January 1879 in Davenport, Iowa (USA)","14 May 1941 in Davenport, Iowa (USA)",United States,31355,,"Davenport Turngemeinde, Davenport (USA)",,,,,,
Competed in Olympic Games,Male,Otto Bismark•Niemand,Otto•Niemand,"26 July 1884 in Davenport, Iowa (USA)","8 July 1968 in Davenport, Iowa (USA)",United States,31390,,"Davenport Turngemeinde, Davenport (USA)",,,,,,
Competed in Olympic Games,Male,Lance Robert•Ringnald,Lance•Ringnald,"13 June 1970 in Des Moines, Iowa (USA)",,United States,31409,170 cm / 68 kg,LaCueva High School,,,,,,
Competed in Olympic Games,Male,Phillip A.•Sonntag,Phillip•Sonntag,"26 September 1878 in Davenport, Iowa (USA)","20 June 1917 in Glendale, California (USA)",United States,31439,,"Davenport Turngemeinde, Davenport (USA)",,,,,,
Competed in Olympic Games,Male,Otto•Thomsen,Otto•Thomsen,"21 June 1884 in Scott County, Iowa (USA)","22 October 1926 in Moline, Illinois (USA)",United States,31453,,"Davenport Turngemeinde, Davenport (USA)",,,,,,
Competed in Olympic Games,Male,Harry•Warnken,Harry•Warnken,"5 October 1884 in Davenport, Iowa (USA)",30 April 1951,United States,31469,,"Davenport Turngemeinde, Davenport (USA)",,,,,,
Competed in Olympic Games,Male,"George Howard•Lambert, Jr.",George•Lambert,"1 September 1928 in Hampton, Iowa (USA)","30 January 2012 in River Falls, Wisconsin (USA)",United States,35154,188 cm / 81 kg,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,Clyde Whitlock•King,Clyde•King,"6 September 1898 in Montezuma, Iowa (USA)","20 August 1982 in Mill Valley, California (USA)",United States,40739,185 cm / 84 kg,"US Naval Academy, Annapolis (USA)",,,,,,
Competed in Olympic Games,Male,"William Jackson ""Will""•Henderson",Will•Henderson,"4 November 1929 in Ames, Iowa (USA)",,United States Virgin Islands,42910,178 cm / 74 kg,,,,,,,
Competed in Olympic Games,Female,Ann-Marie•Pfiffner (-Johnson),Ann-Marie•Pfiffner,"13 May 1969 in Dubuque, Iowa (USA)",,United States,44585,157 cm / 52 kg,,,,,,,
Competed in Olympic Games,Male,"Jay•Clark, Jr.",Jay•Clark,"25 January 1880 in Newton, Iowa (USA)","6 February 1948 in Worcester, Massachusetts (USA)",United States,44635,180 cm,"Boston AA, Boston (USA)",,,,,,
