Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,Dennis J.•McComak,Dennis•McComak,"2 January 1952 in Columbus, Kansas (USA)",,United States,2239,180 cm / 73 kg,"Kansas State Wildcats, Manhattan (USA)",,,,,,
Competed in Olympic Games,Male,Orien Vinton•Vernon,Orien•Vernon,"7 September 1874 in McLouth, Kansas (USA)","24 June 1951 in Westland, Michigan (USA)",United States,2795,,,,,,,,
Competed in Olympic Games,Male,Darren James•Dreifort,Darren•Dreifort,"3 May 1972 in Wichita, Kansas (USA)",,United States,3224,188 cm / 91 kg,"Wichita State Shockers, Wichita (USA)",,,,,,
Competed in Olympic Games,Male,Seth Adam•Greisinger,Seth•Greisinger,"29 July 1975 in Kansas City, Kansas (USA)",,United States,3230,193 cm / 89 kg,"Virginia Cavaliers, Charlottesville (USA)",,,,,,
Competed in Olympic Games,Male,"Christopher S. ""Chris""•Wimmer",Chris•Wimmer,"25 September 1970 in Wichita, Kansas (USA)",,United States,3258,180 cm / 75 kg,"Wichita State Shockers, Wichita (USA)",,,,,,
Competed in Olympic Games,Female,Lynette•Woodard,Lynette•Woodard,"12 August 1959 in Wichita, Kansas (USA)",,United States,5546,180 cm / 70 kg,"Kansas Jayhawks, Lawrence (USA)",,,,,,
Competed in Olympic Games,Male,"William Marion ""Bill""•Hougland",Bill•Hougland,"20 June 1930 in Caldwell, Kansas (USA)","6 March 2017 in Lawrence, Kansas (USA)",United States,6295,195 cm / 86 kg,"Kansas Jayhawks, Lawrence (USA) / Phillips 66ers, Bartlesville (USA)",,,,,,
Competed in Olympic Games,Male,Francis Lee•Johnson,Francis•Johnson,"5 August 1910 in Hartford, Kansas (USA)","18 April 1997 in Chesterfield, Missouri (USA)",United States,6337,180 cm / 79 kg,"McPherson Oilers, McPherson, Kansas (USA)",,,,,,
Competed in Olympic Games,Male,John Frederick•Keller,John•Keller,"10 November 1928 in Page City, Kansas (USA)","6 October 2000 in Great Bend, Kansas (USA)",United States,6381,190 cm / 84 kg,"Kansas Jayhawks, Lawrence (USA)",,,,,,
Competed in Olympic Games,Male,Melvin Dean•Kelley,Dean•Kelley,"23 September 1931 in Monmouth, Kansas (USA)","13 January 1996 in Morton, Illinois (USA)",United States,6383,180 cm / 75 kg,"Kansas Jayhawks, Lawrence (USA)",,,,,,
Competed in Olympic Games,Male,"Robert Earl ""Bob""•Kenney",Bob•Kenney,"23 June 1931 in Arkansas City, Kansas (USA)","27 October 2014 in Scottsdale, Arizona (USA)",United States,6384,188 cm / 84 kg,"Kansas Jayhawks, Lawrence (USA)",,,,,,
Competed in Olympic Games,Male,Jack Williamson•Ragland,Jack•Ragland,"9 October 1913 in Hutchinson, Kansas (USA)","14 June 1996 in Tucson, Arizona (USA)",United States,6921,183 cm / 79 kg,"McPherson Oilers, McPherson, Kansas (USA)",,,,,,
Competed in Olympic Games,Male,"William John ""Bill""•Wheatley",Bill•Wheatley,"5 July 1909 in Gypsum, Kansas (USA)","5 February 1992 in El Cerrito, California (USA)",United States,7354,188 cm / 79 kg,"McPherson Oilers, McPherson, Kansas (USA)",,,,,,
Competed in Olympic Games • Non-starter,Male,"Robert Leroy ""Bobby""•Bickle",Bobby•Bickle,"27 March 1929 in Hoisington, Kansas (USA)","28 May 1974 in Kansas City, Missouri (USA)",United States,8619,,,,,,,,
Competed in Olympic Games,Male,Samuel Gibson•Stewart,Samuel•Stewart,"29 November 1895 in Topeka, Kansas (USA)","29 August 1950 in San Francisco, California (USA)",United States,8781,,Washburn College,,,,,,
Competed in Olympic Games,Female,Nancy Carol•Purvis,Nancy•Purvis,"6 August 1949 in Topeka, Kansas (USA)",,United States,11048,165 cm / 64 kg,"Washington Canoe Club, Washington (USA)",,,,,,
Competed in Olympic Games,Male,"Conrad Stanton•Babcock, Jr.",Stanton•Babcock,"12 January 1904 in Fort Leavenworth, Kansas (USA)","10 March 1979 in Carmel-by-the-Sea, California (USA)",United States,11576,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,Vincent Paul•Erwin,Vincent•Erwin,"9 August 1887 in Chapman, Kansas (USA)","15 March 1967 in Colorado Springs, Colorado (USA)",United States,11938,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,John Murphy•Willems,John•Willems,"24 December 1901 in Fort Leavenworth, Kansas (USA)","14 September 1976 in San Diego, California (USA)",United States,13005,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,"James Cunningham ""Jimmy""•Wofford",Jimmy•Wofford,"3 November 1944 in Junction City, Kansas (USA)","2 February 2023 in Upperville, Virginia (USA)",United States,13012,173 cm / 70 kg,,,,,,,
Competed in Olympic Games,Male,Jack Wayne•Disney,Jack•Disney,"15 June 1930 in Topeka, Kansas (USA)",,United States,14166,171 cm / 73 kg,"North Hollywood Wheelmen, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,Burt Plumb•McKinnie,Burt•McKinnie,"17 January 1879 in Pleasanton, Kansas (USA)","22 November 1946 in Millville, New Jersey (USA)",United States,18182,,"Normandie Golf Club, St. Louis (USA)",,,,,,
Competed in Olympic Games,Male,Abner Chapin•Vickery,Abner•Vickery,"11 September 1879 in Ottawa, Kansas (USA)","25 June 1931 in Chicago, Illinois (USA)",United States,18207,,"Glen Echo Country Club, St. Louis (USA)",,,,,,
Competed in Olympic Games,Male,Lloyd Albert•Kelsey,Lloyd•Kelsey,"6 July 1897 in Topeka, Kansas (USA)","2 July 1948 in Des Moines, Iowa (USA)",United States,18273,118 kg,"US Army, (USA)",,,,,,
Competed in Olympic Games • Referee,Male,Harold Alton•Corbin,Harold•Corbin,"31 December 1906 in Winfield, Kansas (USA)","12 June 1988 in Sherman Oaks, California (USA)",United States,23683,,"LAAC, Los Angeles (USA)",,,,,,
Competed in Olympic Games • Referee,Male,Ralph Bearce•Faulkner,Ralph•Faulkner,"20 July 1891 in Abilene, Kansas (USA)","28 January 1987 in Burbank, California (USA)",United States,23700,,"LAAC, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,Marc Winthrop•Larimer,Marc•Larimer,"28 December 1890 in Wichita, Kansas (USA)","6 February 1919 in Guantánamo Bay Naval Base, Guantánamo Bay Naval Base (USA)",United States,23734,188 cm,"US Naval Academy, Annapolis (USA)",,,,,,
