Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"Sempronius E. ""Semp""•Russ",Semp•Russ,"16 April 1878 in ?, DeSoto Parish, Louisiana (USA)","12 March 1978 in San Antonio, Texas (USA)",United States,2783,,,,,,,,
Competed in Olympic Games,Male,Warren Randall•Morris,Warren•Morris,"11 January 1974 in Alexandria, Louisiana (USA)",,United States,3245,180 cm / 86 kg,"LSU Tigers, Baton Rouge (USA)",,,,,,
Competed in Olympic Games,Male,Jason Gerald•Williams,Jason•Williams,"18 December 1974 in Baton Rouge, Louisiana (USA)",,United States,3256,172 cm / 82 kg,"LSU Tigers, Baton Rouge (USA)",,,,,,
Competed in Olympic Games,Female,Venus Milette•Lacy,Venus•Lacy,"9 February 1967 in Ruston, Louisiana (USA)",,United States,5321,193 cm / 86 kg,"Louisiana Tech Lady Techsters, Ruston (USA)",,,,,,
Competed in Olympic Games,Male,Clyde Austin•Drexler,Clyde•Drexler,"22 June 1962 in New Orleans, Louisiana (USA)",,United States,6032,200 cm / 101 kg,"Portland Trail Blazers, Portland (USA)",The Glide,,,,,
Competed in Olympic Games,Male,"James H. ""Jim""•King",Jim•King,"9 February 1943 in New Orleans, Louisiana (USA)",,United States,6407,201 cm / 91 kg,Goodyear Wingfoots,,,,,,
Competed in Olympic Games,Male,Karl Anthony•Malone,Karl•Malone,"24 July 1963 in Bernice, Louisiana (USA)",,United States,6586,205 cm / 116 kg,"Utah Jazz, Salt Lake City (USA)",The Mailman,,,,,
Competed in Olympic Games,Male,"William Fenton ""Bill""•Russell",Bill•Russell,"12 February 1934 in Monroe, Louisiana (USA)","31 July 2022 in Mercer Island, Washington (USA)",United States,7008,207 cm / 100 kg,"San Francisco Dons, San Francisco (USA)",,,,,,
Competed in Olympic Games,Male,Glynn•Saulters,Glynn•Saulters,"10 February 1945 in Minden, Louisiana (USA)",,United States,7061,188 cm / 80 kg,"Louisiana–Monroe Warhawks, Monroe (USA)",,,,,,
Competed in Olympic Games,Male,"Jerome Franklin ""Jerry""•Shipp",Jerry•Shipp,"27 September 1935 in Shreveport, Louisiana (USA)","5 October 2021 in Durant, Oklahoma (USA)",United States,7103,198 cm / 89 kg,"Phillips 66ers, Bartlesville (USA)",,,,,,
Competed in Olympic Games,Male,"Timothy Lee ""Tim""•Dement",Tim•Dement,"14 March 1955 in Shreveport, Louisiana (USA)",,United States,8654,179 cm / 51 kg,Toastmasters Club,,,,,,
Competed in Olympic Games,Male,"Edward Loring ""Eddie""•Flynn",Eddie•Flynn,"25 October 1909 in New Orleans, Louisiana (USA)","7 February 1976 in Tampa, Florida (USA)",United States,8667,168 cm / 67 kg,"Loyola Wolfpack, New Orleans (USA)",,,,,,
Competed in Olympic Games,Male,"Louis Anderson ""Lou""•Gage",Lou•Gage,"26 June 1928 in Lake Charles, Louisiana (USA)","24 April 2014 in San Francisco, California (USA)",United States,8674,,,,,,,,
Competed in Olympic Games,Male,Eric Joseph•Griffin,Eric•Griffin,"3 November 1967 in Lafayette, Louisiana (USA)","7 October 2023 in Lafayette, Louisiana (USA)",United States,8681,160 cm / 48 kg,Galena Park Club,,,,,,
Competed in Olympic Games,Male,"James Columbus ""Jimmy""•Rosette",Jimmy•Rosette,"9 July 1938 in Jennings, Louisiana (USA)",26 May 2019,United States,8757,180 cm / 75 kg,"US Navy, (USA)",,,Jimmy James,,,
Competed in Olympic Games,Male,Julian•Wheeler,Julian•Wheeler,"22 April 1971 in Lafayette, Louisiana (USA)",,United States,8800,172 cm / 57 kg,"US Navy, (USA)",,,,,,
Competed in Olympic Games,Male,Walter Conrad•Blattmann,Walter•Blattmann,"23 June 1920 in New Orleans, Louisiana (USA)","10 April 2000 in Charlottesville, Virginia (USA)",United States,31297,,"US Navy, (USA)",,,,,,
Competed in Olympic Games,Male,"Sidney A. ""Sid""•Freudenstein",Sid•Freudenstein,"18 May 1945 in New Orleans, Louisiana (USA)",,United States,31320,168 cm / 69 kg,"California Golden Bears, Berkeley (USA)",,,,,,
Competed in Olympic Games,Male,"Stanley Francis ""Stan""•Cwiklinski",Stan•Cwiklinski,"25 July 1943 in New Orleans, Louisiana (USA)",,United States,40604,189 cm / 86 kg,"Vesper Boat Club, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Male,"John Joseph ""Joe""•Ravannack",Joe•Ravannack,"19 March 1878 in New Orleans, Louisiana (USA)","10 October 1910 in New Orleans, Louisiana (USA)",United States,40844,,"Independent Rowing Club, New Orleans (USA)",,,,,,
Competed in Olympic Games,Male,"Harold Clifton•Frederick, Jr.",Harold•Frederick,"18 February 1927 in New Orleans, Louisiana (USA)",,United States Virgin Islands,42909,197 cm / 93 kg,"St. Croix Marksmanship Association, Fareham (ISV)",,,,,,
Competed in Olympic Games,Male,James Todd•Graves,Todd•Graves,"27 March 1963 in Ruston, Louisiana (USA)",,United States,44671,180 cm / 85 kg,"US Army Marksmanship Unit, Fort Benning, Georgia (USA)",,,,,,
Competed in Olympic Games,Male,William Wadley•Harding,William•Harding,"23 September 1910 in Shreveport, Louisiana (USA)","18 August 1936 in near Otsego, Michigan (USA)",United States,44681,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Female,Jane•Fauntz (-Manske),Jane•Fauntz,"19 December 1910 in New Orleans, Louisiana (USA)","30 May 1989 in Escondido, California (USA)",United States,51015,,"Illinois Women's AC, Chicago (USA)",,,,,,
Competed in Olympic Games,Male,"William Henry•Dudley, III",William•Dudley,"15 January 1931 in New Orleans, Louisiana (USA)","18 January 1978 in New Orleans, Louisiana (USA)",United States,51325,,"New Orleans Athletic Club, New Orleans (USA)",,,,,,
Competed in Olympic Games,Female,Danielle Raquel•Scott-Arruda,Danielle•Scott-Arruda,"1 October 1972 in Baton Rouge, Louisiana (USA)",,United States,53267,188 cm / 85 kg,"Pallavolo Chieri, ITA/Desportiva Classista Finasa, BRA",,,,,,
Competed in Olympic Games,Male,Brett Hunter•Brian,Brett•Brian,"22 September 1962 in Baton Rouge, Louisiana (USA)",,United States,56959,172 cm / 90 kg,,,,,,,
Competed in Olympic Games,Male,"Louis George ""Lou""•Riecke, Jr.",Lou•Riecke,"2 October 1926 in New Orleans, Louisiana (USA)","31 May 2017 in Metairie, Louisiana (USA)",United States,57016,173 cm / 91 kg,"New Orleans Athletic Club, New Orleans (USA)",,,,,,
Competed in Olympic Games,Male,"Samuel ""Sam""•Termine",Sam•Termine,"1 September 1909 in New Orleans, Louisiana (USA)","20 May 1978 in Las Vegas, Nevada (USA)",United States,57027,170 cm / 75 kg,"LAAC, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,"George Shelby ""Buddy""•Friedrichs, Jr.",Buddy•Friedrichs,"15 February 1940 in New Orleans, Louisiana (USA)","20 March 1991 in Metairie, Louisiana (USA)",United States,62061,188 cm / 89 kg,"Southern Yacht Club, New Orleans (USA)",,,,,,
Competed in Olympic Games,Male,Gilbert T.•Gray,Gilbert•Gray,"1 June 1902 in Ruston, Louisiana (USA)","27 July 1981 in New Orleans, Louisiana (USA)",United States,62188,,"Southern Yacht Club, New Orleans (USA)",,,,,,
Competed in Olympic Games,Male,Barton Williams Benedict•Jahncke,Barton•Jahncke,"5 August 1939 in New Orleans, Louisiana (USA)",,United States,62461,188 cm / 89 kg,"Southern Yacht Club, New Orleans (USA)",,,,,,
Competed in Olympic Games,Male,"Daniel Bernard ""Danny""•Killeen, Sr.",Danny•Killeen,"6 February 1933 in New Orleans, Louisiana (USA)","28 April 2017 in Pass Christian, Mississippi (USA)",United States,62595,178 cm / 75 kg,"Southern Yacht Club, New Orleans (USA)",,,,,,
Competed in Olympic Games,Male,"Claude Lazard•Kohler, II",Claude•Kohler,"26 September 1931 in New Orleans, Louisiana (USA)",27 June 2019,United States,62627,170 cm / 77 kg,Bay-Waveland Yacht Club,,,,,,
Competed in Olympic Games,Male,"Andrew Jackson•Libano, Jr.",Andrew•Libano,"19 January 1903 in New Orleans, Louisiana (USA)","22 June 1935 in New Orleans, Louisiana (USA)",United States,62768,,"Southern Yacht Club, New Orleans (USA)",,,,,,
Competed in Olympic Games,Male,"John Clay•Lovell, III",John•Lovell,"11 October 1967 in Baton Rouge, Louisiana (USA)",,United States,62822,170 cm / 77 kg,"Southern Yacht Club, New Orleans (USA)",,,,,,
Competed in Olympic Games,Male,"Allen Wilford•McClure, Jr.",Allen•McClure,"17 March 1935 in New Orleans, Louisiana (USA)","12 August 2007 in Drasco, Arkansas (USA)",United States,62951,193 cm / 83 kg,"Southern Yacht Club, New Orleans (USA)",Pudgy,,,,,
Competed in Olympic Games,Male,"Eugene Henry ""Gene""•Walet, Jr.","Gene•Walet, Jr.","24 September 1901 in New Orleans, Louisiana (USA)","2 April 1968 in New Orleans, Louisiana (USA)",United States,64075,186 cm / 91 kg,"Southern Yacht Club, New Orleans (USA)",,,,,,
Competed in Olympic Games,Male,"Eugene Henry ""Gene""•Walet, III","Gene•Walet, III","1 September 1935 in New Orleans, Louisiana (USA)",,United States,64076,180 cm / 84 kg,"Southern Yacht Club, New Orleans (USA)",,,,,,
Competed in Olympic Games • Other,Female,Evelyn•Ashford (-Washington),Evelyn•Ashford,"15 April 1957 in Shreveport, Louisiana (USA)",,United States,77749,165 cm / 52 kg,"UCLA Bruins, Los Angeles (USA) / Mazda Optimist Track Club, (USA)",,,,,,
Competed in Olympic Games,Female,"Bernadette Jenelle ""Randy""•Givens",Randy•Givens,"27 March 1962 in Alexandria, Louisiana (USA)",,United States,77843,165 cm / 54 kg,"adidas, Herzogenaurach (GER)",,,,,,
Competed in Olympic Games,Female,"Sharon L.•Hanson (Hainer-, -Lowery)",Sharon•Hanson,"24 September 1965 in Lake Charles, Louisiana (USA)",,United States,77856,168 cm / 66 kg,,,,,,,
Competed in Olympic Games,Female,"Pamela Theresa ""Pam""•Jiles",Pam•Jiles,"10 July 1955 in New Orleans, Louisiana (USA)",,United States,77879,168 cm / 62 kg,"New Orleans Super Dames, New Orleans (USA)",,,,,,
Competed in Olympic Games,Female,Brenda Louise•Morehead,Brenda•Morehead,"5 October 1957 in Monroe, Louisiana (USA)",,United States,77920,162 cm / 54 kg,"TSU Tigers, Nashville (USA)",,,,,,
Competed in Olympic Games,Female,"Audrey ""Mickey""•Patterson (-Tyler)",Mickey•Patterson,"27 September 1926 in New Orleans, Louisiana (USA)","23 August 1996 in San Diego, California (USA)",United States,77934,170 cm / 51 kg,"TSU Tigers, Nashville (USA)",,,,,,
Competed in Olympic Games,Male,Roland•Blackmon,Roland•Blackmon,"3 November 1928 in New Orleans, Louisiana (USA)","4 May 2017 in New York, New York (USA)",United States,78118,172 cm / 63 kg,"US Army, (USA)",Ronnie,,,,,
Competed in Olympic Games,Male,"David Benjamin ""Dave""•Bolen",Dave•Bolen,"23 December 1923 in Heflin, Louisiana (USA)","10 December 2022 in Scottsdale, Arizona (USA)",United States,78126,175 cm / 68 kg,"Colorado Buffaloes, Boulder (USA)",,,,,,
Competed in Olympic Games,Male,Lloyd Henry•Bourgeois,Lloyd•Bourgeois,"24 January 1903 in New Orleans, Louisiana (USA)","19 September 1968 in East Baton Rouge, Louisiana (USA)",United States,78131,178 cm / 70 kg,Southern Pacific Athletic Association,,,,,,
Competed in Olympic Games,Male,John William•Brooks,John•Brooks,"31 July 1910 in Vidalia, Louisiana (USA)","9 October 1990 in Chicago, Illinois (USA)",United States,78156,170 cm / 66 kg,"Chicago Park District, Chicago (USA)",,,,,,
Competed in Olympic Games,Male,"William Tennant ""Billy""•Brown",Billy•Brown,"3 August 1918 in Baker, Louisiana (USA)","29 December 2002 in Baton Rouge, Louisiana (USA)",United States,78165,190 cm / 75 kg,"Baker High School, Baker (USA)",,,,,,
