Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,Edward Williston•Frentz,Edward•Frentz,"May 1863 in ?, Maine (USA)","28 August 1943 in Melrose, Massachusetts (USA)",United States,2232,,"Boston Archery Club, Boston (USA)",,,,,,
Competed in Olympic Games,Male,Edward Burbank•Weston,Edward•Weston,"31 July 1846 in Gorham, Maine (USA)","14 September 1918 in Chicago, Illinois (USA)",United States,2251,,"Chicago Archers, Chicago (USA)",,,,,,
Competed in Olympic Games,Male,"Jeffrey Stephen ""Jeff""•Turner",Jeff•Turner,"9 April 1962 in Bangor, Maine (USA)",,United States,7258,205 cm / 104 kg,"Vanderbilt Commodores, Nashville (USA)",,,,,,
Competed in Olympic Games,Female,"Glorianne Aurore ""Glo""•Perrier",Glo•Perrier,"21 March 1929 in Lewiston, Maine (USA)","7 March 2015 in Harvest, Alabama (USA)",United States,11046,177 cm / 66 kg,"George Washington Colonials, Washington (USA)",,,,,,
Competed in Olympic Games,Female,Lendon Fentress•Gray,Lendon•Gray,"13 April 1949 in Old Town, Maine (USA)",,United States,11337,172 cm / 68 kg,,,,,,,
Competed in Olympic Games,Male,Hiram Edwin•Tuttle,Hiram•Tuttle,"22 December 1882 in Dexter, Maine (USA)","11 November 1956 in Fort Riley, Kansas (USA)",United States,12879,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,"Terence Allen ""Terry""•Farnsworth",Terry•Farnsworth,"27 August 1942 in Portland, Maine (USA)",,Canada,33723,183 cm / 91 kg,,,,,,,
Competed in Olympic Games,Female,Cécile Ulbrich•Tucker,Cécile•Tucker,"19 May 1969 in Warren, Maine (USA)",,United States,40522,175 cm / 68 kg,,,,,,,
Competed in Olympic Games,Female,Alice W.•Bridges (-Roche),Alice•Bridges,"19 July 1916 in Waterville, Maine (USA)","5 May 2011 in Carlisle, Pennsylvania (USA)",United States,50975,,Posse School of Physical Education,,,,,,
Competed in Olympic Games,Female,"Mary Gray•Freeman (-Kelly, -Spitzer)",Mary•Freeman,"30 October 1933 in Bangor, Maine (USA)",,United States,51023,,"Walter Reed SC, Washington (USA)",,,,,,
Competed in Olympic Games,Male,Basil M.•Francis (Heal-),Basil•Francis,"21 February 1915 in Searsmont, Maine (USA)","23 March 1974 in Barnstable, Massachusetts (USA)",United States,51345,,"Boston Swimming Association, Boston (USA)",,,,,,
Competed in Olympic Games,Male,"William Thomas ""Bill""•Kirschbaum",Bill•Kirschbaum,"5 November 1902 in Fort Williams, Maine (USA)","29 April 1953 in San Mateo, California (USA)",United States,51447,,"Hui Makani Swim Club, (USA)",,,,,,
Competed in Olympic Games,Male,Kevin P.•Mahaney,Kevin•Mahaney,"31 March 1962 in Bangor, Maine (USA)",,United States,62875,185 cm / 89 kg,,,,,,,
Competed in Olympic Games,Female,Joan•Benoit (-Samuelson),Joan•Benoit,"16 May 1957 in Cape Elizabeth, Maine (USA)",,United States,77757,157 cm / 46 kg,"Athletics West, Eugene (USA)",,,,,,
Competed in Olympic Games,Female,"Elizabeth Lillian ""Betty""•Burch",Betty•Burch,"3 January 1911 in Bangor, Maine (USA)","4 December 1983 in Berkeley, California (USA)",United States,77779,166 cm / 67 kg,"Boston Swimming Association, Boston (USA)",,,,,,
Competed in Olympic Games,Male,Bruce Emery•Bickford,Bruce•Bickford,"12 March 1957 in East Benton, Maine (USA)",,United States,78110,180 cm / 60 kg,Team New Balance,,,,,,
Competed in Olympic Games,Male,"Edmund Franklin ""Ed""•Black",Ed•Black,"3 May 1905 in Bailey Island, Maine (USA)","22 October 1996 in Westboro, Massachusetts (USA)",United States,78116,178 cm / 75 kg,Newark Athletic Club,,,,,,
Competed in Olympic Games,Male,Harold Bradford•Enright,Harold•Enright,"28 April 1890 in Washington, Maine (USA)","2 March 1946 in Belmont, Massachusetts (USA)",United States,78375,178 cm / 68 kg,"Boston AA, Boston (USA)",,,,,,
Competed in Olympic Games,Male,Donald Emerson•Favor,Donald•Favor,"16 February 1913 in Portland, Maine (USA)","13 November 1984 in Placerville, California (USA)",United States,78392,178 cm / 76 kg,,,,,,,
Competed in Olympic Games,Male,"Robert Lucien Pierre ""Bob""•LeGendre",Bob•LeGendre,"7 January 1898 in Lewiston, Maine (USA)","21 January 1931 in Brooklyn, New York, New York (USA)",United States,78688,190 cm / 88 kg,"Newark AC, Newark (USA)",,,,,,
Competed in Olympic Games,Male,Carl Edwin•Ring,Carl•Ring,"17 May 1902 in Bangor, Maine (USA)","11 June 1991 in Hoboken, New Jersey (USA)",United States,78953,180 cm / 68 kg,"NYAC, New York (USA)",,,,,,
Competed in Olympic Games,Male,Arthur Woodbury•Sager,Arthur•Sager,"4 July 1904 in Gardiner, Maine (USA)","17 January 2000 in Homosassa, Florida (USA)",United States,78988,173 cm / 73 kg,"Boston AA, Boston (USA)",,,,,,
Competed in Olympic Games,Male,Andrew•Sockalexis,Andrew•Sockalexis,"11 January 1891 in Old Town, Maine (USA)","16 August 1919 in Oxford, Maine (USA)",United States,79070,175 cm / 66 kg,"Bangor, Maine",,,,,,
Competed in Olympic Games,Female,Leslie B.•Bancroft-Krichko,Leslie•Bancroft-Krichko,"22 February 1959 in Portland, Maine (USA)",,United States,80589,178 cm / 66 kg,,,,,,,
Competed in Olympic Games,Female,Anne-Lise•Parisien,Anne-Lise•Parisien,"22 October 1972 in Lewiston, Maine (USA)",,United States,82029,162 cm / 55 kg,,Anna,,,,,
Competed in Olympic Games,Male,"Charles Arthur ""Charlie""•Akers",Charlie•Akers,"12 July 1939 in Rumford, Maine (USA)","30 June 2016 in Palmer, Alaska (USA)",United States,83511,177 cm / 73 kg,U.S. Army/University of Maine,,,,,,
Competed in Olympic Games,Male,Karl Ruben•Anderson,Karl•Anderson,"6 August 1953 in Lewiston, Maine (USA)",,United States,83604,173 cm / 78 kg,"Sugarloaf Mountain Ski Club, Carrabassett Valley (USA)",,,,,,
Competed in Olympic Games,Male,"Daniel George ""Dan""•Bolduc",Dan•Bolduc,"6 April 1953 in Waterville, Maine (USA)",,United States,84231,,"Harvard Crimson, Cambridge (USA)",,,,,,
Competed in Olympic Games,Male,John Ford•Bower,John•Bower,"8 November 1940 in Lewiston, Maine (USA)","6 June 2017 in Park City, Utah (USA)",United States,84302,178 cm / 83 kg,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,Wendall W.•Broomhall,Wendall•Broomhall,"3 December 1919 in Mexico, Maine (USA)","30 December 2017 in Paris, Maine (USA)",United States,84394,,"Chisholm Ski Club, Rumford (USA)",Chummy,,,,,
Competed in Olympic Games,Male,"Christopher ""Chris""•Imes",Chris•Imes,"27 August 1972 in Norway, Maine (USA)",,United States,87336,180 cm / 89 kg,"Maine Black Bears, Orono, Maine (USA)",,,,,,
Competed in Olympic Games,Male,"Robert Cloudman ""Bob""•Kendall",Bob•Kendall,"23 July 1947 in Augusta, Maine (USA)",,United States,87876,178 cm / 75 kg,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,Jon Alton•Lufkin,Jon•Lufkin,"9 July 1947 in Rumford, Maine (USA)",,United States,91935,179 cm / 66 kg,Durango Ski Club,,,,,,
Competed in Olympic Games,Male,Ian Lowell•Crocker,Ian•Crocker,"31 August 1982 in Portland, Maine (USA)",,United States,93850,193 cm / 86 kg,"Portland Porpoise, Portland (USA) / Texas Longhorns, Austin (USA)",,,,,,
