Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,"Pamela Howard ""Pam""•Shriver (-Shapiro, -Lazenby)",Pam•Shriver,"4 July 1962 in Baltimore, Maryland (USA)",,United States,2740,183 cm / 70 kg,,,,,,,
Competed in Olympic Games,Male,Basil Spalding•de Garmendia,Spalding•de Garmendia,"28 February 1860 in Baltimore, Maryland (USA)","9 November 1932 in Saint-Raphaël, Var (FRA)",United States,2755,,"New York Racket Club, New York (USA)",,,,,,
Competed in Olympic Games,Female,Nancy Lynn•Dunkle,Nancy•Dunkle,"10 January 1955 in Bainbridge, Maryland (USA)",,United States,5225,188 cm / 70 kg,"Cal State Fullerton Titans, Fullerton (USA)",,,,,,
Competed in Olympic Games,Male,Harlan Joseph•Marbley,Harlan•Marbley,"11 October 1943 in White Oak, Maryland (USA)","13 May 2008 in Clinton, Maryland (USA)",United States,8723,162 cm / 48 kg,"US Army, (USA)",Peewee,,,,,
Competed in Olympic Games,Male,Andrew Lester•Maynard,Andrew•Maynard,"8 April 1964 in Cheverly, Maryland (USA)",,United States,8726,183 cm / 81 kg,"US Army, (USA)",Boxing Andrew Maynard (BAM),,,,,
Competed in Olympic Games,Male,"Jacob Alexander ""Lecky""•Haller",Lecky•Haller,"2 August 1957 in Glencoe, Maryland (USA)",,United States,11087,180 cm / 79 kg,,,,,,,
Competed in Olympic Games,Male,"David Carter ""Davey""•Hearn",Davey•Hearn,"17 April 1959 in Bethesda, Maryland (USA)",,United States,11096,175 cm / 72 kg,,,,,,,
Competed in Olympic Games,Male,"James Patrick ""Jamie""•McEwan",Jamie•McEwan,"24 September 1952 in Olney, Maryland (USA)",14 June 2014,United States,11125,183 cm / 77 kg,,,,,,,
Competed in Olympic Games,Male,James George “Jimmy”•Lauf,Jimmy•Lauf,"1 November 1927 in Baltimore, Maryland (USA)",,United States,15249,,U.S. Coast Guard,,,,,,
Competed in Olympic Games,Male,"Jesse Landis ""Lee""•Carleton",Lee•Carleton,"20 August 1862 in Cumberland, Maryland (USA)","6 December 1921 in St. Louis, Missouri (USA)",United States,18151,,"Glen Echo Country Club, St. Louis (USA)",,,,,,
Competed in Olympic Games,Male,George Francis•Powell,George•Powell,"17 May 1869 in Baltimore, Maryland (USA)","17 November 1927 in St. Louis, Missouri (USA)",United States,18190,,Bellerive Country Club,,,,,,
Competed in Olympic Games,Male,"Frederic Maxcy ""Fred""•Hewitt",Fred•Hewitt,"16 September 1916 in Baltimore, Maryland (USA)","26 September 2010 in Annapolis, Maryland (USA)",United States,20403,,Mt. Washington Club,Rip,,,,,
Competed in Olympic Games,Male,"Steven Michael ""Steve""•Jennings",Steve•Jennings,"24 July 1969 in Bethesda, Maryland (USA)",,United States,20405,170 cm / 73 kg,,,,,,,
Competed in Olympic Games,Male,Harry Byron•Marcoplos,Harry•Marcoplos,"28 January 1926 in Baltimore, Maryland (USA)",,United States,20414,183 cm / 73 kg,"Baltimore Field Hockey Club, Baltimore (USA)",,,,,,
Competed in Olympic Games • Competed in Olympic Games (non-medal events),Male,"John Iglehart ""Jack""•Turnbull",Jack•Turnbull,"30 June 1910 in Baltimore, Maryland (USA)",18 October 1944 in ? (BEL),United States,20437,,"Johns Hopkins Blue Jays, Baltimore (USA)",,,,,,
Competed in Olympic Games,Male,"Raymond Charles ""Ray""•Wittelsberger",Ray•Wittelsberger,"16 March 1925 in Baltimore, Maryland (USA)","29 August 1980 in Baltimore, Maryland (USA)",United States,20447,175 cm / 82 kg,"Baltimore Field Hockey Club, Baltimore (USA)",,,,,,
Competed in Olympic Games,Female,"Margaret Suzanne ""Suzie""•Paxton",Suzie•Paxton,"27 December 1969 in Baltimore, Maryland (USA)",,United States,21014,162 cm / 58 kg,,,,,,,
Competed in Olympic Games,Female,Ruth Carlita•White (-Hooker),Ruth•White,"16 July 1951 in Baltimore, Maryland (USA)",,United States,21020,170 cm / 59 kg,"Fencers Club, New York (USA)",,,,,,
Competed in Olympic Games,Male,John Merrill•Friedberg,John•Friedberg,"9 March 1961 in Baltimore, Maryland (USA)",,United States,23705,172 cm / 70 kg,,,,,,,
