Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,Jennifer Lynn•O'Donnell,Jennifer•O'Donnell,"12 October 1973 in Farmington, Michigan (USA)",,United States,2212,175 cm / 81 kg,,,,,,,
Competed in Olympic Games,Female,"Deborah Lynn ""Debra""•Ochs (-Asay)",Debra•Ochs,"30 January 1966 in Howell, Michigan (USA)",,United States,2213,170 cm / 55 kg,,,,,,,
Competed in Olympic Games,Male,Glenn Lee•Meyers,Glenn•Meyers,"19 June 1961 in Fremont, Michigan (USA)",,United States,2242,183 cm / 84 kg,,,,,,,
Competed in Olympic Games,Male,Malcolm Donald•MacDonald,Malcolm•MacDonald,"16 September 1865 in Detroit, Michigan (USA)","6 September 1921 in St. Louis, Missouri (USA)",United States,2773,,,,,,,,
Competed in Olympic Games,Male,Todd Alan•Sweeris,Todd•Sweeris,"28 May 1973 in Grand Rapids, Michigan (USA)",,United States,2792,170 cm / 70 kg,,,,,,,
Competed in Olympic Games,Male,Jason Andrew•Varitek,Jason•Varitek,"4 November 1972 in Rochester, Michigan (USA)",,United States,3252,188 cm / 94 kg,"Georgia Tech Yellow Jackets, Atlanta (USA)",,,,,,
Competed in Olympic Games,Male,Fred Einer•Ingaldson,Fred•Ingaldson,"2 September 1932 in Pontiac, Michigan (USA)","8 August 2011 in Winnipeg, Manitoba (CAN)",Canada,3266,190 cm / 85 kg,,,,,,,
Competed in Olympic Games,Female,Daedra Janel•Charles (-Furlow),Daedra•Charles,"22 November 1968 in Detroit, Michigan (USA)","14 April 2018 in Detroit, Michigan (USA)",United States,5175,190 cm / 64 kg,"Tennessee Volunteers, Knoxville (USA)",Night Train,,,,,
Competed in Olympic Games,Female,Pamela Denise•McGee,Pamela•McGee,"1 December 1962 in Flint, Michigan (USA)",,United States,5366,190 cm / 77 kg,"USC Trojans, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,"Samuel J. ""Sam""•Balter, Jr.",Sam•Balter,"15 October 1909 in Detroit, Michigan (USA)","8 August 1998 in Los Angeles, California (USA)",United States,5669,178 cm / 68 kg,"Universal Pictures, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,"Jeffrey ""Jeff""•Grayer",Jeff•Grayer,"17 December 1965 in Flint, Michigan (USA)",,United States,6212,195 cm / 91 kg,"Iowa State Cyclones, Ames (USA)",,,,,,
Competed in Olympic Games,Male,"Earvin ""Magic""•Johnson, Jr.",Magic•Johnson,"14 August 1959 in Lansing, Michigan (USA)",,United States,6336,205 cm / 100 kg,"Los Angeles Lakers, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,"Thomas Joseph ""Tom""•LaGarde",Tom•LaGarde,"10 February 1955 in Detroit, Michigan (USA)",,United States,6474,208 cm / 97 kg,"North Carolina Tar Heels, Chapel Hill (USA)",,,,,,
Competed in Olympic Games,Male,"Daniel Lewis ""Dan""•Majerle",Dan•Majerle,"9 September 1965 in Traverse City, Michigan (USA)",,United States,6580,198 cm / 98 kg,"Central Michigan University, Mount Pleasant, Michigan (USA)",Thunder Dan,,,,,
Competed in Olympic Games,Male,Frank Reilly•McCabe,Frank•McCabe,"30 June 1927 in Grand Rapids, Michigan (USA)","18 April 2021 in Peoria, Illinois (USA)",United States,6638,203 cm / 102 kg,"Peoria Caterpillars, Peoria (USA)",,,,,,
