Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"Joseph Leverett ""Joe""•Cunningham, Sr.",Joe•Cunningham,"26 February 1867 in Aberdeen, Mississippi (USA)","27 July 1951 in Temple, Texas (USA)",United States,2753,,,,,,,,
Competed in Olympic Games,Female,"Alice Ruth ""Ruthie""•Bolton-Holifield",Ruthie•Bolton-Holifield,"25 May 1967 in Lucedale, Mississippi (USA)",,United States,5152,173 cm / 68 kg,"Sacramento Monarchs, Sacramento (USA)",,,,,,
Competed in Olympic Games,Female,Jennifer•Gillom,Jennifer•Gillom,"13 June 1964 in Abbeville, Mississippi (USA)",,United States,5242,190 cm / 79 kg,"Deborah, Milano (ITA)",Grandmama,,,,,
Competed in Olympic Games,Female,"Lusia Mae ""Lucy""•Harris (-Stewart)",Lucy•Harris,"10 February 1955 in Minter City, Mississippi (USA)","18 January 2022 in Greenwood, Mississippi (USA)",United States,5263,189 cm / 82 kg,"Delta State University, Cleveland, Mississippi (USA)",,,,,,
Competed in Olympic Games,Female,Carolyn•Jones (-Young),Carolyn•Jones,"28 July 1969 in Bay Springs, Mississippi (USA)",,United States,5289,172 cm / 59 kg,"Auburn Tigers, Auburn, Alabama (USA)",,,,,,
Competed in Olympic Games,Female,Janice Faye•Lawrence (-Braxton),Janice•Lawrence,"7 June 1962 in Lucedale, Mississippi (USA)",,United States,5327,190 cm / 73 kg,"Louisiana Tech Lady Techsters, Ruston (USA)",,,,,,
Competed in Olympic Games,Male,Spencer•Haywood,Spencer•Haywood,"22 April 1949 in Silver City, Mississippi (USA)",,United States,6264,203 cm / 102 kg,"University of Detroit, Detroit (USA)",,,,,,
Competed in Olympic Games,Male,"Daniel Ricardo ""Danny""•Manning",Danny•Manning,"17 May 1966 in Hattiesburg, Mississippi (USA)",,United States,6589,208 cm / 104 kg,"Kansas Jayhawks, Lawrence (USA)",,,,,,
Competed in Olympic Games,Male,"Robert C. ""R. C.""•Pitts",R. C.•Pitts,"23 June 1919 in Pontotoc, Mississippi (USA)","29 October 2011 in Baton Rouge, Louisiana (USA)",United States,6876,195 cm / 91 kg,"Phillips 66ers, Bartlesville (USA)",,,,,,
Competed in Olympic Games,Male,George•Wilson,George•Wilson,"9 May 1942 in Meridian, Mississippi (USA)",29 July 2023,United States,7360,203 cm / 95 kg,"Cincinnati Bearcats, Cincinnati (USA)",Jif,,,,,
