Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,Denise Marie•Curry,Denise•Curry,"22 August 1959 in Fort Benton, Montana (USA)",,United States,5198,185 cm / 74 kg,"Stade français, Paris (FRA)",,,,,,
Competed in Olympic Games,Male,Todd Laverne•Foster,Todd•Foster,"27 August 1967 in Missoula, Montana (USA)",,United States,8670,170 cm / 63 kg,,Kid,,,,,
Competed in Olympic Games,Male,Roger Wilson•Rouse,Roger•Rouse,"3 June 1934 in Anaconda, Montana (USA)","7 March 1999 in Helena, Montana (USA)",United States,8759,183 cm / 77 kg,Idaho State College,,,,,,
Competed in Olympic Games,Female,Lindsay H.•Burns (-Barbier),Lindsay•Burns,"6 January 1965 in Big Timber, Montana (USA)",,United States,40442,174 cm / 58 kg,,,,,,,
Competed in Olympic Games,Female,Wanda Rae•Jewell (-Oliver),Wanda•Jewell,"19 June 1954 in Havre, Montana (USA)",,United States,44579,165 cm / 59 kg,,,,,,,
Competed in Olympic Games,Female,"Karen Patricia ""Pat""•Spurgin (-Pitney)",Pat•Spurgin,"10 August 1965 in Billings, Montana (USA)",,United States,44591,183 cm / 79 kg,Yellowstone Rifle Club,,,,,,
Competed in Olympic Games,Female,Deena Lynn•Wigger,Deena•Wigger,"27 August 1966 in Great Falls, Montana (USA)",,United States,44594,162 cm / 51 kg,,,,,,,
Competed in Olympic Games,Male,Thomas M.•Carr,Thomas•Carr,"9 August 1905 in Butte, Montana (USA)","19 August 1955 in Imperial County, California (USA)",United States,44631,,,,,,,,
Competed in Olympic Games,Male,"Samuel Henry ""Sam""•Sharman",Sam•Sharman,"2 November 1879 in Gallatin County, Montana (USA)","30 August 1951 in Los Angeles, California (USA)",United States,44758,188 cm,,,,,,,
Competed in Olympic Games,Male,"Lones Wesley•Wigger, Jr.",Lones•Wigger,"25 August 1937 in Great Falls, Montana (USA)","14 December 2017 in Colorado Springs, Colorado (USA)",United States,44791,170 cm / 82 kg,"US Army, (USA)",Wiggles,,,,,
Competed in Olympic Games,Male,Kendall Duane•Cross,Kendall•Cross,"24 February 1968 in Hardin, Montana (USA)",,United States,60604,170 cm / 57 kg,"Sunkist Kids Wrestling Club, Scottsdale (USA)",,,,,,
Competed in Olympic Games,Male,"Eugene Lee ""Gene""•Davis",Gene•Davis,"17 November 1945 in Missoula, Montana (USA)",,United States,60607,168 cm / 61 kg,"Montana Grizzlies, Missoula (USA)",,,,,,
Competed in Olympic Games,Female,Julie Ann•Brown,Julie•Brown,"4 February 1955 in Billings, Montana (USA)",,United States,77770,168 cm / 49 kg,"adidas, Herzogenaurach (GER)",,,,,,
Competed in Olympic Games,Female,Lorna Joann•Griffin,Lorna•Griffin,"9 June 1956 in Hamilton, Montana (USA)",,United States,77848,181 cm / 82 kg,"Athletics West, Eugene (USA)",,,,,,
Competed in Olympic Games,Male,"Francis James ""Jim""•Delaney",Jim•Delaney,"1 March 1921 in Butte, Montana (USA)","2 April 2012 in Santa Rosa, California (USA)",United States,78314,183 cm / 93 kg,"Olympic Club, San Francisco (USA)",,,,,,
Competed in Olympic Games,Male,"David Alan ""Dave""•Johnson",Dave•Johnson,"7 April 1963 in Missoula, Montana (USA)",,United States,78612,190 cm / 91 kg,New York Athletic Club/Reebok Running Club,,,,,,
Competed in Olympic Games,Male,"Lawrence Ronald ""Larry""•Questad",Larry•Questad,"10 July 1943 in Livingston, Montana (USA)","29 October 2020 in Boise, Idaho (USA)",United States,78924,188 cm / 84 kg,"Southern California Striders, Anaheim (USA)",,,,,,
Competed in Olympic Games,Male,Todd Ryan•Riech,Todd•Riech,"24 October 1970 in Polson, Montana (USA)",,United States,78950,188 cm / 95 kg,"Nike, Beaverton (USA)",,,,,,
Competed in Olympic Games,Male,"Robert Lyman ""Dink""•Templeton",Dink•Templeton,"27 May 1897 in Helena, Montana (USA)","7 August 1962 in Palo Alto, California (USA)",United States,79116,178 cm / 75 kg,"Stanford Cardinal, Stanford (USA)",,,,,,
Competed in Olympic Games,Male,"Anthony ""Tony""•Washington",Tony•Washington,"16 January 1966 in Glasgow, Montana (USA)",,United States,79168,186 cm / 109 kg,US West,,,,,,
Competed in Olympic Games,Female,Sheila Marie•Johansen,Sheila•Johansen,"22 January 1947 in Terry, Montana (USA)",,United States,81407,160 cm / 55 kg,,,,,,,
Competed in Olympic Games,Female,Laura•McCabe,Laura•McCabe,"8 March 1966 in Bozeman, Montana (USA)",,United States,81790,165 cm / 55 kg,,,,,,,
Competed in Olympic Games,Female,Kelly•Milligan,Kelly•Milligan,"16 February 1961 in Livingston, Montana (USA)",,United States,81840,,,,,,,,
Competed in Olympic Games,Female,"Judith Helen ""Judy""•Morstein (-Martz)",Judy•Morstein,"28 July 1943 in Big Timber, Montana (USA)","30 October 2017 in Rocker, Montana (USA)",United States,81876,176 cm / 68 kg,Montana Skating Club,,,,,,
Competed in Olympic Games,Female,Alison•Owen-Spencer (-Kiesel),Alison•Owen-Spencer,"5 January 1953 in Kalispell, Montana (USA)",,United States,82008,170 cm / 57 kg,,,,,,,
Competed in Olympic Games,Female,Karen Lee•Roberts (-Griffith),Karen•Roberts,"16 June 1954 in Miles City, Montana (USA)",,United States,82203,165 cm / 66 kg,,,,,,,
Competed in Olympic Games,Female,Kathleen Ann•Roberts-Homstad,Kathleen Ann•Roberts-Homstad,"17 November 1951 in Miles City, Montana (USA)",,United States,82204,168 cm / 66 kg,"Montana Grizzlies, Missoula (USA)",,,,,,
Competed in Olympic Games,Male,Eric•Bergoust,Eric•Bergoust,"27 August 1969 in Missoula, Montana (USA)",,United States,84047,183 cm / 77 kg,,Bergy,,,,,
Competed in Olympic Games,Male,Scott•Davis,Scott•Davis,"29 January 1972 in Great Falls, Montana (USA)",,United States,85031,175 cm / 68 kg,,,,,,,
Competed in Olympic Games,Female,"Christine ""Chris""•Clark",Chris•Clark,"10 October 1962 in Butte, Montana (USA)",,United States,89108,165 cm / 50 kg,Team Raven,,,,,,
