Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"Robert Lewis ""Bob""•Boozer",Bob•Boozer,"26 April 1937 in Omaha, Nebraska (USA)","19 May 2012 in Omaha, Nebraska (USA)",United States,5768,203 cm / 99 kg,"Kansas State Wildcats, Manhattan (USA)",Bullet Bob,,,,,
Competed in Olympic Games,Male,Willard Theodore•Schmidt,Willard•Schmidt,"14 February 1910 in Swanton, Nebraska (USA)","13 April 1965 in Coffeyville, Kansas (USA)",United States,7070,205 cm / 86 kg,"McPherson Oilers, McPherson, Kansas (USA)",,,,,,
Competed in Olympic Games,Male,Oliver Leonard•Kirk,Oliver•Kirk,"20 April 1884 in Beatrice, Nebraska (USA)","14 March 1960 in Farmington, Missouri (USA)",United States,8709,52 kg,"Business Men's Gym, St. Louis (USA)",,,,,,
Competed in Olympic Games,Male,Carl•Vinciquerra,Carl•Vinciquerra,"19 October 1914 in Omaha, Nebraska (USA)","10 November 1997 in Omaha, Nebraska (USA)",United States,8794,,"Creighton Bluejays, Omaha (USA)",,,,,,
Competed in Olympic Games • Administrator,Male,"Guy Vernor•Henry, Jr.",Guy•Henry,"28 January 1875 in Fort Robinson, Nebraska (USA)","29 November 1967 in Wenatchee, Washington (USA)",United States,12111,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,"Henry Curtis (Erich Kurt-) ""Harry""•Wittmann",Harry•Wittmann,"17 December 1885 in Lincoln, Nebraska (USA)","March 1968 in Lincoln, Nebraska (USA)",United States,17197,185 cm,,,,,,,
Competed in Olympic Games,Male,Arthur Ringland•Harris,Arthur•Harris,"1 August 1890 in Norfolk, Nebraska (USA)","20 March 1968 in Stuart, Florida (USA)",United States,18230,169 cm,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,Curtis Charles•Shears,Curtis•Shears,"4 July 1901 in Omaha, Nebraska (USA)","30 July 1988 in Bonita Springs, Florida (USA)",United States,23794,,"NYAC, New York (USA)",,,,,,
Competed in Olympic Games,Male,Aage Emil•Brix,Aage•Brix,"9 December 1894 in Lexington, Nebraska (USA)","16 March 1963 in Los Angeles, California (USA)",United States,27704,,"LAAC, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,"James ""Jim""•Hartung",Jim•Hartung,"7 June 1960 in Omaha, Nebraska (USA)",,United States,31335,165 cm / 64 kg,"Nebraska Cornhuskers, Lincoln (USA)",,,,,,
Competed in Olympic Games,Male,"Hale•Baugh, Jr.",Hale•Baugh,"10 September 1924 in Omaha, Nebraska (USA)","16 November 2011 in Cocoa, Florida (USA)",United States,35140,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Female,Lisa Diane•Rohde,Lisa•Rohde,"12 August 1955 in Wakefield, Nebraska (USA)",,United States,40503,175 cm / 67 kg,"Long Beach Rowing Association, Long Beach (USA)",,,,,,
Competed in Olympic Games,Male,Gary Lee•Anderson,Gary•Anderson,"8 October 1939 in Holdrege, Nebraska (USA)",,United States,44600,183 cm / 77 kg,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,Bret E.•Erickson,Bret•Erickson,"26 September 1960 in Blair, Nebraska (USA)",,United States,44653,188 cm / 95 kg,"US Army Marksmanship Unit, Fort Benning, Georgia (USA)",,,,,,
Competed in Olympic Games,Male,Frank Henry•Hughes,Frank•Hughes,"14 January 1881 in Neligh, Nebraska (USA)","28 June 1942 in Rochester, Minnesota (USA)",United States,44690,178 cm,Lincoln Park Gun Club,,,,,,
Competed in Olympic Games,Male,John E.•Jackson,John•Jackson,"14 February 1885 in Lincoln, Nebraska (USA)","17 June 1971 in Fairfield, Iowa (USA)",United States,44694,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,"Jerome Herbert ""Jerry""•Anderson",Jerry•Anderson,"23 February 1932 in Hastings, Nebraska (USA)","19 February 2009 in Hollywood, Florida (USA)",Puerto Rico,49881,169 cm / 70 kg,,,,,,,
Competed in Olympic Games,Male,"Michael Lee ""Mike""•Bruner",Mike•Bruner,"23 July 1956 in Omaha, Nebraska (USA)",,United States,51279,179 cm / 73 kg,DeAnza Swim Club,,,,,,
Competed in Olympic Games,Male,"Raymond C. ""Ray""•Kegeris",Ray•Kegeris,"10 September 1901 in Bellwood, Nebraska (USA)","14 August 1975 in Los Angeles, California (USA)",United States,51439,169 cm,"LAAC, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,"Benjamin Leonard ""Ben""•Thrash",Ben•Thrash,"7 May 1897 in Curtis, Nebraska (USA)","26 February 1966 in Long Beach, California (USA)",United States,51592,175 cm,"Olympic Club, San Francisco (USA)",,,,,,
Competed in Olympic Games,Female,Julie Jo•Vollertsen (-Melli),Julie•Vollertsen,"18 March 1959 in Syracuse, Nebraska (USA)",,United States,53269,184 cm / 73 kg,,,,,,,
Competed in Olympic Games,Male,"Lemoine Spencer ""Lee""•Case",Lee•Case,"8 August 1917 in Curtis, Nebraska (USA)","31 December 1984 in Rancho Mirage, California (USA)",United States,54905,,"LAAC, Los Angeles (USA)",,,,,,
