Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,Marion•Jones (-Farquhar),Marion•Jones,"2 November 1879 in Gold Hill, Nevada (USA)","14 March 1965 in Los Angeles, California (USA)",United States,2736,,,,,,,,
Competed in Olympic Games,Male,Andre Kirk•Agassi,Andre•Agassi,"29 April 1970 in Las Vegas, Nevada (USA)",,United States,2745,180 cm / 80 kg,,,,,,,
Competed in Olympic Games,Male,John Stewart•Tritle,Stewart•Tritle,"22 March 1871 in Virginia City, Nevada (USA)","7 March 1947 in St. Petersburg, Florida (USA)",United States,2793,,,,,,,,
Competed in Olympic Games,Male,Joseph Ignatius•Lang,Joseph•Lang,"4 February 1911 in Lovelock, Nevada (USA)","13 November 1990 in Santa Clara, California (USA)",United States,8714,,"Olympic Club, San Francisco (USA)",,,,,,
Competed in Olympic Games,Female,Kate Marie•Donahoo,Kate•Donahoo,"27 March 1966 in Las Vegas, Nevada (USA)",,United States,33154,160 cm / 56 kg,,,,,,,
Competed in Olympic Games,Male,Lloyd LeMarr•Butler,Lloyd•Butler,"11 November 1924 in Sparks, Nevada (USA)","19 May 1991 in Mesa, Arizona (USA)",United States,40571,,"California Golden Bears, Berkeley (USA)",,,,,,
Competed in Olympic Games,Male,Kenneth Melwyn•Beck,Kenneth•Beck,"19 April 1915 in Lovelock, Nevada (USA)","1 May 1982 in Arcadia, California (USA)",United States,54890,,"LAAC, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Female,Annette Renée•Peters (Hand-),Annette•Peters,"31 May 1965 in Reno, Nevada (USA)",,United States,77935,165 cm / 50 kg,Nike West,,,,,,
Competed in Olympic Games,Female,"Kathleen Stella ""Kathy""•Weston (-Blom)",Kathy•Weston,"19 May 1958 in Reno, Nevada (USA)",,United States,78006,170 cm / 58 kg,"Will's Spikettes, (USA)",,,,,,
Competed in Olympic Games,Male,Peter Clarence•Gerhardt,Peter•Gerhardt,"26 November 1877 in Virginia City, Nevada (USA)","5 August 1952 in Reno, Nevada (USA)",United States,78449,175 cm / 68 kg,"Olympic Club, San Francisco (USA)",,,,,,
Competed in Olympic Games,Male,Brandon T.•Rock,Brandon•Rock,"8 July 1972 in Las Vegas, Nevada (USA)",,United States,78969,193 cm / 79 kg,Powerade Athletic Club,,,,,,
Competed in Olympic Games,Female,Eva M.•Twardokens,Eva•Twardokens,"28 April 1965 in Reno, Nevada (USA)",,United States,82902,165 cm / 61 kg,,,,,,,
Competed in Olympic Games,Female,Tasha•Schwikert-Warren (-Moser),Tasha•Schwikert-Warren,"21 November 1984 in Las Vegas, Nevada (USA)",,United States,91595,,Gymcats,,,,,,
Competed in Olympic Games,Male,Klete Derik•Keller,Klete•Keller,"21 March 1982 in Las Vegas, Nevada (USA)",,United States,93855,198 cm / 97 kg,Phoenix Swim Club/Trojan Swim Club,,,,,,
Competed in Olympic Games,Female,"Charlene Johnson•Tagaloa (Johnson-, -Whitted)",Charlene•Tagaloa,"30 August 1973 in Las Vegas, Nevada (USA)",,United States,94590,178 cm / 71 kg,"BYU Cougars, Provo (USA)",,,,,,
Competed in Olympic Games,Male,"Michael Rex ""Mike""•McMillen",Mike•McMillen,"12 April 1964 in Las Vegas, Nevada (USA)",,New Zealand,95329,187 cm / 80 kg,,,,,,,
Competed in Olympic Games,Male,"Darrell Donald ""Don""•Robison",Don•Robison,"30 August 1931 in Reno, Nevada (USA)","14 January 2002 in Salt Lake City, Utah (USA)",United States,96900,,"US Air Force, (USA)",Pinky,,,,,
Competed in Olympic Games,Female,Julia Marie•Mancuso (-Fish),Julia•Mancuso,"9 March 1984 in Reno, Nevada (USA)",,United States,101440,168 cm / 64 kg,"Squaw Valley Ski Team, Olympic Valley, California (USA)",Super Jules,,,,,
Competed in Olympic Games,Female,"Elisabeth ""Lisa""•Odynski (-Anderson)",Lisa•Odynski,"29 December 1974 in Reno, Nevada (USA)",,United States,101491,162 cm / 66 kg,,,,,,,
Competed in Olympic Games,Female,Shannon Deanne•Bahrke,Shannon•Bahrke,"7 November 1980 in Reno, Nevada (USA)",,United States,101983,162 cm / 55 kg,"Squaw Valley Ski Team, Olympic Valley, California (USA) / Utah Utes, Salt Lake City (USA)",,,,,,
Competed in Olympic Games,Male,"Joseph ""Joey""•Hansen",Joey•Hansen,"13 August 1979 in Reno, Nevada (USA)",,United States,104501,198 cm / 97 kg,Princeton Training Centre,,,,,,
Competed in Olympic Games,Male,Cody Matthew•Mattern (-Nagengast),Cody•Mattern,"23 February 1981 in Reno, Nevada (USA)",,United States,106056,193 cm / 89 kg,,,,,,,
Competed in Olympic Games,Male,"Nathan John ""Nate""•Schierholtz",Nate•Schierholtz,"15 February 1984 in Reno, Nevada (USA)",,United States,113442,188 cm / 98 kg,"Fresno Grizzlies, Fresno (USA)",,,,,,
Competed in Olympic Games,Male,Aarik•Wilson,Aarik•Wilson,"25 October 1982 in Reno, Nevada (USA)",,United States,115035,191 cm / 88 kg,"Nike, Beaverton (USA)",,,,,,
Competed in Olympic Games,Male,Rodney•Martin,Rodney•Martin,"22 December 1982 in Las Vegas, Nevada (USA)",,United States,115517,173 cm / 73 kg,Nike / HSI,,,,,,
Competed in Olympic Games,Male,Scotty•Bahrke,Scotty•Bahrke,"19 July 1985 in Reno, Nevada (USA)",,United States,118967,173 cm / 66 kg,,,,,,,
Competed in Olympic Games • Competed in Youth Olympic Games • Other,Male,Giordan•Harris,Giordan•Harris,"19 April 1993 in Las Vegas, Nevada (USA)",,Marshall Islands,123502,185 cm / 99 kg,Kwajalein Swim Team,,,,,,
Competed in Olympic Games,Female,Konstantina•Kefala,Konstantina•Kefala,"9 August 1977 in Las Vegas, Nevada (USA)",,Greece,124670,170 cm / 56 kg,,,,,,Κωνσταντίνα•Κεφαλά,
Competed in Olympic Games,Male,"Jacob ""Jake""•Dalton",Jake•Dalton,"19 August 1991 in Reno, Nevada (USA)",,United States,126544,168 cm / 67 kg,"Oklahoma Sooners, Norman (USA)",,,,,,
Competed in Olympic Games,Male,David•Wise,David•Wise,"30 June 1990 in Reno, Nevada (USA)",,United States,128715,183 cm / 84 kg,,,,,,,
Competed in Olympic Games,Female,Vashti Maureen•Cunningham,Vashti•Cunningham,"18 January 1998 in Las Vegas, Nevada (USA)",,United States,132053,185 cm / 56 kg,"Nike, Beaverton (USA)",Ti-Ti,,,,,
Competed in Olympic Games,Male,Evan•Weinstock,Evan•Weinstock,"30 October 1991 in Las Vegas, Nevada (USA)",,United States,138266,193 cm / 98 kg,Brown University,,,,,,
Competed in Olympic Games,Female,"Gabrielle Lisa ""Gabby""•Williams",Gabby•Williams,"9 September 1996 in Sparks, Nevada (USA)",,France,142706,,,,,,,,
Competed in Olympic Games,Female,Jordan•Gray-Matyas,Jordan•Gray-Matyas,"2 July 1993 in Las Vegas, Nevada (USA)",,United States,147203,183 cm / 88 kg,,,,,,,
Competed in Olympic Games,Male,"David Morris•Taylor, III",David•Taylor,"5 December 1990 in Reno, Nevada (USA)",,United States,147505,183 cm / 86 kg,,,,,,,
Competed in Olympic Games,Female,Diana Sergeyevna•Davis,Diana•Davis,"16 January 2003 in Las Vegas, Nevada (USA)",,ROC,148805,,,,,,,Диана Сергеевна•Дэвис,
Competed in Olympic Games,Female,"Stephanie Jean ""Steph""•Rovetti",Steph•Rovetti,"2 October 1991 in Reno, Nevada (USA)",,United States,153628,,"Brigham Young University / California State University, Fresno",,,,,,
