Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,Michele Mary•Smith,Michele•Smith,"21 June 1967 in Plainfield, New Jersey (USA)",,United States,1434,177 cm / 70 kg,Redding Rebels,,,,,,
Competed in Olympic Games,Male,Michael Te-Pei•Chang,Michael•Chang,"22 February 1972 in Hoboken, New Jersey (USA)",,United States,2749,175 cm / 72 kg,,,,,,,
Competed in Olympic Games,Male,Jeffrey Bryan•Hammonds,Jeffrey•Hammonds,"3 March 1971 in Plainfield, New Jersey (USA)",,United States,3231,183 cm / 84 kg,"Stanford Cardinal, Stanford (USA)",,,,,,
Competed in Olympic Games,Male,"Ronald Thomas ""Ron""•Villone, Jr.","Ron•Villone, Jr.","16 January 1970 in Englewood, New Jersey (USA)",,United States,3253,190 cm / 104 kg,"UMass Minutemen, Amherst (USA)",,,,,,
Competed in Olympic Games • Coach,Female,Anne Theresa•Donovan,Anne•Donovan,"1 November 1961 in Ridgewood, New Jersey (USA)",13 June 2018,United States,5216,203 cm / 62 kg,"?, Shizuoka (JPN)",,,,,,
Competed in Olympic Games,Female,Juliene•Simpson (Brazinski-),Juliene•Simpson,"20 January 1953 in Elizabeth, New Jersey (USA)",,United States,5478,170 cm / 80 kg,"John F. Kennedy College, Wahoo, Nebraska (USA)",,,,,,
Competed in Olympic Games,Male,Leroy Jay•Loggins,Leroy•Loggins,"20 December 1957 in New Brunswick, New Jersey (USA)",,Australia,6531,195 cm / 80 kg,"West Adelaide/Fairmont State University, USA",,,,,,
Competed in Olympic Games,Male,Shaquille Rashuan•O'Neal,Shaquille•O'Neal,"6 March 1972 in Newark, New Jersey (USA)",,United States,6755,216 cm / 137 kg,"Orlando Magic, Orlando (USA)","Shaq, The Big Aristotle, Hobo Master, The Diesel, Shaq Fu, The Big Daddy, The Big Agave, The Big Cactus, The Big Shaqtus, The Big Galactus, Wilt Chamberneezy, The Big Baryshnikov, The Real Deal, The Big Shamrock, The Big Leprechaun, Shaqovic",,,,,
Competed in Olympic Games,Male,Terrance Davan•Cauthen,Terrance•Cauthen,"14 May 1976 in Trenton, New Jersey (USA)",,United States,8640,175 cm / 60 kg,Joe Frazier's Gym,Heat,,,,,
Competed in Olympic Games,Male,"Samuel ""Sammy""•Goss",Sammy•Goss,"28 January 1947 in Trenton, New Jersey (USA)",,United States,8678,162 cm / 54 kg,,,,,,,
Competed in Olympic Games,Male,"Reginald Dennis ""Reggie""•Jones (-Amid Muhammad-)",Reggie•Jones,"23 February 1951 in Newark, New Jersey (USA)",,United States,8703,174 cm / 71 kg,"US Marine Corps, (USA)",,,,,,
Competed in Olympic Games,Male,Joseph Ashur•Lazarus,Joseph•Lazarus,"18 December 1903 in Bayonne, New Jersey (USA)","21 June 1943 in Manhattan, New York, New York (USA)",United States,8716,168 cm,"Cornell Big Red, Ithaca (USA)",,,,,,
Competed in Olympic Games,Male,"Leonard ""Leon""•Lucas",Leon•Lucas,"4 September 1901 in Camden, New Jersey (USA)","19 May 1971 in Philadelphia, Pennsylvania (USA)",United States,8721,,"Neighborhood Athletic Club, Camden",,,,,,
Competed in Olympic Games,Male,"Percy Joseph•Price, Jr.","Percy•Price, Jr.","19 May 1936 in Salem, New Jersey (USA)","12 January 1989 in Jacksonville, North Carolina (USA)",United States,8748,191 cm / 95 kg,"US Marine Corps, (USA)",,,,,,
Competed in Olympic Games,Male,"Russell Charles ""Chick""•Dermond",Chick•Dermond,"31 December 1936 in Fairlawn, New Jersey (USA)","9 May 2015 in Johnson City, New York (USA)",United States,11072,180 cm / 73 kg,"Yonkers PRC, Glenwood, New York (USA)",,,,,,
Competed in Olympic Games,Male,John J.•Lysak,John•Lysak,"16 August 1914 in Bound Brook, New Jersey (USA)","8 January 2020 in Fremont, California (USA)",United States,11121,,"Yonkers PRC, Glenwood, New York (USA)",,,,,,
Competed in Olympic Games,Male,"Stephen John ""Steve""•Lysak",Steve•Lysak,"7 August 1912 in Newark, New Jersey (USA)","30 July 2002 in Yonkers, New York (USA)",United States,11122,,"Yonkers PRC, Glenwood, New York (USA)",,,,,,
Competed in Olympic Games,Male,"Francis Davis ""Frank""•Chapot",Frank•Chapot,"24 February 1932 in Camden, New Jersey (USA)","20 June 2016 in Bound Brook, New Jersey (USA)",United States,11746,178 cm / 70 kg,"US Air Force, (USA)",,,,,,
Competed in Olympic Games,Male,"William Henry ""Willie""•Beck",Willie•Beck,"9 October 1894 in Newark, New Jersey (USA)","14 May 1975 in West Palm Beach, Florida (USA)",United States,13544,169 cm,"Bay View Wheelmen, Newark (USA)",,,,,,
Competed in Olympic Games,Male,David Lofgren•Boll,David•Boll,"5 May 1953 in Hackensack, New Jersey (USA)",13 August 2017,United States,13654,175 cm / 67 kg,Century Road Club,,,,,,
Competed in Olympic Games,Male,Frank Arthur•Brown,Frank•Brown,"11 April 1890 in Newark, New Jersey (USA)","2 January 1969 in York, Toronto, Ontario (CAN)",Canada,13734,,,,,,,,
Competed in Olympic Games,Male,Frank E.•Connell,Frank•Connell,"19 October 1909 in Hoboken, New Jersey (USA)","25 July 2002 in Columbia, South Carolina (USA)",United States,13981,,,,,,,,
Competed in Olympic Games,Male,Christopher•Dotterweich,Christopher•Dotterweich,"24 March 1896 in Newark, New Jersey (USA)","20 November 1969 in Keansburg, New Jersey (USA)",United States,14186,,"Bay View Wheelmen, Newark (USA)",,,,,,
Competed in Olympic Games,Male,"William S.•Fenn, Jr.",William•Fenn,"14 September 1904 in Newark, New Jersey (USA)","22 December 1980 in Lavallette, New Jersey (USA)",United States,14307,175 cm,"Bay View Wheelmen, Newark (USA)",,,,,,
