Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"William Edward ""Willie""•Adams",Willie•Adams,"8 October 1972 in Gallup, New Mexico (USA)",,United States,3219,198 cm / 93 kg,"Stanford Cardinal, Stanford (USA)",,,,,,
Competed in Olympic Games,Male,Anastacio•Reyes,Anastacio•Reyes,"19 November 1949 in Las Cruces, New Mexico (USA)",,Mexico,6944,198 cm / 88 kg,,Chito,,,,,
Competed in Olympic Games,Male,Kent A.•Bostick,Kent•Bostick,"27 June 1953 in Corrales, New Mexico (USA)",,United States,13688,,Shaklee,,,,,,
Competed in Olympic Games • Referee,Male,"Rex Richard ""Dick""•Dyer",Dick•Dyer,"28 December 1929 in Santa Fe, New Mexico (USA)","4 November 2004 in Bryn Mawr, Pennsylvania (USA)",United States,23698,195 cm / 92 kg,"Salle Csiszar, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Male,Edwin Gaines•Fullinwider,Edwin•Fullinwider,"11 December 1900 in Raton, New Mexico (USA)","8 February 1982 in Washington, District of Columbia (USA)",United States,23707,,"US Naval Academy, Annapolis (USA)",,,,,,
Competed in Olympic Games,Male,Trent•Dimas,Trent•Dimas,"10 November 1970 in Albuquerque, New Mexico (USA)",,United States,31313,172 cm / 68 kg,Gold Cup Gymnastics,,,,,,
Competed in Olympic Games,Male,"Albert ""Chainey""•Umphrey",Chainey•Umphrey,"2 August 1970 in Albuquerque, New Mexico (USA)",,United States,31462,,"UCLA Bruins, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,Jose Armando•Vega,Armando•Vega,"24 October 1935 in Hurley, New Mexico (USA)",,United States,31463,167 cm / 64 kg,"Los Angeles Turners, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,John Richard•Terwilliger,John•Terwilliger,"14 December 1957 in Albuquerque, New Mexico (USA)",,United States,40901,195 cm / 91 kg,CRASH-B,Lurch,,,,,
Competed in Olympic Games,Female,"Catherine L. ""Cathy""•Carr (-West)",Cathy•Carr,"27 May 1954 in Albuquerque, New Mexico (USA)",,United States,50982,170 cm / 52 kg,"Coronado Navy SA, Coronado (USA)",,,,,,
Competed in Olympic Games,Female,"Janet•Ely (-Thorburn, -Lagourgue)",Janet•Ely,"12 September 1953 in Albuquerque, New Mexico (USA)",,United States,51013,163 cm / 54 kg,Bryan Robbins Divers' Club,,,,,,
Competed in Olympic Games,Male,Townsend•Saunders,Townsend•Saunders,"20 April 1967 in White Sands, New Mexico (USA)",,United States,60752,165 cm / 68 kg,"Sunkist Kids Wrestling Club, Scottsdale (USA)",,,,,,
Competed in Olympic Games,Female,Carol Therese•Cady,Carol•Cady,"6 June 1962 in Los Alamos, New Mexico (USA)",,United States,77780,169 cm / 79 kg,"Puma and Energizer Track Club, Santa Monica (USA)",,,,,,
Competed in Olympic Games,Female,Carla Sue•Garrett,Carla•Garrett,"31 July 1967 in Albuquerque, New Mexico (USA)",,United States,77839,186 cm / 60 kg,"Nike Coast Track Club, (USA)",,,,,,
