Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"Galen Carter ""G. C.""•Spencer",G. C.•Spencer,"19 September 1840 in New York, New York (USA)","19 October 1904 in Greenwich, Connecticut (USA)",United States,2246,165 cm,"Potomac Archers, Washington (USA)",,,,,,
Competed in Olympic Games,Female,Jennifer Marie•Capriati,Jennifer•Capriati,"29 March 1976 in New York, New York (USA)",,United States,2723,173 cm / 61 kg,,,,,,,
Competed in Olympic Games,Female,Eleanor•Goss (-Lanning),Eleanor•Goss,"18 November 1895 in New York, New York (USA)","November 1982 in Salisbury, Connecticut (USA)",United States,2732,,,,,,,,
Competed in Olympic Games,Female,Georgina Frances•Jones (-Walton),Georgina•Jones,"1 September 1882 in New York, New York (USA)","3 September 1955 in Los Angeles, California (USA)",United States,2735,,,,,Sister Daya,,,
Competed in Olympic Games,Female,Lillian•Scharman (-Hester),Lillian•Scharman,"26 June 1901 in Brooklyn, New York, New York (USA)","1 March 1982 in Manhattan, New York, New York (USA)",United States,2739,175 cm,,,,,,,
Competed in Olympic Games,Male,"Francis Townsend ""Frank""•Hunter",Frank•Hunter,"28 June 1894 in New York, New York (USA)","2 December 1981 in Palm Beach, Florida (USA)",United States,2765,180 cm,,,,,,,
Competed in Olympic Games,Male,Robert•LeRoy,Robert•LeRoy,"7 February 1885 in New York, New York (USA)","7 September 1946 in New York, New York (USA)",United States,2770,,,,,,,,
Competed in Olympic Games,Male,Theodore Roosevelt•Pell,Roosevelt•Pell,"12 March 1879 in Yonkers, New York (USA)","18 August 1967 in Sands Point, New York (USA)",United States,2779,188 cm / 85 kg,New York Lawn Tennis Club,,,,,,
Competed in Olympic Games,Male,"Thomas ""Tommy""•Reidy",Tommy•Reidy,"26 November 1968 in Brooklyn, New York, New York (USA)",,United States,2780,183 cm / 68 kg,,,,,,,
Competed in Olympic Games,Male,"Vincent ""Vinnie""•Richards",Vinnie•Richards,"20 March 1903 in Yonkers, New York (USA)","28 September 1959 in New York, New York (USA)",United States,2782,178 cm,,,,,,,
Competed in Olympic Games • Competed in Olympic Games (non-medal events),Male,Charles Edward•Sands,Charles•Sands,"22 December 1865 in New York, New York (USA)","9 August 1945 in Brookville, New York (USA)",France United States,2786,181 cm,"St. Andrew's Golf Club, New York (USA) / Tennis Club de Puteaux, Puteaux (FRA)",,,,United States,,
Competed in Olympic Games,Male,"Watson McLean ""Watty""•Washburn",Watty•Washburn,"13 June 1894 in New York, New York (USA)","2 December 1973 in New York, New York (USA)",United States,2797,194 cm,,,,,,,
Competed in Olympic Games,Male,MaliVai Onyeaka•Washington,MaliVai•Washington,"20 June 1969 in Glen Cove, New York (USA)",,United States,2798,180 cm / 79 kg,,,,,,,
Competed in Olympic Games,Male,"Chadwick Elton ""Chad""•Green",Chad•Green,"28 June 1975 in Dunkirk, New York (USA)",,United States,3228,178 cm / 84 kg,"Kentucky Wildcats, Lexington (USA)",,,,,,
Competed in Olympic Games,Male,"William Christopher ""Billy""•Koch",Billy•Koch,"14 December 1974 in Rockville Centre, New York (USA)",,United States,3238,190 cm / 100 kg,"Clemson Tigers, Clemson (USA)",,,,,,
Competed in Olympic Games,Female,Nancy Elizabeth•Lieberman (-Cline-),Nancy•Lieberman,"1 July 1958 in Brooklyn, New York, New York (USA)",,United States,5342,175 cm / 63 kg,"Far Rockaway High School, New York (USA)",Lady Magic,,,,,
Competed in Olympic Games,Female,Gail Annette•Marquis,Gail•Marquis,"18 November 1954 in New York, New York (USA)",,United States,5356,182 cm / 75 kg,"Queens College, New York (USA)",,,,,,
Competed in Olympic Games,Male,"Jacques Pierre Ralph•Albrecht, Jr.",Pierre•Albrecht,"1 January 1926 in New York, New York (USA)","12 December 1971 in Bournemouth, England (GBR)",Switzerland,5593,175 cm / 64 kg,SSU Genève,,,Pierre Albrecht de Martini,,,
Competed in Olympic Games,Male,Ralph English•Bishop,Ralph•Bishop,"1 October 1915 in Brooklyn, New York, New York (USA)","1 October 1974 in Santa Clara, California (USA)",United States,5735,193 cm / 86 kg,"Washington Huskies, Seattle (USA)",,,,,,
Competed in Olympic Games,Male,Héctor•Blondet Texidor,Héctor•Blondet,"12 May 1947 in Brooklyn, New York, New York (USA)","9 September 2006 in Morovis, Puerto Rico (PUR)",Puerto Rico,5747,195 cm / 91 kg,"Capitanes de Arecibo, Arecibo (PUR)",El Mago,,,,,
Competed in Olympic Games • Coach,Male,"Lawrence Harvey ""Larry""•Brown",Larry•Brown,"14 September 1940 in Brooklyn, New York, New York (USA)",,United States,5795,178 cm / 73 kg,Goodyear Wingfoots/University of North Carolina,,,,,,
Competed in Olympic Games • Coach,Male,José Carlos•Bru Villarreal,Carlos•Bru,"9 June 1928 in New York, New York (USA)","7 March 2016 in Ciudad de México (Mexico City), Ciudad de México (MEX)",Mexico,5796,,,,,,,,
Competed in Olympic Games,Male,James Raymond•Carter Gaudino,James•Carter,"27 March 1964 in New York, New York (USA)",,Puerto Rico,5837,183 cm / 95 kg,"Guayama Wizards, Guayama (PUR)",,,,,,
Competed in Olympic Games,Male,Eddie•Casiano Ojeda,Eddie•Casiano,"20 September 1972 in New York, New York (USA)",,Puerto Rico,5840,192 cm / 86 kg,"Atléticos de San Germán, San Germán (PUR) / Leones de Ponce, Ponce (PUR)",,,,,,
Competed in Olympic Games,Male,"William Sanderson ""Bill""•Coulthard",Bill•Coulthard,"29 December 1923 in Buffalo, New York (USA)","18 December 2005 in Tillsonburg, Ontario (CAN)",Canada,5918,,"Tillsonburg Livingstons, Tillsonburg (CAN)",,,,,,
Competed in Olympic Games,Male,"Vernon ""Vern""•Fleming",Vern•Fleming,"2 February 1962 in New York, New York (USA)",,United States,6116,195 cm / 84 kg,"Georgia Bulldogs, Athens (USA)",,,,,,
Competed in Olympic Games,Male,Michael Jeffrey•Jordan,Michael•Jordan,"17 February 1963 in Brooklyn, New York, New York (USA)",,United States,6342,198 cm / 90 kg,"North Carolina Tar Heels, Chapel Hill (USA) / Chicago Bulls, Chicago (USA)",Air,,,,,
Competed in Olympic Games,Male,Kevin Francis•Joyce,Kevin•Joyce,"27 June 1951 in Bayside, Queens, New York, New York (USA)",,United States,6344,191 cm / 86 kg,"South Carolina Gamecocks, Columbia (USA)",,,,,,
Competed in Olympic Games,Male,"Mitchell William ""Mitch""•Kupchak",Mitch•Kupchak,"24 May 1954 in Hicksville, New York (USA)",,United States,6461,208 cm / 104 kg,"North Carolina Tar Heels, Chapel Hill (USA)",,,,,,
Competed in Olympic Games,Male,Christian Donald•Laettner,Christian•Laettner,"17 August 1969 in Angola, New York (USA)",,United States,6473,211 cm / 107 kg,"Duke Blue Devils, Durham (USA)",,,,,,
Competed in Olympic Games,Male,"Raymond George ""Ray""•Lumpp",Ray•Lumpp,"11 July 1923 in Brooklyn, New York, New York (USA)","16 January 2015 in Mineola, New York (USA)",United States,6559,185 cm / 81 kg,"New York University Violets, New York (USA)",Sugar,,,,,
Competed in Olympic Games,Male,"Clifford Bruce ""Cliff""•Luyk Diem",Cliff•Luyk,"28 June 1941 in Syracuse, New York (USA)",,Spain,6560,202 cm / 90 kg,"Real Madrid, Madrid (ESP)",,,,,,
Competed in Olympic Games,Male,"William ""Bill""•McCadney",Bill•McCadney,"5 February 1935 in Brooklyn, New York, New York (USA)","2 April 2009 in Arecibo, Puerto Rico (PUR)",Puerto Rico,6639,200 cm / 96 kg,"Capitanes de Arecibo, Arecibo (PUR)",,,,,,
Competed in Olympic Games,Male,"Arthur Owen ""Art""•Mollner",Art•Mollner,"20 December 1912 in Saranac Lake, New York (USA)","16 March 1995 in Westlake Village, California (USA)",United States,6682,183 cm / 73 kg,"Universal Pictures, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,"Juan ""John""•Morales Tricoche",John•Morales,"24 February 1939 in New York, New York (USA)",,Puerto Rico,6695,196 cm / 83 kg,"Atléticos de San Germán, San Germán (PUR)",,,,,,
Competed in Olympic Games,Male,"Christopher Paul ""Chris""•Mullin",Chris•Mullin,"30 July 1963 in Brooklyn, New York, New York (USA)",,United States,6711,200 cm / 98 kg,Golden State Warriors,Mully,,,,,
Competed in Olympic Games,Male,"Jeffrey Vincent ""Jeff""•Mullins",Jeff•Mullins,"19 March 1942 in Astoria, Queens, New York, New York (USA)",,United States,6712,192 cm / 86 kg,"Duke Blue Devils, Durham (USA)",Pork Chop,,,,,
Competed in Olympic Games,Male,"Samuel Bruce ""Sam""•Perkins",Sam•Perkins,"14 June 1961 in Brooklyn, New York, New York (USA)",,United States,6852,205 cm / 106 kg,"North Carolina Tar Heels, Chapel Hill (USA)",The Big Smooth,,,,,
Competed in Olympic Games,Male,"Heriberto ""Eddie""•Rivera",Eddie•Rivera,"7 July 1970 in New York, New York (USA)",,Puerto Rico,6967,180 cm / 82 kg,"Piratas de Quebradillas, Quebradillas (PUR)",,,,,,
Competed in Olympic Games,Male,Rubén•Rodríguez León,Rubén•Rodríguez,"5 August 1953 in New York, New York (USA)",,Puerto Rico,6980,198 cm / 90 kg,"Vaqueros de Bayamón, Bayamón (PUR)",,,,,,
Competed in Olympic Games,Male,"Charles Thomas ""Charlie""•Scott",Charlie•Scott,"15 December 1948 in New York, New York (USA)",,United States,7073,196 cm / 82 kg,"North Carolina Tar Heels, Chapel Hill (USA)",,,,,,
Competed in Olympic Games,Male,"Steven Bernard ""Steve""•Sheppard",Steve•Sheppard,"21 March 1954 in New York, New York (USA)",,United States,7097,198 cm / 95 kg,"Maryland Terrapins, College Park, Maryland (USA)",Bear,,,,,
Competed in Olympic Games,Male,Richard•Soto Estrada,Richard•Soto,"11 April 1968 in New York, New York (USA)",,Puerto Rico,7160,200 cm / 91 kg,"Taínos de Cabo Rojo, Cabo Rojo (PUR) / Avancinos de Villalba, Villalba (PUR)",,,,,,
Competed in Olympic Games,Male,"George ""Georgie""•Torres Dougherty",Georgie•Torres,"21 September 1957 in New York, New York (USA)",,Puerto Rico,7241,190 cm / 97 kg,"Vaqueros de Bayamón, Bayamón (PUR)",,,,,,
Competed in Olympic Games,Male,Riddick Lamont•Bowe,Riddick•Bowe,"10 August 1967 in Brooklyn, New York, New York (USA)",,United States,8625,195 cm / 99 kg,,Big Daddy,,,,,
Competed in Olympic Games,Male,Mark Anthony•Breland,Mark•Breland,"11 May 1963 in Brooklyn, New York, New York (USA)",,United States,8628,190 cm / 67 kg,Bedford-Stuyvesant Boxing Association,,,,,,
Competed in Olympic Games,Male,Edson L.•Brown,Edson•Brown,"16 May 1935 in New York, New York (USA)",12 September 1962,United States,8631,,,,,,,,
Competed in Olympic Games,Male,"Robert John ""Bob""•Carmody",Bob•Carmody,"4 September 1938 in Brooklyn, New York, New York (USA)","27 October 1967 in north of Thành phố Hồ Chí Minh (Ho Chi Minh City), Thành phố Hồ Chí Minh (VIE)",United States,8637,158 cm / 51 kg,"US Army, (USA)",Butterball,,,,,
Competed in Olympic Games,Male,Ricardo Luis•Carreras,Ricardo•Carreras,"8 December 1949 in New York, New York (USA)",,United States,8638,169 cm / 54 kg,"US Air Force, (USA)",,,,,,
Competed in Olympic Games,Male,"Francis Bernard ""Frank""•Cassidy",Frank•Cassidy,"7 November 1895 in New York, New York (USA)","28 February 1924 in Saranac Lake, New York (USA)",United States,8639,,Ozanam Club,,,,,,
Competed in Olympic Games,Male,"Howard Edward•Davis, Jr.","Howard•Davis, Jr.","14 February 1956 in Glen Cove, New York (USA)","30 December 2015 in Plantation, Florida (USA)",United States,8651,178 cm / 60 kg,,,,,,,
Competed in Olympic Games,Male,"Frank ""Frankie""•Genaro (DiGennara-)",Frankie•Genaro,"26 August 1901 in New York, New York (USA)","27 December 1966 in Staten Island, New York (USA)",United States,8652,156 cm / 51 kg,"Paulist AC, New York (USA)",,,,,,
Competed in Olympic Games,Male,George Daniel•Etcell,George•Etcell,"2 April 1898 in New York, New York (USA)","6 April 1965 in Los Angeles, California (USA)",United States,8662,,"US Navy, (USA)",Sailor,,,,,
Competed in Olympic Games,Male,"Stephen Michael ""Steve""•Halaiko",Steve•Halaiko,"27 December 1908 in Waverly, New York (USA)","6 February 2001 in Orange Park, Florida (USA)",United States,8685,,Buffalo Orioles,,,,,,
Competed in Olympic Games,Male,Alexander Joseph•Kaletchitz,Alexander•Kaletchitz,"2 March 1898 in New York, New York (USA)","1 April 1994 in Palmetto, Florida (USA)",United States,8706,,Lenox Hill Settlement,,,,,,
Competed in Olympic Games,Male,Fidel•LaBarba,Fidel•LaBarba,"29 September 1905 in Bronx, New York (USA)","2 October 1981 in Los Angeles, California (USA)",United States,8710,160 cm / 51 kg,"LAAC, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,Samuel Joseph•Lagonia,Samuel•Lagonia,"19 April 1898 in ?, Westchester County, New York (USA)","15 November 1968 in Flushing, New York (USA)",United States,8711,175 cm,Bronxdale Athletic Club,,,,,,
Competed in Olympic Games,Male,"Thomas Crooks ""Tommy""•Lown",Tommy•Lown,"5 April 1904 in New York, New York (USA)","22 September 1977 in Schenectady, New York (USA)",United States,8720,,Kennedy Boys' Club of New York,,,,,,
Competed in Olympic Games,Male,"Louis ""Lou""•Salica",Lou•Salica,"16 November 1912 in Brooklyn, New York, New York (USA)","30 January 2002 in Brooklyn, New York, New York (USA)",United States,8763,163 cm,"Boys' Club of New York, New York (USA)",Luigi,,,,,
Competed in Olympic Games,Male,"Nikos Michaelis ""Nick""•Spanakos",Nick•Spanakos,"26 July 1938 in New York, New York (USA)",,United States,8774,161 cm / 56 kg,Elk's Club,Nickos,,,,,
Competed in Olympic Games,Male,William Frederick•Spengler,William•Spengler,"31 March 1889 in New York, New York (USA)",3 May 1979,United States,8776,185 cm,New York Police Department,,,,,,
Competed in Olympic Games,Male,"Salvatore Peter ""Al""•Tripoli",Al•Tripoli,"5 December 1904 in New York, New York (USA)","7 March 1990 in Yonkers, New York (USA)",United States,8789,,Hollywood Inn Club,,,Jack Williams,,,
Competed in Olympic Games,Male,"David ""Davey""•Vasquez",Davey•Vasquez,"11 October 1948 in New York, New York (USA)",,United States,8793,157 cm / 51 kg,,Baby,,,,,
Competed in Olympic Games,Male,"Samuel ""Sammy""•Vogel (Fogel-)",Sammy•Vogel,"28 July 1902 in New York, New York (USA)","February 1971 in New York, New York (USA)",United States,8795,,"Pastime AC, New York (USA)",,,,,,
Competed in Olympic Games,Female,Shirley•Dery-Batlik,Shirley•Dery-Batlik,"17 November 1961 in White Plains, New York (USA)",,United States,11031,167 cm / 64 kg,,,,,,,
Competed in Olympic Games,Female,Alexandra•Harbold (Bernhart-),Alexandra•Harbold,"4 March 1965 in New York, New York (USA)",,United States,11036,172 cm / 64 kg,,,,,,,
Competed in Olympic Games,Female,Leslie Gail•Klein,Leslie•Klein,"20 December 1954 in Rochester, New York (USA)",,United States,11042,185 cm / 64 kg,"Middlebury College Panthers, Middlebury (USA)",,,,,,
Competed in Olympic Games,Male,John Justin•Anderson,John•Anderson,"2 April 1924 in Yonkers, New York (USA)","15 March 2001 in Sarasota, Florida (USA)",United States,11053,,,,,,,,
Competed in Olympic Games,Male,Paul John•Beachem,Paul•Beachem,"14 October 1934 in New York, New York (USA)",,United States,11058,188 cm / 79 kg,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,Paul John•Bochnewich,Paul•Bochnewich,"28 January 1925 in Yonkers, New York (USA)","14 November 2001 in Danbury, Connecticut (USA)",United States,11061,,"Yonkers PRC, Glenwood, New York (USA)",,,,,,
Competed in Olympic Games,Male,Michael Nicholas•Budrock,Michael•Budrock,"3 September 1929 in Yonkers, New York (USA)","13 February 1998 in Bristol, Rhode Island (USA)",United States,11063,,,,,,,,
