Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"Walter Jones ""Walt""•Bellamy, Jr.",Walt•Bellamy,"24 July 1937 in New Bern, North Carolina (USA)","2 November 2013 in Atlanta, Georgia (USA)",United States,5704,211 cm / 98 kg,"Indiana Hoosiers, Bloomington (USA)",Bells,,,,,
Competed in Olympic Games,Male,"Thomas Loren ""Tommy""•Burleson",Tommy•Burleson,"24 February 1952 in Crossnore, North Carolina (USA)",,United States,5804,223 cm / 102 kg,"NC State Wolfpack, Raleigh (USA)",,,,,,
Competed in Olympic Games,Male,Walter Paul•Davis,Walter•Davis,"9 September 1954 in Pineville, North Carolina (USA)","2 November 2023 in Charlotte, North Carolina (USA)",United States,5960,195 cm / 86 kg,"North Carolina Tar Heels, Chapel Hill (USA)",,,,,,
Competed in Olympic Games,Male,"Philip Jackson ""Phil""•Ford, Jr.",Phil•Ford,"9 February 1956 in Rocky Mount, North Carolina (USA)",,United States,6127,188 cm / 77 kg,"North Carolina Tar Heels, Chapel Hill (USA)",,,,,,
Competed in Olympic Games,Male,"Robert Clyde ""Bobby""•Jones",Bobby•Jones,"18 December 1951 in Charlotte, North Carolina (USA)",,United States,6340,203 cm / 93 kg,"North Carolina Tar Heels, Chapel Hill (USA)",,,,,,
Competed in Olympic Games,Male,Sam•Shepherd,Sam•Shepherd,"21 April 1953 in La Grange, North Carolina (USA)",,Venezuela,7096,180 cm,Panteras de Miranda/Lara/Zulia,El Mago,,,,,
Competed in Olympic Games,Male,"James Felton ""Jim""•Boyd",Jim•Boyd,"30 November 1930 in Rocky Mount, North Carolina (USA)","25 January 1997 in Baltimore, Maryland (USA)",United States,8626,180 cm / 79 kg,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,"Ray Charles ""Sugar Ray""•Leonard",Sugar Ray•Leonard,"17 May 1956 in Wilmington, North Carolina (USA)",,United States,8719,178 cm / 62 kg,,,,,,,
Competed in Olympic Games,Male,Floyd•Patterson,Floyd•Patterson,"4 January 1935 in Waco, North Carolina (USA)","11 May 2006 in New Paltz, New York (USA)",United States,8746,183 cm / 75 kg,,,,,,,
Competed in Olympic Games,Male,"George G. ""Jackie""•Wilson",Jackie•Wilson,"17 January 1918 in Spencer, North Carolina (USA)","10 March 1956 in Cleveland, Ohio (USA)",United States,8802,182 cm / 54 kg,,,,,,,
Competed in Olympic Games,Male,Conrad E.•Homfeld,Conrad•Homfeld,"25 December 1951 in Pinehurst, North Carolina (USA)",,United States,12131,185 cm / 64 kg,,,,,,,
Competed in Olympic Games,Male,"Cornelius Comegys•Jadwin, II",Cornelius•Jadwin,"22 March 1896 in Wilmington, North Carolina (USA)","3 March 1982 in Warrenton, Virginia (USA)",United States,12166,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,John William•Wofford,John W.•Wofford,"1 January 1898 in High Point, North Carolina (USA)","27 February 1955 in Rochester, Minnesota (USA)",United States,13014,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,Brian Sean•McDonough,Brian•McDonough,"16 August 1965 in Winston-Salem, North Carolina (USA)",,United States,15571,175 cm / 77 kg,,,,,,,
Competed in Olympic Games,Male,"Timothy Todd ""Timm""•Peddie",Timm•Peddie,"8 April 1970 in Raleigh, North Carolina (USA)",,United States,16045,180 cm / 66 kg,,,,,,,
Competed in Olympic Games,Male,Nathan•Sheafor,Nathan•Sheafor,"16 November 1961 in Fort Bragg, North Carolina (USA)",,United States,16555,185 cm / 71 kg,,,,,,,
Competed in Olympic Games,Male,George William Bittle•Groseclose,William•Groseclose,"27 October 1858 in Salisbury, North Carolina (USA)",,United States,18165,,"Glen Echo Country Club, St. Louis (USA)",WB,,,,,
Competed in Olympic Games,Male,"George Edward ""Eddie""•Pope",Eddie•Pope,"24 December 1973 in Greensboro, North Carolina (USA)",,United States,27806,186 cm / 86 kg,"D.C. United, Washington (USA)",,,,,,
Competed in Olympic Games,Female,"Leora Samuela ""Sam""•Jones",Sam•Jones,"18 November 1960 in Mount Olive, North Carolina (USA)",,United States,32941,172 cm / 73 kg,,,,,,,
Competed in Olympic Games,Male,Steven Parnell•Penn,Steve•Penn,"19 November 1968 in Hendersonville, North Carolina (USA)",,United States,33007,178 cm / 84 kg,"National Team, (USA)",,,,,,
Competed in Olympic Games,Male,George Lee•Harris,George•Harris,"15 January 1933 in Kittrell, North Carolina (USA)","7 January 2011 in Brick, New Jersey (USA)",United States,33817,189 cm / 100 kg,Travis Judo Club,,,,,,
Competed in Olympic Games,Female,"Theresa E. ""Terry""•DeWitt (Wentzel-)",Terry•DeWitt,"15 April 1963 in Fort Bragg, North Carolina (USA)",,United States,44574,170 cm / 66 kg,"US Army Marksmanship Unit, Fort Benning, Georgia (USA)",,,,,,
