Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"Richard Allen ""Rick""•Helling",Rick•Helling,"15 December 1970 in Devil's Lake, North Dakota (USA)",,United States,3233,188 cm / 95 kg,"Stanford Cardinal, Stanford (USA)",,,,,,
Competed in Olympic Games,Male,Brent A.•Goulet,Brent•Goulet,"19 June 1964 in Cavalier, North Dakota (USA)",,United States,27748,178 cm / 77 kg,"AFC Bournemouth, Bournemouth (GBR)",,,,,,
Competed in Olympic Games,Male,Robert Keith•Sandager,Robert•Sandager,"24 December 1914 in Lisbon, North Dakota (USA)","25 March 2010 in Minneapolis, Minnesota (USA)",United States,44753,,,Sandy,,,,,
Competed in Olympic Games,Male,"Thomas Allen ""Tom""•Haine",Tom•Haine,"6 January 1933 in Minot, North Dakota (USA)","10 September 1994 in Honolulu, Hawaii (USA)",United States,53292,186 cm / 93 kg,"Outrigger Canoe Club, Honolulu (USA)",Daddy,,,,,
Competed in Olympic Games,Male,"Charles Raymond ""Chick""•McIlroy",Chick•McIlroy,"1 August 1938 in Minot, North Dakota (USA)",,United States,54950,180 cm / 74 kg,El Segundo Swim Club,Chic,,,,,
Competed in Olympic Games,Male,Ned Leroy•McIlroy,Ned•McIlroy,"26 July 1939 in Noonan, North Dakota (USA)",,United States,54951,178 cm / 75 kg,El Segundo Swim Club,,,,,,
Competed in Olympic Games,Female,"Ethel Hannah•Catherwood (-McLaren, -Mitchell)",Ethel•Catherwood,"28 April 1908 in Hannah, North Dakota (USA)","26 September 1987 in Grass Valley, California (USA)",Canada,65828,178 cm / 58 kg,"Parkdale Ladies' AC, Toronto (CAN)",The Saskatoon Lily,,,,,
Competed in Olympic Games,Male,John Dale•Bennett,John•Bennett,"14 November 1930 in Grand Forks, North Dakota (USA)",,United States,78104,172 cm / 68 kg,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,Verne Hobson•Booth,Verne•Booth,"27 October 1898 in Sawyer, North Dakota (USA)","27 September 1979 in Hendersonville, North Carolina (USA)",United States,78128,185 cm / 68 kg,"Johns Hopkins Blue Jays, Baltimore (USA)",Man O'War,,,,,
Competed in Olympic Games,Male,"Kenneth Eldred ""Ken""•Bartholomew (Bartholomay-)",Ken•Bartholomew,"10 February 1920 in Leonard, North Dakota (USA)","9 October 2012 in Bloomington, Minnesota (USA)",United States,83869,,Lawrence Wennell Powderhorn Skating Club,,,,,,
Competed in Olympic Games,Male,"Kenneth Richard ""Ken""•Purpur",Ken•Purpur,"1 March 1932 in Grand Forks, North Dakota (USA)","5 June 2011 in Rapid City, South Dakota (USA)",United States,96643,170 cm / 73 kg,"North Dakota Fighting Hawks, Grand Forks (USA)",,,,,,
Competed in Olympic Games,Male,"Gregory Samuel ""Greg""•Swor",Greg•Swor,"19 April 1951 in Fargo, North Dakota (USA)",,United States,98045,170 cm / 67 kg,"Duluth XC Ski Club, Duluth (USA)",,,,,,
Competed in Olympic Games,Male,"Jacob ""Jake""•Deitchler",Jake•Deitchler,"1 December 1989 in Mayville, North Dakota (USA)",,United States,117169,173 cm / 66 kg,Minnesota Storm,,,,,,
Competed in Olympic Games,Male,Mark•Ladwig,Mark•Ladwig,"6 May 1980 in Fargo, North Dakota (USA)",,United States,119099,178 cm / 80 kg,Red River Valley Figure Skating Club,,,,,,
Competed in Olympic Games,Female,Jocelyne Nicole•Lamoureux-Davidson,Jocelyne•Lamoureux-Davidson,"3 July 1989 in Grand Forks, North Dakota (USA)",,United States,119240,168 cm / 70 kg,"North Dakota Fighting Hawks, Grand Forks (USA)",,,,,,
Competed in Olympic Games,Female,"Monique Edith•Lamoureux (-Kolls, -Morando)",Monique•Lamoureux,"3 July 1989 in Grand Forks, North Dakota (USA)",,United States,119318,168 cm / 70 kg,"North Dakota Fighting Hawks, Grand Forks (USA) / Minnesota Whitecaps, Minneapolis (USA)","Moe, Lammy",,,,,
Competed in Olympic Games,Male,"Nathan ""Nate""•Weber",Nate•Weber,"1 February 1987 in Bismarck, North Dakota (USA)",,United States,138265,188 cm / 102 kg,US Army Special Forces (USA),,,,,,
Competed in Olympic Games,Female,Britta•Curl-Salemme,Britta•Curl-Salemme,"20 March 2000 in Bismarck, North Dakota (USA)",,United States,157228,175 cm,Minnesota Frost (USA),,,,,,
