Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"Julius Gustav Albert ""Bert""•Schneider",Bert•Schneider,"1 July 1897 in Cleveland, Ohio (USA)",20 February 1986,Canada,1238,,"Montreal AAA, Montréal (CAN)",,,,,,
Competed in Olympic Games,Female,Maureen Kay•Bechdolt (-Detro),Maureen•Bechdolt,"17 July 1952 in Dayton, Ohio (USA)",,United States,2204,160 cm / 61 kg,,,,,,,
Competed in Olympic Games,Female,"Matilda ""Lida""•Howell (Scott-)",Lida•Howell,"28 August 1859 in Lebanon, Ohio (USA)","20 December 1938 in Norwood, Ohio (USA)",United States,2209,,"Cincinnati Archers, Cincinnati (USA)",,,,,,
Competed in Olympic Games,Female,"Lida Peyton ""Eliza""•Pollock (McMillen-)",Eliza•Pollock,"24 October 1840 in Hamilton, Ohio (USA)","25 May 1919 in Wyoming, Ohio (USA)",United States,2215,,"Cincinnati Archers, Cincinnati (USA)",,,,,,
Competed in Olympic Games,Female,"Lenora Josephine ""Leonie""•Taylor",Leonie•Taylor,"March 1870 in Cincinnati, Ohio (USA)","9 March 1936 in Mount Sterling, Kentucky (USA)",United States,2219,,"Cincinnati Archers, Cincinnati (USA)",,,,,,
Competed in Olympic Games,Female,Mabel Caroline•Taylor (-Brummel),Mabel•Taylor,"7 December 1879 in Cincinnati, Ohio (USA)","1 July 1967 in Chicago, Illinois (USA)",United States,2220,,"Cincinnati Archers, Cincinnati (USA)",,,,,,
Competed in Olympic Games,Female,Emily•Woodruff (Smiley-),Emily•Woodruff,"19 April 1846 in Cincinnati, Ohio (USA)","28 March 1916 in Berwyn, Illinois (USA)",United States,2222,,"Cincinnati Archers, Cincinnati (USA)",,,,,,
Competed in Olympic Games,Male,Amos Burr•Casselman,Amos•Casselman,"14 November 1850 in Canton, Ohio (USA)","30 November 1929 in Washington, District of Columbia (USA)",United States,2227,,"Potomac Archers, Washington (USA)",,,,,,
Competed in Olympic Games,Male,William Allen•Clark,William•Clark,"March 1842 in Cincinnati, Ohio (USA)","20 October 1913 in Knoxville, Tennessee (USA)",United States,2228,,"Cincinnati Archers, Cincinnati (USA)",,,,,,
Competed in Olympic Games,Male,Charles Randolph•Hubbard,Charles•Hubbard,"20 August 1849 in Cincinnati, Ohio (USA)","28 March 1923 in Hamilton, Ohio (USA)",United States,2233,,"Cincinnati Archers, Cincinnati (USA)",,,,,,
Competed in Olympic Games,Male,Benjamin F.•Keys,Benjamin•Keys,"22 November 1853 in Cincinnati, Ohio (USA)","7 June 1911 in Chicago, Illinois (USA)",United States,2236,,"Chicago Archers, Chicago (USA)",,,,,,
Competed in Olympic Games,Male,Darrell Owen•Pace,Darrell•Pace,"23 October 1956 in Cincinnati, Ohio (USA)",,United States,2243,180 cm / 64 kg,,,,,,,
Competed in Olympic Games,Male,Thomas Foster•Scott,Thomas•Scott,"3 January 1833 in Warren, Ohio (USA)","23 June 1911 in Norwood, Ohio (USA)",United States,2245,,"Cincinnati Archers, Cincinnati (USA)",,,,,,
Competed in Olympic Games,Male,Ralph Buren•Taylor,Ralph•Taylor,"26 January 1874 in Plain township, Franklin county, Ohio (USA)","23 February 1958 in Columbus, Ohio (USA)",United States,2248,,"Cincinnati Archers, Cincinnati (USA)",,,,,,
Competed in Olympic Games,Male,Charles Sherman•Woodruff,Charles•Woodruff,"15 August 1844 in Cincinnati, Ohio (USA)","6 September 1927 in Cincinnati, Ohio (USA)",United States,2256,,"Cincinnati Archers, Cincinnati (USA)",,,,,,
