Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,Emma C.•Cooke,Emma•Cooke,"7 September 1848 in Fayetteville, Pennsylvania (USA)","22 January 1929 in Washington, District of Columbia (USA)",United States,2206,,"Potomac Archers, Washington (USA)",,,,,,
Competed in Olympic Games,Female,Linda Ann•Myers,Linda•Myers,"19 June 1947 in York, Pennsylvania (USA)",,United States,2211,170 cm / 62 kg,York Archers,,,,,,
Competed in Olympic Games,Female,Ruth E.•Rowe,Ruth•Rowe,"11 March 1947 in Pittsburgh, Pennsylvania (USA)",,United States,2216,185 cm / 63 kg,,,,,,,
Competed in Olympic Games,Female,"Melanie•Skillman (Soltysik-, -Hull)",Melanie•Skillman,"23 September 1954 in Reading, Pennsylvania (USA)",,United States,2218,155 cm / 59 kg,,,,,,,
Competed in Olympic Games,Male,David Fisher•McGowan,David•McGowan,"10 January 1838 in Perry County, Pennsylvania (USA)","22 September 1924 in Rome, Georgia (USA)",United States,2240,,"Potomac Archers, Washington (USA)",,,,,,
Competed in Olympic Games,Male,"Rodney E. ""Rod""•White",Rod•White,"1 March 1977 in Sharon, Pennsylvania (USA)",,United States,2253,183 cm / 78 kg,,,,,,,
Competed in Olympic Games,Male,John Chester•Williams,John•Williams,"12 September 1953 in Erie, Pennsylvania (USA)",,United States,2254,189 cm / 73 kg,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,"Robert W.•Williams, Jr.",Robert•Williams,"24 January 1841 in Chambersburg, Pennsylvania (USA)","10 December 1914 in Washington, District of Columbia (USA)",United States,2255,,"Potomac Archers, Washington (USA)",,,,,,
Competed in Olympic Games,Female,"Marion Hall•Jessup (Zinderstein-, -MacLure)",Marion•Jessup,"6 May 1896 in Allentown, Pennsylvania (USA)","14 August 1980 in Litchfield County, Connecticut (USA)",United States,2734,163 cm,,,,,,,
Competed in Olympic Games,Male,"Dwight Filley•Davis, Sr.",Dwight•Davis,"5 July 1879 in Philadelphia, Pennsylvania (USA)","28 November 1945 in St. Louis, Missouri (USA)",United States,2754,183 cm / 86 kg,,,,,,,
Competed in Olympic Games,Male,"Kenneth Robert ""Ken""•James",Ken•James,"19 January 1945 in Curwensville, Pennsylvania (USA)",,Australia,3267,190 cm / 82 kg,"?, Victoria, (AUS)",,,,,,
Competed in Olympic Games,Female,"Suzanne Theresa ""Suzie""•McConnell (-Serio)",Suzie•McConnell,"29 July 1966 in Pittsburgh, Pennsylvania (USA)",,United States,5364,162 cm / 50 kg,"Penn State Nittany Lions, State College (USA)",,,,,,
Competed in Olympic Games • Coach • Other,Female,Dawn Michelle•Staley,Dawn•Staley,"4 May 1970 in Philadelphia, Pennsylvania (USA)",,United States,5493,165 cm / 58 kg,"Charlotte Sting, Charlotte (USA)",,,,,,
