Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"Rodney Scott ""Rod""•McLain",Rod•McLain,"20 September 1960 in North Kingstown, Rhode Island (USA)",,United States,11126,190 cm / 64 kg,,,,,,,
Competed in Olympic Games,Female,Carol Elizabeth Cadwgan•Lavell,Carol•Lavell,"8 April 1943 in Newport, Rhode Island (USA)","27 March 2023 in Fairview, Buncombe County, North Carolina (USA)",United States,11387,162 cm / 58 kg,,,,,,,
Competed in Olympic Games,Male,Michael Brian•Poulin,Michael•Poulin,"10 June 1945 in Newport, Rhode Island (USA)",,United States,12585,167 cm / 68 kg,,,,,,,
Competed in Olympic Games,Male,"Alvin Hjalmar ""Al""•Loftes (Lofstedt- )",Al•Loftes,"1 January 1890 in Providence, Rhode Island (USA)","July 1971 in Narragansett, Rhode Island (USA)",United States,15353,,New York Athletic Association,,,,,,
Competed in Olympic Games,Male,Manuel Oliveira•Martin,Manuel•Martin,"29 December 1917 in Bristol, Rhode Island (USA)","5 September 1997 in Fall River, Massachusetts (USA)",United States,27785,,"Ponta Delgada SC, Fall River (USA)",Youngie,,,,,
Competed in Olympic Games,Male,"John Hyrne Tucker ""Jack""•Wilson",Jack•Wilson,"17 September 1914 in Bristol, Rhode Island (USA)","16 February 1997 in ?, Devon (GBR)",Great Britain,37514,,,,,,,,
Competed in Olympic Games,Female,"Harriet Morris ""Holly""•Metcalf",Holly•Metcalf,"25 March 1958 in Providence, Rhode Island (USA)",,United States,40492,172 cm / 74 kg,Pioneer Valley Rowing Association,,,,,,
Competed in Olympic Games,Male,"Charles Elmer ""Charlie""•Clapp, III","Charlie•Clapp, III","11 January 1959 in Providence, Rhode Island (USA)",,United States,40584,196 cm / 85 kg,"Washington Huskies, Seattle (USA)",,,,,,
Competed in Olympic Games,Female,"Tamara Anne ""Tammy""•Hazleton (-Murphy)",Tammy•Hazleton,"1 December 1947 in Providence, Rhode Island (USA)",,United States,51051,178 cm / 68 kg,"Northern Virginia Athletic Club, (USA)",,,,,,
Competed in Olympic Games,Female,Catherine Clara•LaMore (-Walker),Clara•LaMore,"2 July 1926 in Providence, Rhode Island (USA)","2 April 2021 in North Smithfield, Rhode Island (USA)",United States,51095,,Olneyville Boys' Club,,,,,,
Competed in Olympic Games,Female,Aileen Muriel•Riggin (-Soule),Aileen•Riggin,"2 May 1906 in Newport, Rhode Island (USA)","19 October 2002 in Honolulu, Hawaii (USA)",United States,51168,142 cm,Women's Swimming Association,,,,,,
Competed in Olympic Games,Male,John Herbert•Higgins,Herbert•Higgins,"8 May 1916 in Providence, Rhode Island (USA)","1 August 2004 in Annapolis, Maryland (USA)",United States,51402,,Olneyville Boys' Club,,,,,,
Competed in Olympic Games,Male,John Michael•Parker,John•Parker,"13 September 1946 in Newport, Rhode Island (USA)",,United States,54959,188 cm / 86 kg,"Stanford Cardinal, Stanford (USA)",,,,,,
Competed in Olympic Games,Male,"Hovey Thomas•Freeman, Jr.",Hovey•Freeman,"13 April 1932 in Providence, Rhode Island (USA)","29 November 1979 in Providence, Rhode Island (USA)",Puerto Rico,62047,183 cm / 80 kg,,,,,,,
Competed in Olympic Games,Male,Randall Scott•Steele,Scott•Steele,"26 February 1958 in Newport, Rhode Island (USA)",,United States,63759,173 cm / 59 kg,,,,,,,
Competed in Olympic Games,Female,Janet Theresa•Moreau (-Stone),Janet•Moreau,"26 October 1927 in Pawtucket, Rhode Island (USA)","30 June 2021 in Barrington, Rhode Island (USA)",United States,77919,170 cm / 62 kg,"Red Diamond AC, Somerville (USA)",Jay,,,,,
Competed in Olympic Games,Female,Lois Ann•Testa (-Lynch),Lois•Testa,"16 December 1935 in Pawtucket, Rhode Island (USA)",,United States,77985,165 cm / 79 kg,"Red Diamond AC, Somerville (USA)",,,,,,
Competed in Olympic Games,Male,"David ""Dave""•Abbott",Dave•Abbott,"8 March 1902 in Providence, Rhode Island (USA)","19 May 1987 in Brooksville, Maine (USA)",United States,78023,183 cm / 75 kg,"Illinois Fighting Illini, Champaign (USA)",,,,,,
Competed in Olympic Games,Male,"Jeffrey Granville ""Jeff""•Bannister",Jeff•Bannister,"30 August 1945 in Providence, Rhode Island (USA)",,United States,78069,191 cm / 93 kg,Decathlon Club of America,,,,,,
Competed in Olympic Games,Male,"Robert Howard ""Bob""•Bennett",Bob•Bennett,"9 August 1919 in Providence, Rhode Island (USA)",13 December 1974,United States,78105,188 cm / 98 kg,Rhode Island Track & Field Athletic Association,,,,,,
Competed in Olympic Games,Male,"Ellison Myers ""Tarzan""•Brown",Tarzan•Brown,"22 September 1914 in Potter Hill, Rhode Island (USA)","23 August 1975 in Westerly, Rhode Island (USA)",United States,78159,170 cm / 63 kg,,,,Deerfoot,,,
Competed in Olympic Games,Male,"Raymond Bates ""Ray""•Buker, Sr.",Ray•Buker,"27 August 1899 in Foster, Rhode Island (USA)","3 June 1992 in Boca Raton, Florida (USA)",United States,78171,167 cm / 66 kg,"Illinois AC, Chicago (USA)",,,,,,
Competed in Olympic Games,Male,Henry Francis•Dreyer,Henry•Dreyer,"2 February 1911 in Providence, Rhode Island (USA)","27 May 1986 in Brunswick, Georgia (USA)",United States,78340,194 cm / 114 kg,"NYAC, New York (USA)",,,,,,
Competed in Olympic Games,Male,"James Edward ""Jay""•Luck",Jay•Luck,"11 July 1940 in Westerly, Rhode Island (USA)",,United States,78717,180 cm / 73 kg,New Haven Track Club,,,,,,
Competed in Olympic Games,Male,"Norman Stephen ""Norm""•Taber",Norm•Taber,"3 September 1891 in Providence, Rhode Island (USA)","15 July 1952 in Orange, New Jersey (USA)",United States,79107,174 cm / 52 kg,"Brown Bears, Providence (USA)",,,,,,
Competed in Olympic Games,Female,Martha•Rockwell,Martha•Rockwell,"26 April 1944 in Providence, Rhode Island (USA)",,United States,82206,167 cm / 54 kg,"Putney Ski Club, Putney (USA)",,,,,,
Competed in Olympic Games,Male,John Clark•Donatelli,Clark•Donatelli,"22 October 1965 in Providence, Rhode Island (USA)",,United States,85258,178 cm / 85 kg,"Boston University Terriers, Boston (USA) / San Diego Gulls, San Diego (USA)",,,,,,
Competed in Olympic Games,Male,David Anaclethe•Emma,David•Emma,"14 January 1969 in Cranston, Rhode Island (USA)",,United States,85493,175 cm / 79 kg,"Boston College Eagles, Chestnut Hill (USA)",,,,,,
Competed in Olympic Games,Male,"Robert René ""Bob""•Gaudreau, Sr.","Bob•Gaudreau, Sr.","8 March 1944 in Providence, Rhode Island (USA)",,United States,85979,186 cm / 82 kg,"Brown Bears, Providence (USA)",,,,,,
Competed in Olympic Games,Male,Paul Francois•Guay,Paul•Guay,"2 September 1963 in Woonsocket, Rhode Island (USA)",,United States,86277,183 cm / 88 kg,"Providence Friars, Providence (USA)",,,,,,
Competed in Olympic Games,Male,"Gerald Walsh ""Gerry""•Kilmartin",Gerry•Kilmartin,"7 July 1926 in Providence, Rhode Island (USA)","17 June 1970 in Providence, Rhode Island (USA)",United States,87933,,"Brown Bears, Providence (USA)",Killy,,,,,
Competed in Olympic Games,Male,"Timothy M. ""Tim""•Seaman",Tim•Seaman,"14 May 1972 in North Kingstown, Rhode Island (USA)",,United States,89164,175 cm / 64 kg,"NYAC, New York (USA)",,,,,,
Competed in Olympic Games,Male,"Alexander R. ""Alex""•Ottiano",Alex•Ottiano,"4 February 1976 in Providence, Rhode Island (USA)",,United States,92448,170 cm / 65 kg,"NYAC, New York (USA)",,,,,,
Competed in Olympic Games,Female,Janine Ann•Bowman,Janine•Bowman,"15 March 1973 in Woonsocket, Rhode Island (USA)",,United States,93175,168 cm / 61 kg,,,,,,,
Competed in Olympic Games,Male,"Thomas Robert ""Tom""•Mellor",Tom•Mellor,"27 January 1950 in Cranston, Rhode Island (USA)",,United States,95368,183 cm / 84 kg,"Boston College Eagles, Chestnut Hill (USA)",,,,,,
Competed in Olympic Games,Male,"Dudley Shaw ""Dud""•Richards",Dud•Richards,"4 February 1932 in Providence, Rhode Island (USA)","15 February 1961 in Berg-Kampenhout, Vlaams Brabant (BEL)",United States,96825,,"Skating Club of Boston, Boston (USA)",,,,,,
Competed in Olympic Games,Male,"Christopher Arnold ""Chris""•Terreri",Chris•Terreri,"15 November 1964 in Providence, Rhode Island (USA)",,United States,98205,175 cm / 70 kg,"New Jersey Devils, Newark (USA)",,,,,,
Competed in Olympic Games,Male,"Kenneth James ""Ken""•Topalian",Ken•Topalian,"5 July 1963 in Pawtucket, Rhode Island (USA)",,Armenia,98326,,"Armenian Youth Federation, (USA)",,,,,Կեննեթ•Թոփալյան,
Competed in Olympic Games,Male,Ralph Arthur•Warburton,Ralph•Warburton,"7 January 1924 in Cranston, Rhode Island (USA)",25 December 2021,United States,98821,173 cm / 73 kg,"Dartmouth Big Green, Hanover (USA)",,,,,,
Competed in Olympic Games,Female,Sara•DeCosta (-Hayes),Sara•DeCosta,"13 May 1977 in Warwick, Rhode Island (USA)",,United States,100458,178 cm / 59 kg,,,,,,,
Competed in Olympic Games,Male,Bryan Wallace•Berard,Bryan•Berard,"5 March 1977 in Woonsocket, Rhode Island (USA)",,United States,100713,185 cm / 86 kg,"New York Islanders, New York (USA)",,,,,,
Competed in Olympic Games,Male,Keith Edward•Carney,Keith•Carney,"3 February 1970 in Providence, Rhode Island (USA)",,United States,100722,188 cm / 93 kg,"Chicago Blackhawks, Chicago (USA)",,,,,,
Competed in Olympic Games,Female,Kelly•Clark,Kelly•Clark,"26 July 1983 in Newport, Rhode Island (USA)",,United States,101100,163 cm / 61 kg,Mount Snow Ski Club,,,,,,
Competed in Olympic Games,Male,Jason Moses•Estrada,Jason•Estrada,"30 November 1980 in Providence, Rhode Island (USA)",,United States,106364,185 cm / 113 kg,,Big Six,,,,,
Competed in Olympic Games,Male,Fabio•Milano,Fabio•Milano,"2 August 1977 in Providence, Rhode Island (USA)",,Italy,108358,180 cm / 91 kg,"Fortitudo Bologna, Bologna (ITA)",,,,,,
Competed in Olympic Games,Male,Michael Finlay•Parkhurst,Michael•Parkhurst,"24 January 1984 in Providence, Rhode Island (USA)",,United States,111298,180 cm / 75 kg,"New England Revolution, Foxborough (USA)",,,,,,
Competed in Olympic Games,Female,Elizabeth Lyon•Beisel,Elizabeth•Beisel,"18 August 1992 in Saunderstown, Rhode Island (USA)",,United States,112287,168 cm / 68 kg,Bluefish Swim Club,Diesel,,,,,
Competed in Olympic Games,Male,Demetrius Cesar•Andrade,Demetrius•Andrade,"26 February 1988 in Providence, Rhode Island (USA)",,United States,112929,183 cm / 69 kg,"401 Boxing Club, Cranston",Boo Boo,,,,,
Competed in Olympic Games,Female,Jill•Craybas,Jill•Craybas,"4 July 1974 in Providence, Rhode Island (USA)",,United States,117596,160 cm / 56 kg,,,,,,,
Competed in Olympic Games,Female,Kacey Lee•Bellamy,Kacey•Bellamy,"22 April 1987 in Providence, Rhode Island (USA)",,United States,119253,170 cm / 66 kg,"New Hampshire Wildcats, Durham (USA) / Boston Blades, Boston (USA) / Boston Pride, Boston (USA)",Bells,,,,,
Competed in Olympic Games,Female,Annelies•Cook,Annelies•Cook,"1 August 1984 in Providence, Rhode Island (USA)",,United States,128675,168 cm / 56 kg,NYSEF (USA),,,,,,
Competed in Olympic Games,Female,Marissa•Castelli,Marissa•Castelli,"20 August 1990 in Providence, Rhode Island (USA)",,United States,128717,152 cm / 48 kg,"Skating Club of Boston, Boston (USA)",,,,,,
Competed in Olympic Games,Female,Kristen•Shaldybin,Kristen•Shaldybin,"8 August 1997 in Woonsocket, Rhode Island (USA)",,United States,132100,175 cm / 57 kg,North Shore Rhythmic Gymnastics,,,,,,
Competed in Olympic Games,Female,Louisa•Chafee,Louisa•Chafee,"24 September 1991 in Providence, Rhode Island (USA)",,United States,132146,165 cm / 57 kg,,Lulu,,,,,
Competed in Olympic Games,Male,Anders•Weiss,Anders•Weiss,"5 November 1992 in Providence, Rhode Island (USA)",,United States,136328,196 cm / 93 kg,US Rowing Training Center - Princeton [United States of America],,,,,,
Competed in Olympic Games,Male,Troy•Pina,Troy•Pina,"4 February 1999 in Providence, Rhode Island (USA)",,Cabo Verde,141974,,,,,,,,
Competed in Olympic Games,Female,Emily•Kallfelz,Emily•Kallfelz,"5 April 1997 in Jamestown, Rhode Island (USA)",,United States,153857,,"Princeton University,",,,,,,
