Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,"Denise•Parker (Knudson-, -Smith)",Denise•Parker,"12 December 1973 in Salt Lake City, Utah (USA)",,United States,2214,165 cm / 59 kg,,,,,,,
Competed in Olympic Games,Male,Cyrus Edwin•Dallin,Cyrus•Dallin,"22 November 1861 in Springville, Utah (USA)","14 November 1944 in Arlington Heights, Massachusetts (USA)",United States,2229,174 cm,"Boston Archery Club, Boston (USA)",,,,,,
Competed in Olympic Games,Male,Karl•Tilleman,Karl•Tilleman,"1 November 1960 in Ogden, Utah (USA)",,Canada,7219,188 cm / 83 kg,"Calgary 88's, Calgary (CAN)",,,,,,
Competed in Olympic Games,Male,Elbert Jay•Lambert,Jay•Lambert,"21 November 1925 in Helper, Utah (USA)","6 February 2012 in Salt Lake City, Utah (USA)",United States,8712,183 cm / 84 kg,"West Jordan Boxing Club, West Jordan (USA)",,,,,,
Competed in Olympic Games,Male,Adam•Clawson,Adam•Clawson,"28 December 1972 in Salt Lake City, Utah (USA)","10 July 2017 in Whittier, North Carolina (USA)",United States,11069,185 cm / 77 kg,,,,,,,
Competed in Olympic Games,Male,John Lawrence•van Dyke,John•van Dyke,"18 December 1935 in Ogden, Utah (USA)","28 August 2021 in Santa Fe, New Mexico (USA)",United States,11161,178 cm / 72 kg,"Potomac BC, Washington (USA)",,,,,,
Competed in Olympic Games,Female,Kristin Inga•Thompson-Benedict,Inga•Thompson-Benedict,"27 January 1964 in Salt Lake City, Utah (USA)",,United States,13243,178 cm / 61 kg,,,,,,,
Competed in Olympic Games,Male,Wendell LeRoy•Rollins,Wendell•Rollins,"17 June 1917 in Salt Lake City, Utah (USA)","8 December 1990 in Davis County, Utah (USA)",United States,16360,175 cm / 73 kg,Unione Sportiva Italiana,,,,,,
Competed in Olympic Games,Male,"Terence de la Mesa ""Terry""•Allen",Terry•Allen,"1 April 1888 in Fort Douglas, Utah (USA)","12 September 1969 in El Paso, Texas (USA)",United States,18229,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,Nelson Emery•Margetts,Nelson•Margetts,"27 May 1879 in Salt Lake City, Utah (USA)","17 April 1932 in San Francisco, California (USA)",United States,18232,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,"Kenneth Julian ""Kenny""•Griffin",Kenny•Griffin,"27 January 1912 in Logan, Utah (USA)","26 September 2002 in Oceanside, California (USA)",United States,31327,,"LAAC, Los Angeles (USA)",Ken,,,,,
Competed in Olympic Games,Male,"Curtis Ray ""Curt""•Canning",Curt•Canning,"6 May 1946 in Provo, Utah (USA)",,United States,40574,191 cm / 89 kg,"Harvard Crimson, Cambridge (USA)",,,,,,
Competed in Olympic Games,Male,Gayle Robert•Thompson,Gayle•Thompson,"12 December 1938 in Ogden, Utah (USA)",,United States,40904,188 cm / 82 kg,"US Navy, (USA)",,,,,,
Competed in Olympic Games,Male,"Walter Ward ""Wally""•Zobell, Jr.",Wally•Zobell,"21 April 1950 in Provo, Utah (USA)",,United States,44799,173 cm / 71 kg,"US Army Reserve, (USA)",,,,,,
Competed in Olympic Games,Female,Dorothy•Poynton-Hill (-Teuber),Dorothy•Poynton-Hill,"17 July 1915 in Salt Lake City, Utah (USA)","18 May 1995 in Riverside, California (USA)",United States,51157,,"LAAC, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,"Jackson Stewart ""Jack""•Horsley",Jack•Horsley,"25 September 1951 in Salt Lake City, Utah (USA)",,United States,51405,183 cm / 64 kg,Red Shield Triton Swim Club,,,,,,
Competed in Olympic Games,Male,George Peter•Campbell,Peter•Campbell,"21 May 1960 in Salt Lake City, Utah (USA)","11 January 2023 in Lake Arrowhead, California (USA)",United States,54901,193 cm / 89 kg,,,,,,,
