Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"Carl Terence ""Terry""•White",Terry•White,"15 October 1955 in Peru, Vermont (USA)",,United States,11169,175 cm / 74 kg,"Middlebury College Panthers, Middlebury (USA)",,,,,,
Competed in Olympic Games,Male,Jarvis•Hunt,Jarvis•Hunt,"6 August 1863 in Weathersfield, Vermont (USA)","15 June 1941 in St. Petersburg, Florida (USA)",United States,18172,,"Chicago Golf Club, Wheaton (USA)",,,,,,
Competed in Olympic Games,Female,Serena•Eddy-Moulton,Serena•Eddy-Moulton,"20 May 1964 in Burlington, Vermont (USA)",,United States,40452,181 cm / 79 kg,,,,,,,
Competed in Olympic Games,Male,"William Douglas ""Doug""•Burden",Doug•Burden,"29 July 1965 in Rutland, Vermont (USA)",,United States,40569,195 cm / 89 kg,"Potomac BC, Washington (USA)",,,,,,
Competed in Olympic Games,Male,Allerton•Cushman,Allerton•Cushman,"27 July 1907 in Fort Ethan Allen, Vermont (USA)","25 October 2006 in Scottsdale, Arizona (USA)",United States,40601,186 cm / 77 kg,"Harvard Crimson, Cambridge (USA)",,,,,,
Competed in Olympic Games,Male,Michael Wayne•Jacques,Michael•Jacques,"3 January 1961 in St. Albans, Vermont (USA)",,United States,56990,160 cm / 75 kg,Team South,,,,,,
Competed in Olympic Games,Female,Judi Anne•St. Hilaire (-Coogan),Judi•St. Hilaire,"5 September 1959 in St. Johnsbury, Vermont (USA)",,United States,77978,172 cm / 52 kg,"Nike, Beaverton (USA)",,,,,,
Competed in Olympic Games,Male,Norman Frederick•Anderson,Norman•Anderson,"17 March 1902 in Barre, Vermont (USA)","7 March 1978 in Los Angeles, California (USA)",United States,78042,183 cm / 97 kg,"USC Trojans, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,"Arthur Francis ""Frank""•Crowley",Frank•Crowley,"21 May 1909 in Proctor, Vermont (USA)","13 April 1980 in Clarkston, Michigan (USA)",United States,78282,179 cm / 70 kg,"NYAC, New York (USA)",,,,,,
Competed in Olympic Games,Male,Albert Lovejoy•Gutterson,Albert•Gutterson,"23 August 1887 in Andover, Vermont (USA)","6 April 1965 in Burlington, Vermont (USA)",United States,78491,185 cm / 82 kg,"Boston AA, Boston (USA)",,,,,,
