Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,"Katrina Jane ""Trena""•King (-De Steven)",Trena•King,"17 January 1958 in Kingwood, West Virginia (USA)",,United States,2210,172 cm / 68 kg,,,,,,,
Competed in Olympic Games,Female,"Victoria Andrea ""Vicky""•Bullett",Vicky•Bullett,"4 October 1967 in Martinsburg, West Virginia (USA)",,United States,5165,190 cm / 62 kg,"Maryland Terrapins, College Park, Maryland (USA) / Basket Puglia, Bari (ITA)",,,,,,
Competed in Olympic Games,Male,"Michael Thomas ""Mike""•Barrett",Mike•Barrett,"5 September 1943 in Montgomery, West Virginia (USA)","8 August 2011 in Nashville, Tennessee (USA)",United States,5683,188 cm / 73 kg,"US Navy, (USA)",Birdman,,,,,
Competed in Olympic Games,Male,"Jerome Alan ""Jerry""•West",Jerry•West,"28 May 1938 in Cheylan, West Virginia (USA)",,United States,7351,191 cm / 81 kg,"West Virginia Mountaineers, Morgantown (USA)","Mr. Clutch, The Logo",,,,,
Competed in Olympic Games,Male,"Elery Guy ""Ed""•Greathouse",Ed•Greathouse,"26 October 1899 in Roane County, West Virginia (USA)","1956 in Detroit, Michigan (USA)",United States,8680,183 cm,Washington YMCC,,,,,,
Competed in Olympic Games,Male,John Walter•Downer,John•Downer,"22 November 1881 in Charles Town, West Virginia (USA)","28 January 1977 in Lexington, Virginia (USA)",United States,11896,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,James R.•Kreglo,James•Kreglo,"8 August 1956 in Huntington, West Virginia (USA)",,United States Virgin Islands,22592,178 cm / 73 kg,,CC,,,,,
Competed in Olympic Games,Female,Mary Lou•Retton (-Kelley),Mary Lou•Retton,"24 January 1968 in Fairmont, West Virginia (USA)",,United States,29277,145 cm / 42 kg,Karolyi Gym,America's Sweetheart,,,,,
Competed in Olympic Games,Male,Harold Guthrie•Newhart,Harold•Newhart,"19 July 1903 in Parkersburg, West Virginia (USA)","31 March 1977 in Oxford, Ohio (USA)",United States,31392,,"US Marine Corps, (USA)",,,,,,
Competed in Olympic Games,Female,Amy Jean•Gamble,Amy•Gamble,"17 December 1964 in Wheeling, West Virginia (USA)",,United States,32936,178 cm / 74 kg,"Arizona Wildcats, Tucson (USA)",,,,,,
Competed in Olympic Games,Male,Bruce•Meredith,Bruce•Meredith,"19 April 1937 in Wheeling, West Virginia (USA)",,United States Virgin Islands,42915,188 cm / 82 kg,St. Thomas Shooting Association,,,,,,
Competed in Olympic Games,Male,"Thomas Granville ""Tom""•Brown",Tom•Brown,"2 February 1885 in Halleck, West Virginia (USA)","4 November 1950 in Rawlins, Wyoming (USA)",United States,44624,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,Cornelius Lonzo•Burdette,Cornelius•Burdette,"6 November 1878 in Sandstone, West Virginia (USA)","28 February 1955 in Charleston, West Virginia (USA)",United States,44626,,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,Edgar Holmes•Adams,Edgar•Adams,"7 April 1868 in Grafton, West Virginia (USA)","5 May 1940 in Bayville, New York (USA)",United States,51251,,"NYAC, New York (USA)",,,,,,
Competed in Olympic Games,Male,"Bradley Michael ""Brad""•Bridgewater",Brad•Bridgewater,"29 March 1973 in Charleston, West Virginia (USA)",,United States,51276,190 cm / 84 kg,"USC Trojans, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Male,"Harrison Smith ""Harry""•Glancy",Harry•Glancy,"17 September 1904 in Bens Run, West Virginia (USA)","22 September 2002 in New Orleans, Louisiana (USA)",United States,51363,,"Penn AC, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Male,"Eric Randolph ""Randy""•Barnes",Randy•Barnes,"16 June 1966 in Charleston, West Virginia (USA)",,United States,78076,195 cm / 132 kg,"Texas A&M Aggies, College Station (USA) / NYAC, New York (USA) / Goldwin Track Club, Boulder (USA)",,,,,,
Competed in Olympic Games,Male,Glenn Ashby•Davis,Glenn•Davis,"12 September 1934 in Wellsburg, West Virginia (USA)","28 January 2009 in Barberton, Ohio (USA)",United States,78297,183 cm / 73 kg,Ohio Track Club,Jeep,,,,,
Competed in Olympic Games,Male,Merwin B.•Graham,Merwin•Graham,"4 March 1903 in Fairview, West Virginia (USA)","24 January 1989 in San Bernardino, California (USA)",United States,78470,183 cm / 73 kg,"Kansas Jayhawks, Lawrence (USA)",,,,,,
Competed in Olympic Games,Male,James Sherman•Jett,James•Jett,"28 December 1970 in Charleston, West Virginia (USA)",,United States,78607,180 cm / 75 kg,"West Virginia Mountaineers, Morgantown (USA)",,,,,,
Competed in Olympic Games,Male,"Norman ""Norm""•Tate",Norm•Tate,"2 January 1942 in Oswald, West Virginia (USA)",,United States,79111,183 cm / 82 kg,New Jersey Astros,,,,,,
Competed in Olympic Games,Female,Lea Ann•Parsley (-Davenport),Lea Ann•Parsley,"12 June 1968 in Logan, West Virginia (USA)",,United States,101683,175 cm / 66 kg,,,,,,,
Competed in Olympic Games,Male,Jeremy Michael•Cummings,Jeremy•Cummings,"7 November 1976 in Charleston, West Virginia (USA)",,United States,113429,188 cm / 93 kg,"Durham Bulls, Durham (USA)",,,,,,
Competed in Olympic Games,Male,Deron Michael•Williams,Deron•Williams,"26 June 1984 in Parkersburg, West Virginia (USA)",,United States,113625,191 cm / 95 kg,"Utah Jazz, Salt Lake City (USA) / New Jersey Nets, Rutherford (USA)",D-Will,,,,,
