Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,Edwin Llewellyn•Hunter,Edwin•Hunter,"25 March 1874 in Fond du Lac, Wisconsin (USA)","30 March 1935 in St. Joseph, Michigan (USA)",United States,2766,,"Midlothian Country Club, Midlothian (USA)",,,,,,
Competed in Olympic Games,Male,Leigh Francis•Barczewski,Leigh•Barczewski,"25 December 1955 in Milwaukee, Wisconsin (USA)",,United States,13505,186 cm / 84 kg,AMF Racing Team,The Tree,,,,,
Competed in Olympic Games,Male,Brent Robert•Emery,Brent•Emery,"15 September 1957 in Milwaukee, Wisconsin (USA)",,United States,14251,170 cm / 66 kg,Murray,,,,,,
Competed in Olympic Games,Male,"Alfred Chester•Nelsen, Sr.","Chester•Nelsen, Sr.","2 October 1902 in Waupaca, Wisconsin (USA)","4 October 1987 in Elsberry, Missouri (USA)",United States,15829,,Century Cycling Club,,,,,,
Competed in Olympic Games,Male,"James Lionel ""Jim""•Ochowicz",Jim•Ochowicz,"23 December 1951 in Milwaukee, Wisconsin (USA)",,United States,15921,175 cm / 68 kg,Wolverine Schwinn,,,,,,
Competed in Olympic Games,Male,Robert Matthew•Pfarr,Robert•Pfarr,"24 July 1920 in Kenosha, Wisconsin (USA)","15 October 2006 in Somers, Wisconsin (USA)",United States,16121,179 cm / 72 kg,Kenosha Wheelmen,,,,,,
Competed in Olympic Games,Male,Robert Roy•Schneider,Robert•Schneider,"17 January 1944 in Madison, Wisconsin (USA)",,United States,16500,183 cm / 77 kg,University of Wisconsin,,,,,,
Competed in Olympic Games,Male,"Robert Paul ""Bob""•Tetzlaff",Bob•Tetzlaff,"13 November 1935 in Milwaukee, Wisconsin (USA)","27 September 2012 in Los Gatos, California (USA)",United States,16823,178 cm / 68 kg,"North Hollywood Wheelmen, Los Angeles (USA)",Mr. T,,,,,
Competed in Olympic Games,Male,"Robert ""Bobby""•Thomas",Bobby•Thomas,"7 September 1912 in Kenosha, Wisconsin (USA)","12 November 2008 in Phoenix, Arizona (USA)",United States,16834,,,,,,,,
Competed in Olympic Games,Male,Anthony Carl•Williamsen,Anthony•Williamsen,"31 January 1880 in Milwaukee, Wisconsin (USA)","1 October 1956 in Milwaukee, Wisconsin (USA)",United States,17182,,,,,,,,
Competed in Olympic Games,Male,Louis•Allis,Louis•Allis,"30 December 1866 in Milwaukee, Wisconsin (USA)","8 May 1950 in Milwaukee, Wisconsin (USA)",United States,18142,,"Milwaukee Country Club, River Hills (USA)",,,,,,
Competed in Olympic Games,Male,James Langford•Stack,James•Stack,"29 November 1860 in Fond du Lac, Wisconsin (USA)","22 October 1928 in Los Angeles, California (USA)",United States,18201,,"Midlothian Country Club, Midlothian (USA)",,,,,,
Competed in Olympic Games,Male,"Carleton Lyman ""Carl""•Brosius",Carl•Brosius,"18 July 1876 in Milwaukee, Wisconsin (USA)","28 September 1956 in Wood, Wisconsin (USA)",United States,18263,97 kg,"US Army, (USA)",,,,,,
Competed in Olympic Games,Male,Theodore•Carstens,Theodore•Carstens,"20 June 1879 in Cedarburg, Wisconsin (USA)","25 July 1955 in Milwaukee, Wisconsin (USA)",United States,23676,,,,,,,,
Competed in Olympic Games,Male,"Michael Joseph ""Mike""•Huwiler",Mike•Huwiler,"4 January 1972 in Milwaukee, Wisconsin (USA)",,United States,27756,178 cm / 75 kg,"Virginia Cavaliers, Charlottesville (USA)",Huey,,,,,
