Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games • Other,Female,Khatuna•Kvrivishvili-Lorig,Khatuna•Kvrivishvili-Lorig,"1 January 1974 in Tbilisi, Tbilisi (GEO)",,Georgia Unified Team United States,504,170 cm / 64 kg,,,,"Khatuna Kvrivishvili-Lorigi, ხათუნა ქვრივიშვილი-ლორიგი, Khatuna Dilmanovna Kvrivishvili-Lorig, Хатуна Дилмановна Квривишвили-Лориг",,,
Competed in Olympic Games,Female,Jun•Gao (-Chang),Jun•Gao,"25 January 1969 in Baoding, Hebei (CHN)",,People's Republic of China United States,783,168 cm / 73 kg,Potimac Table Tennis Club,,,高軍,,,
Competed in Olympic Games,Female,Kim Ly•Maher,Kim•Maher,"5 September 1971 in Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh (VIE)",,United States,1402,167 cm,,,,,,,
Competed in Olympic Games,Female,"Danielle M. ""Dani""•Tyler",Dani•Tyler,23 October 1974,,United States,1447,167 cm,,,,,,,
Competed in Olympic Games,Female,Insook•Bhushan (Na-),Insook•Bhushan,"17 February 1952 in Seoul, Seoul (KOR)",,United States,2722,167 cm / 55 kg,,,,"Na In-Sook, 나인숙",,,
Competed in Olympic Games,Female,Amy Jun•Feng,Amy•Feng,"9 April 1969 in Tianjin, Tianjin (CHN)",,United States,2726,162 cm / 57 kg,,,,,,,
Competed in Olympic Games • Competed in Olympic Games (non-medal events),Female,"Beatriz Cristina ""Gigi""•Fernandez",Gigi•Fernandez,"22 February 1964 in San Juan, Puerto Rico (PUR)",,Puerto Rico United States,2727,170 cm / 66 kg,,,,,,,
Competed in Olympic Games,Female,"Maria Jose ""Mary Joe""•Fernandez (-Godsick)",Mary Joe•Fernandez,"19 September 1971 in Santo Domingo, Distrito Nacional (DOM)",,United States,2728,176 cm / 63 kg,,,,,,,
Competed in Olympic Games,Female,"Shui-Ling ""Lily""•Hugh-Yip",Lily•Hugh-Yip,"22 August 1963 in Guangzhou (Canton), Guangdong (CHN)",,United States,2733,165 cm / 58 kg,,,,,,,
Competed in Olympic Games,Female,Monica•Seles (-Golisano),Monica•Seles,"2 December 1973 in Novi Sad, Južna Bačka (SRB)",,United States,2738,179 cm / 70 kg,,,,"Monika Seleš, Моника Селеш",,,
Competed in Olympic Games,Female,Erika Kennedy•Von Heiland (-Strader),Erika•Von Heiland,"24 December 1965 in Angeles City, Pampanga (PHI)",,United States,2741,160 cm / 56 kg,,,,,,,
Competed in Olympic Games,Female,Wei•Wang,Wei•Wang,"21 March 1961 in Beijing, Beijing (CHN)",,United States,2742,157 cm / 42 kg,,,,,,,
Competed in Olympic Games,Male,"Christian Hoffman ""Chris""•Forney",Chris•Forney,21 April 1878,"14 September 1912 in Topeka, Kansas (USA)",United States,2760,,,,,,,,
Competed in Olympic Games,Male,"Qi ""Kevin""•Han",Kevin•Han,"25 November 1972 in Shanghai, Shanghai (CHN)",,United States,2764,187 cm / 86 kg,"OCBC, Orange (USA)",,,,,,
Competed in Olympic Games,Male,"Benjamin W. ""Benny""•Lee",Benny•Lee,"5 December 1965 in Yangon (Rangoon), Yangon (MYA)",,United States,2771,170 cm / 73 kg,,,,,,,
Competed in Olympic Games,Male,"Peter ""Pete""•Sampras",Pete•Sampras,"12 August 1971 in Washington, District of Columbia (USA)",,United States,2784,185 cm / 79 kg,,Pistol Pete,,,,,
Competed in Olympic Games,Male,Nathan M.•Smith,Nathan•Smith,,,United States,2790,,,,,,,,
Competed in Olympic Games,Male,Douglas•Turner,Douglas•Turner,,,United States,2794,,,,,,,,
Competed in Olympic Games,Male,"Richard Norris ""Dick""•Williams, III",Dick•Williams,"29 January 1891 in Genève (Geneva), Genève (SUI)","2 June 1968 in Bryn Mawr, Pennsylvania (USA)",United States,2803,182 cm,"California Golden Bears, Berkeley (USA)",,,,,,
Competed in Olympic Games,Male,David Yongxiang•Zhuang,David•Zhuang,"1 September 1963 in Guangzhou (Canton), Guangdong (CHN)",,United States,2805,178 cm / 77 kg,,,,"Zhuang Yongxiang, 庄 永祥",,,
Competed in Olympic Games,Female,"Jasna•Fazlić-Reed (-Lupulesku-, -Rather)",Jasna•Fazlić-Reed,"20 December 1970 in Foča, Foča (BIH)",,Independent Olympic Athletes United States Yugoslavia,2814,170 cm / 56 kg,,,,Јасна Фазлић (-Лупулеску-),,,
Competed in Olympic Games,Male,Ilija•Lupulesku,Ilija•Lupulesku,"30 October 1967 in Zrenjanin, Srednji Banat (SRB)",,Independent Olympic Athletes Serbia and Montenegro United States Yugoslavia,2821,177 cm / 79 kg,Killerspin,,,Илија Лупулеску,Serbia,,
