state,per100kResidents
Alabama,1.3181
Alaska,6.6176
Arizona,1.3298
Arkansas,1.3375
California,4.4962
Colorado,4.1756
Connecticut,4.1969
Delaware,2.6728
Florida,1.4414
Georgia,1.4658
Hawaii,7.0573
Idaho,2.8707
Illinois,3.8813
Indiana,2.2518
Iowa,2.462
Kansas,3.0142
Kentucky,1.3136
Louisiana,1.9853
Maine,3.5382
Maryland,1.9572
Massachusetts,7.1018
Michigan,3.1365
Minnesota,6.9571
Mississippi,2.0557
Missouri,2.9054
Montana,5.761
Nebraska,2.7925
Nevada,1.296
New Hampshire,6.1528
New Jersey,4.0378
New Mexico,1.8454
New York,5.2482
North Carolina,0.9334
North Dakota,2.6762
Ohio,2.5311
Oklahoma,2.4524
Oregon,3.2889
Pennsylvania,3.8418
Rhode Island,5.2253
South Carolina,1.081
South Dakota,3.0706
Tennessee,0.977
Texas,1.5589
Utah,3.2925
Vermont,10.2279
Virginia,1.4998
Washington,3.6731
West Virginia,1.0793
Wisconsin,3.4113
Wyoming,2.6613
United States,3.0485
