Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1992 Summer Olympics,Male,"William J. ""B. J.""•Wallace",B. J.•Wallace,"18 May 1971 in Mobile, Alabama (USA)",,United States,3254,190 cm / 89 kg,"Mississippi State Bulldogs, Starkville (USA)",,,,,,
1992 Summer Olympics,Female,"Victoria Elaine ""Vickie""•Orr (-Wiley)",Vickie•Orr,"4 April 1967 in Hartselle, Alabama (USA)",,United States,5414,190 cm / 75 kg,"Auburn Tigers, Auburn, Alabama (USA)",,,,,,
1992 Summer Olympics; 1996 Summer Olympics,Male,Charles Wade•Barkley,Charles•Barkley,"20 February 1963 in Leeds, Alabama (USA)",,United States,5678,198 cm / 114 kg,"Phoenix Suns, Phoenix (USA)","Chuck, Sir Charles",,,,,
1972 Summer Olympics,Male,"James Ricardo ""Jim""•Forbes",Jim•Forbes,"18 July 1952 in Fort Rucker, Alabama (USA)","21 January 2022 in El Paso, Texas (USA)",United States,6125,203 cm / 91 kg,"UTEP Miners, El Paso (USA)",,,,,,
1960 Summer Olympics,Male,"Arthur Phillip ""Phil""•Baldwin",Phil•Baldwin,"4 April 1942 in Montgomery, Alabama (USA)","19 November 2017 in Muskegon Heights, Michigan (USA)",United States,8613,170 cm / 66 kg,,,,,,,
1984 Summer Olympics,Male,Evander•Holyfield,Evander•Holyfield,"19 October 1962 in Atmore, Alabama (USA)",,United States,8694,185 cm / 81 kg,Warren Boys' Club,The Real Deal,,,,,
1976 Summer Olympics,Male,"Clinton ""Clint""•Jackson",Clint•Jackson,"20 May 1954 in Evergreen, Alabama (USA)",,United States,8695,180 cm / 66 kg,,The Sherriff,,,,,
1932 Summer Olympics,Male,"Edwin Yancey ""Eddie""•Argo",Eddie•Argo,"22 September 1895 in Hollins, Alabama (USA)","10 March 1962 in Shreveport, Louisiana (USA)",United States,11563,,"US Army, (USA)",Ed,,,,,
1976 Summer Olympics,Male,William Dennis•Murphy,Dennis•Murphy,"24 October 1944 in Birmingham, Alabama (USA)",,United States,12469,186 cm / 64 kg,Birmingham Southern,,,,,,
1988 Summer Olympics,Male,"James E. ""Jim""•Copeland",Jim•Copeland,"18 March 1962 in Huntsville, Alabama (USA)",,United States,13991,180 cm / 70 kg,,The Alabama Slamma,,,,,
1972 Summer Olympics; 1976 Summer Olympics,Male,Ralph Phillip•Therrio,Ralph•Therrio,"12 January 1954 in Mobile, Alabama (USA)",,United States,16827,170 cm / 75 kg,,Crazy Horse,,,,,
1988 Summer Olympics; 1996 Summer Olympics,Female,Elaine Gayle•Cheris (Ingram-),Elaine•Cheris,"8 January 1946 in Dothan, Alabama (USA)",,United States,20992,172 cm / 55 kg,,,,,,,
1924 Summer Olympics,Male,Thomas Powers•Jeter,Thomas•Jeter,"25 August 1898 in Florence, Alabama (USA)","23 October 1979 in San Diego, California (USA)",United States,23725,,"US Navy, (USA)",,,,,,
1984 Summer Olympics; 1988 Summer Olympics; 1992 Summer Olympics,Male,"Michael Ranson ""Mike""•Lofton",Mike•Lofton,"10 December 1963 in Montgomery, Alabama (USA)",,United States,23740,185 cm / 79 kg,"Fencers Club, New York (USA)",,,Mika'il Sankofa,,,
1996 Summer Olympics; 2000 Summer Olympics; 2004 Summer Olympics,Female,"Mariel Margaret ""Mia""•Hamm (-Corry, -Garciaparra)",Mia•Hamm,"17 March 1972 in Selma, Alabama (USA)",,United States,27678,165 cm / 56 kg,Washington Freedom,,,,,,
1984 Summer Olympics,Female,Reita Ethel•Clanton,Reita•Clanton,"30 July 1952 in Lafayette, Alabama (USA)",,United States,32924,180 cm / 65 kg,"National Team, (USA)",,,,,,
1988 Summer Olympics,Female,Susan Sharp•Broome,Susan•Broome,"14 July 1959 in Fort McClellan, Alabama (USA)",,United States,40439,185 cm / 70 kg,,,,,,,
1996 Summer Olympics; 2000 Summer Olympics,Female,Nancy Lynn•Napolski-Johnson,Nancy•Napolski-Johnson,"14 January 1974 in Phenix City, Alabama (USA)",,United States,44582,157 cm / 56 kg,,,,,,,
1976 Summer Olympics,Female,Jennifer Kay Bellamy•Chandler,Jennifer•Chandler,"13 June 1959 in Langdale, Alabama (USA)",,United States,50985,168 cm / 52 kg,"Ron O'Brien Diving School, Columbus (USA)",,,,,,
1992 Summer Olympics; 1996 Summer Olympics,Female,"Angelina L. ""Angel""•Martino (Myers-, -Sims)",Angel•Martino,"25 April 1967 in Tuscaloosa, Alabama (USA)",,United States,51110,165 cm / 68 kg,Americus Blue Tide,,,,,,
1992 Summer Olympics; 1996 Summer Olympics,Male,Mark Edward•Lenzi,Mark•Lenzi,"4 July 1968 in Huntsville, Alabama (USA)","9 April 2012 in Greenville, North Carolina (USA)",United States,51463,165 cm / 66 kg,,The Tasmanian Devil,,,,,
1996 Summer Olympics; 2000 Summer Olympics,Male,Scott Eric•Tucker,Scott•Tucker,"18 February 1976 in Birmingham, Alabama (USA)",,United States,51596,188 cm / 81 kg,"Irvine Novaquatics, Irvine (USA)",,,,,,
1988 Summer Olympics; 1992 Summer Olympics,Female,"Kimberley Yvette ""Kim""•Oden",Kim•Oden,"6 May 1964 in Birmingham, Alabama (USA)",,United States,53256,190 cm / 69 kg,,,,,,,
1992 Summer Olympics,Male,"Anthony N. ""Buddy""•Lee",Buddy•Lee,"10 May 1958 in Birmingham, Alabama (USA)",,United States,60686,172 cm / 62 kg,,,,,,,
1968 Summer Olympics,Male,"Rudolph B. ""Rudy""•Thompson",Rudy•Thompson,"13 May 1929 in Birmingham, Alabama (USA)","24 April 2010 in ?, St. Thomas (ISV)",United States Virgin Islands,63903,,"St. Thomas Yacht Club, (ISV)",,,,,,
1964 Summer Olympics,Female,"Terrezene ""Terri""•Brown",Terri•Brown,"27 September 1947 in Birmingham, Alabama (USA)",,United States,77772,174 cm / 61 kg,"Los Angeles Mercurettes, Los Angeles (USA)",,,,,,
1984 Summer Olympics; 1988 Summer Olympics,Female,Lillie Mae•Leatherwood (-King),Lillie•Leatherwood,"6 July 1964 in Tuscaloosa, Alabama (USA)",,United States,77899,168 cm / 56 kg,"unattached, (MIX)",,,,,,
1984 Summer Olympics; 1988 Summer Olympics,Female,Carol LeGrant•Lewis (-Zilli),Carol•Lewis,"8 August 1963 in Birmingham, Alabama (USA)",,United States,77901,178 cm / 72 kg,"Santa Monica Track Club, Santa Monica (USA)",,,,,,
1988 Summer Olympics,Female,"Pamela ""Pam""•Marshall",Pam•Marshall,"16 August 1960 in Hazelhurst, Alabama (USA)",,United States,77905,178 cm / 63 kg,West Coast Athletic Club,,,,,,
1984 Summer Olympics,Female,"Kimberly ""Kim""•Turner (-McKenzie)",Kim•Turner,"21 March 1961 in Birmingham, Alabama (USA)",,United States,77992,165 cm / 57 kg,"Los Angeles Mercurettes, Los Angeles (USA)",,,,,,
1948 Summer Olympics,Female,Mabel Elizabeth•Walker (-Thornton),Mabel•Walker,"11 December 1928 in Camden, Alabama (USA)","10 September 2023 in Forsyth, Georgia (USA)",United States,77998,155 cm / 53 kg,"Tuskegee Institute, Tuskegee (USA)",,,,,,
1936 Summer Olympics,Male,"David Donald ""Dave""•Albritton",Dave•Albritton,"13 April 1913 in Danville, Alabama (USA)","15 May 1994 in Dayton, Ohio (USA)",United States,78032,191 cm / 79 kg,"The Ohio State Buckeyes, Columbus (USA)",,,,,,
1984 Summer Olympics,Male,Alonzo Carl•Babers,Alonzo•Babers,"31 October 1961 in Montgomery, Alabama (USA)",,United States,78059,188 cm / 70 kg,Bud Light Track America,,,,,,
1964 Summer Olympics,Male,Henry William•Carr,Henry•Carr,"27 November 1942 in Montgomery, Alabama (USA)","29 May 2015 in Griffin, Georgia (USA)",United States,78203,191 cm / 84 kg,Phoenix Olympic Club,,,,,,
1968 Summer Olympics,Male,"Leonard ""Leon""•Coleman",Leon•Coleman,"1 September 1944 in ?, Alabama (USA)",,United States,78245,188 cm / 82 kg,"Southern California Striders, Anaheim (USA)",,,,,,
1964 Summer Olympics; 1968 Summer Olympics; 1972 Summer Olympics; 1976 Summer Olympics,Male,"Wilbur D. ""Willie""•Davenport",Willie•Davenport,"8 June 1943 in Troy, Alabama (USA)","17 June 2002 in Chicago, Illinois (USA)",United States,78295,186 cm / 84 kg,"Baton Rouge Track Club, Baton Rouge (USA)",,,,,,
1996 Summer Olympics,Male,Calvin Bernard•Davis,Calvin•Davis,"2 April 1972 in Eutaw, Alabama (USA)","1 May 2023 in Springdale, Arkansas (USA)",United States,78296,183 cm / 79 kg,"Nike, Beaverton (USA)",,,,,,
1960 Summer Olympics,Male,Otis Crandall•Davis,Otis•Davis,"12 July 1932 in Tuscaloosa, Alabama (USA)",,United States,78301,185 cm / 74 kg,"Emerald Empire A.A., (USA)",,,,,,
1976 Summer Olympics; 1984 Summer Olympics,Male,Harvey Edward•Glance,Harvey•Glance,"28 March 1957 in Phenix City, Alabama (USA)","12 June 2023 in Mesa, Arizona (USA)",United States,78456,173 cm / 67 kg,"Auburn Tigers, Auburn, Alabama (USA)",,,,,,
1984 Summer Olympics; 1988 Summer Olympics; 1992 Summer Olympics; 1996 Summer Olympics,Male,"Frederick Carlton ""Carl""•Lewis",Carl•Lewis,"1 July 1961 in Birmingham, Alabama (USA)",,United States,78692,188 cm / 80 kg,"Santa Monica Track Club, Santa Monica (USA)",,,,,,
1960 Summer Olympics,Male,"William Lee ""Willie""•May",Willie•May,"11 November 1936 in Knoxville, Alabama (USA)",28 March 2012,United States,78748,192 cm / 89 kg,"UCTC, Chicago (USA)",,,,,,
1984 Summer Olympics,Male,Sunder Lamont•Nix,Sunder•Nix,"2 December 1961 in Birmingham, Alabama (USA)",,United States,78845,175 cm / 65 kg,"Athletics West, Eugene (USA)",,,,,,
1948 Summer Olympics,Male,"William Oliver ""Whitey""•Overton",Whitey•Overton,"10 October 1928 in Montgomery, Alabama (USA)","1 July 2015 in Lancaster, Ohio (USA)",United States,78868,193 cm / 75 kg,"Auburn Tigers, Auburn, Alabama (USA)",,,,,,
1936 Summer Olympics,Male,"James Cleveland ""Jesse""•Owens",Jesse•Owens,"12 September 1913 in Danville, Alabama (USA)","31 March 1980 in Tucson, Arizona (USA)",United States,78869,178 cm / 71 kg,"The Ohio State Buckeyes, Columbus (USA)","The Buckeye Bullet, The Ebony Antelope",,,,,
1928 Summer Olympics,Male,Euil•Snider,Euil•Snider,"9 December 1907 in Adger, Alabama (USA)","9 February 1978 in Bessemer, Alabama (USA)",United States,79069,185 cm / 73 kg,"NYAC, New York (USA)",Snitz,,,,,
2004 Summer Olympics; 2008 Summer Olympics,Female,Margaret Josephine•Hoelzer,Margaret•Hoelzer,"30 March 1983 in Huntsville, Alabama (USA)",,United States,103919,180 cm / 79 kg,Mountain Brook/King Aquatic Club,,,,,,
2008 Summer Olympics,Male,Deontay Leshun•Wilder,Deontay•Wilder,"22 October 1985 in Tuscaloosa, Alabama (USA)",,United States,113051,201 cm / 91 kg,Skyy Boxing,The Bronze Bomber,,,,,
2008 Summer Olympics; 2012 Summer Olympics,Male,"James Edward ""Trey""•Hardee, III",Trey•Hardee,"7 February 1984 in Birmingham, Alabama (USA)",,United States,115385,196 cm / 96 kg,"Nike, Beaverton (USA)",,,,,,
2008 Summer Olympics,Female,Julianne•Kirchner,Julianne•Kirchner,"19 December 1991 in Florence, Alabama (USA)",,Marshall Islands,115987,138 cm / 54 kg,Kwajalein Swim Team,,,,,,
2008 Summer Olympics,Male,Miguel S.•Pate,Miguel•Pate,"13 June 1979 in Tuscaloosa, Alabama (USA)",,United States,116923,188 cm / 84 kg,"Nike, Beaverton (USA)",,,,,,
2012 Summer Olympics,Male,Jonathan•Hall,Jonathan•Hall,"1 March 1988 in Birmingham, Alabama (USA)",,United States,126688,175 cm / 95 kg,,,,,,,
2016 Summer Olympics,Female,Lindsey Marcie•Harding,Lindsey•Harding,"12 June 1984 in Mobile, Alabama (USA)",,Belarus,129182,173 cm / 65 kg,New York Liberty,,,,,Линдсей Марси•Хардинг,
2016 Summer Olympics,Male,DeMarcus Amir•Cousins,DeMarcus•Cousins,"13 August 1990 in Mobile, Alabama (USA)",,United States,136272,210 cm / 122 kg,"Sacramento Kings, Sacramento (USA)",,,,,,
2020 Summer Olympics,Female,Quanesha•Burks,Quanesha•Burks,"15 March 1995 in Ozark, Alabama (USA)",,United States,147123,,,,,,,,
2020 Summer Olympics,Male,Brandon Lee•Dickson,Brandon•Dickson,"3 November 1984 in Montgomery, Alabama (USA)",,United States,147379,196 cm,"Memphis Redbirds, Memphis (USA)",,,,,,
2020 Summer Olympics,Male,David Alan•Robertson,David•Robertson,"9 April 1985 in Birmingham, Alabama (USA)",,United States,147380,180 cm,"High Point Rockers, High Point (USA)",,,,,,
2020 Summer Olympics,Male,James•Hall,James•Hall,"18 November 1983 in Alabaster, Alabama (USA)",,United States,147452,183 cm / 91 kg,,,,,,,
2024 Summer Olympics,Male,Francis Tanner James•Tessmann,Tanner•Tessmann,"24 September 2001 in Birmingham, Alabama (USA)",,United States,152456,187 cm / 90 kg,"Venezia, Venezia (ITA)",,,,,,
1984 Summer Olympics; 1988 Summer Olympics,Male,"Peter Waller ""Pete""•Lash, Jr.","Pete•Lash, Jr.","11 August 1959 in Anchorage, Alaska (USA)",,United States,32995,193 cm / 93 kg,,,,,,,
1992 Summer Olympics,Female,Diana Lynn•Olson,Diana•Olson,"27 February 1969 in Anchorage, Alaska (USA)",,United States,40497,178 cm / 73 kg,,,,,,,
1984 Summer Olympics,Female,Kristen Joy•Thorsness,Kristen•Thorsness,"10 March 1960 in Anchorage, Alaska (USA)",,United States,40518,175 cm / 69 kg,Pioneer Valley Rowing Association,,,,,,
1964 Summer Olympics,Male,"Joseph Brian ""Joe""•Amlong",Joe•Amlong,"17 December 1936 in Haines, Alaska (USA)","1 July 2019 in Vero Beach, Florida (USA)",United States,40532,186 cm / 86 kg,"Vesper Boat Club, Philadelphia (USA)",,,,,,
