Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1996 Summer Olympics,Female,"Judith C. ""Judi""•Adams",Judi•Adams,"12 July 1959 in Phoenix, Arizona (USA)",,United States,2203,,,,,,,,
1996 Summer Olympics,Male,"Richard A. ""Richey""•Reneberg",Richey•Reneberg,"5 October 1965 in Phoenix, Arizona (USA)",,United States,2781,180 cm / 77 kg,,,,,,,
1964 Summer Olympics,Male,"John Paul ""Pete""•McCaffrey",Pete•McCaffrey,"24 December 1938 in Tucson, Arizona (USA)","4 March 2012 in Belleair, Florida (USA)",United States,6640,198 cm / 98 kg,Goodyear Wingfoots/St. Louis University,,,,,,
1988 Summer Olympics,Male,Michael•Carbajal,Michael•Carbajal,"17 September 1967 in Phoenix, Arizona (USA)",,United States,8636,165 cm / 48 kg,North Phoenix High School,"Manitas de Piedra, Little Hands of Stone",,,,,
1988 Summer Olympics; 1992 Summer Olympics,Female,Lisa Ann•Jacquin,Lisa•Jacquin,"22 February 1962 in Tucson, Arizona (USA)",,United States,11368,172 cm / 64 kg,,,,,,,
1960 Summer Olympics; 1964 Summer Olympics; 1968 Summer Olympics; 1972 Summer Olympics,Male,Alfonso Hector•Morales,Alfonso•Morales,"19 May 1937 in Douglas, Arizona (USA)",,United States,23761,188 cm / 86 kg,"NYAC, New York (USA)",,,,,,
1992 Summer Olympics; 1996 Summer Olympics,Female,Kerri Allyson•Strug (-Fischer),Kerri•Strug,"19 November 1977 in Tucson, Arizona (USA)",,United States,29291,142 cm / 37 kg,Karolyi Gym,,,,,,
1964 Summer Olympics,Male,"Russell Duncan ""Rusty""•Mitchell",Rusty•Mitchell,"1 June 1942 in Phoenix, Arizona (USA)","25 February 2023 in Albuquerque, New Mexico (USA)",United States,31388,170 cm / 64 kg,"Southern Illinois Salukis, Carbondale (USA)",,,,,,
1968 Summer Olympics,Male,"Arthur Thompson•Evans, III",Arthur•Evans,"22 August 1947 in Tucson, Arizona (USA)",,United States,40638,188 cm / 85 kg,"Harvard Crimson, Cambridge (USA)",,,,,,
1964 Summer Olympics,Male,"Thomas Elmer ""Tom""•Pollock, III",Tom•Pollock,"24 July 1943 in Flagstaff, Arizona (USA)",,United States,40838,196 cm / 89 kg,"Harvard Crimson, Cambridge (USA)",,,,,,
