Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1996 Summer Olympics,Female,Rebecca Rose•Lobo (-Rushin),Rebecca•Lobo,"6 October 1973 in Hartford, Connecticut (USA)",,United States,5349,193 cm / 64 kg,"Connecticut Huskies, Storrs, Connecticut (USA)",,,,,,
1976 Summer Olympics,Female,Mary Anne•O'Connor,Mary Anne•O'Connor,"1 October 1953 in Bridgeport, Connecticut (USA)",,United States,5409,180 cm / 72 kg,"Southern Connecticut State University, New Haven (USA)",,,,,,
1936 Summer Olympics,Male,"Michele ""Mike""•Pelliccia",Mike•Pelliccia,"27 January 1910 in New Haven, Connecticut (USA)",,Italy,6837,,"Pallacanestro Napoli, Napoli (ITA)",,,,,,
1988 Summer Olympics,Male,Charles Daniel H.•Smith,Charles D.•Smith,"16 July 1965 in Bridgeport, Connecticut (USA)",,United States,7140,208 cm / 100 kg,"Pittsburgh Panthers, Pittsburgh (USA)",,,,,,
1996 Summer Olympics,Male,Lawrence Marvin•Clay-Bey,Lawrence•Clay-Bey,"14 December 1965 in Bloomfield, Connecticut (USA)",,United States,8644,188 cm / 111 kg,Bellevue Square Boys' Club,,,,,,
1928 Summer Olympics,Male,"Harold George ""Harry""•Devine",Harry•Devine,"18 May 1909 in New Haven, Connecticut (USA)","29 April 1998 in Worcester, Massachusetts (USA)",United States,8655,,Worcester Boys' Club,,,,,,
1992 Summer Olympics,Male,"Frederick Churchill ""Fred""•Spaulding",Fred•Spaulding,"26 August 1965 in Manchester, Connecticut (USA)",,United States,11153,175 cm / 75 kg,"Newport Aquatic Center, Newport Beach (USA)",,,,,,
1992 Summer Olympics; 2000 Summer Olympics,Male,Jay Dennis•Hayes,Jay•Hayes,"14 June 1957 in Hartford, Connecticut (USA)",,Canada,12102,180 cm / 70 kg,North Ridge,,,,,,
1960 Summer Olympics,Male,Hugh•Wiley,Hugh•Wiley,"21 May 1927 in New Haven, Connecticut (USA)","3 September 1999 in Palmyra, Virginia (USA)",United States,13003,183 cm / 70 kg,"US Navy, (USA)",,,,,,
1948 Summer Olympics,Male,"Thomas Charles ""Tommy""•Godwin",Tommy•Godwin,"5 November 1920 in ?, Connecticut (USA)","3 November 2012 in Solihull, England (GBR)",Great Britain,14517,,Rover Cycling Club,,,,,,
1948 Summer Olympics,Male,Donald Eaton•Buck,Donald•Buck,"26 September 1916 in Hartford, Connecticut (USA)","3 June 2002 in Cockeysville, Maryland (USA)",United States,20384,,Mt. Washington Club,,,,,,
1996 Summer Olympics,Male,"James Bernard ""Jim""•Carpenter",Jim•Carpenter,"14 April 1962 in Canton, Connecticut (USA)",,United States,23675,188 cm / 95 kg,"NYAC, New York (USA)",,,,,,
1960 Summer Olympics,Male,Ralph•Spinella,Ralph•Spinella,"8 May 1923 in Waterbury, Connecticut (USA)","7 October 2021 in Waterbury, Connecticut (USA)",United States,23801,180 cm / 68 kg,"NYAC, New York (USA)",,,,,,
1924 Summer Olympics,Male,Donald Bartram•Waldhaus,Donald•Waldhaus,"31 March 1895 in Bridgeport, Connecticut (USA)","17 April 1975 in Shelton, Connecticut (USA)",United States,23815,180 cm,"Washington Square Fencers Club, New York (USA)",,,,,,
1992 Summer Olympics; 1996 Summer Olympics,Female,Chryssandra Annette•Hires (Watts-),Chryssandra•Hires,"27 November 1966 in Bristol, Connecticut (USA)",,United States,32938,172 cm / 66 kg,Atlanta Storm,,,,,,
1976 Summer Olympics,Male,Patrick•O'Neill,Patrick•O'Neill,"20 March 1956 in Stamford, Connecticut (USA)",,United States,33005,198 cm / 95 kg,,,,,,,
1992 Summer Olympics,Male,Joseph Paul•Wanag,Joseph•Wanag,"2 August 1966 in Wilton, Connecticut (USA)",,United States,34521,178 cm / 77 kg,,,,,,,
1996 Summer Olympics,Female,Julia L.•Chilicki (-Beasley),Julia•Chilicki,"1 August 1971 in Somers, Connecticut (USA)",,United States,40444,175 cm / 70 kg,,,,,,,
1984 Summer Olympics,Female,Jeanne Ann•Flanagan,Jeanne•Flanagan,"8 May 1957 in New Haven, Connecticut (USA)",,United States,40456,177 cm / 81 kg,"Boston Rowing Club, Boston (USA)",,,,,,
1984 Summer Olympics,Female,"Charlotte Mosher ""Carlie""•Geer",Carlie•Geer,"13 November 1957 in Greenwich, Connecticut (USA)",,United States,40458,167 cm / 64 kg,"Boston Rowing Club, Boston (USA)",,,,,,
1988 Summer Olympics,Male,Seth David•Bauer,Seth•Bauer,"25 September 1959 in Bridgeport, Connecticut (USA)",,United States,40543,165 cm / 50 kg,,,,,,,
1976 Summer Olympics,Male,Calvin Thomas•Coffey,Calvin•Coffey,"27 January 1951 in Norwich, Connecticut (USA)",,United States,40591,188 cm / 91 kg,"Vesper Boat Club, Philadelphia (USA)",,,,,,
1956 Summer Olympics,Male,John Patrick•Cooke,John•Cooke,"9 April 1937 in Ansonia, Connecticut (USA)","26 December 2005 in Ridgefield, Connecticut (USA)",United States,40594,183 cm / 84 kg,"Yale Bulldogs, New Haven (USA)",,,,,,
1972 Summer Olympics,Male,"Richard Alan ""Dick""•Dreissigacker",Dick•Dreissigacker,"26 March 1947 in New Haven, Connecticut (USA)",,United States,40622,193 cm / 85 kg,"Vesper Boat Club, Philadelphia (USA)",,,,,,
1948 Summer Olympics,Male,"Stuart Lane ""Stu""•Griffing",Stu•Griffing,"9 November 1926 in New Haven, Connecticut (USA)","20 December 2021 in Cincinnati, Ohio (USA)",United States,40680,,"Yale Bulldogs, New Haven (USA)",,,,,,
1972 Summer Olympics,Male,Aaron Benjamin•Herman,Aaron•Herman,"17 February 1953 in Stamford, Connecticut (USA)",,United States,40699,153 cm / 50 kg,College Boat Club,,,,,,
1984 Summer Olympics,Male,"Thomas Nisbit ""Tom""•Kiefer",Tom•Kiefer,"25 February 1958 in Sharon, Connecticut (USA)",,United States,40737,190 cm / 90 kg,"Penn AC, Philadelphia (USA)",,,,,,
1968 Summer Olympics,Male,"Andrew Blinn ""Andy""•Larkin",Andy•Larkin,"20 September 1946 in New Britain, Connecticut (USA)","11 August 2023 in Northampton, Massachusetts (USA)",United States,40748,196 cm / 95 kg,"Harvard Crimson, Cambridge (USA)",,,,,,
1996 Summer Olympics,Male,"Stephen Lee ""Steve""•Peterson",Steve•Peterson,"27 June 1963 in Glastonbury, Connecticut (USA)",,United States,40830,185 cm / 73 kg,,,,,,,
1996 Summer Olympics,Male,Steven C.•Segaloff,Steven•Segaloff,"21 July 1970 in New Haven, Connecticut (USA)",,United States,40867,165 cm / 55 kg,,,,,,,
1924 Summer Olympics,Male,"Benjamin McLane ""Ben""•Spock",Ben•Spock,"2 May 1903 in New Haven, Connecticut (USA)","15 March 1998 in La Jolla, California (USA)",United States,40880,196 cm,"Yale Bulldogs, New Haven (USA)",,,,,,
1984 Summer Olympics,Male,"Phillip William ""Otto""•Stekl",Otto•Stekl,"20 January 1956 in Middletown, Connecticut (USA)",,United States,40886,193 cm / 93 kg,Hartford Barge,,,,,,
1972 Summer Olympics,Male,"Michael Louis ""Mike""•Vespoli",Mike•Vespoli,"14 December 1946 in New Haven, Connecticut (USA)",,United States,40916,,"Vesper Boat Club, Philadelphia (USA)",,,,,,
1984 Summer Olympics,Male,"Edward Frederick ""Ed""•Etzel, Jr.",Ed•Etzel,"6 September 1952 in New Haven, Connecticut (USA)",,United States,44655,178 cm / 66 kg,"US Army, (USA)",,,,,,
1984 Summer Olympics,Female,Theresa•Andrews,Theresa•Andrews,"25 August 1962 in New London, Connecticut (USA)",,United States,50953,167 cm / 62 kg,"NBAC, Baltimore (USA)",,,,,,
1988 Summer Olympics; 1992 Summer Olympics,Female,Karen Julia•Josephson,Karen•Josephson,"10 January 1964 in Bristol, Connecticut (USA)",,United States,51075,162 cm / 55 kg,,,,,,,
1984 Summer Olympics; 1988 Summer Olympics; 1992 Summer Olympics,Female,Sarah Gay•Josephson,Sarah•Josephson,"10 January 1964 in Bristol, Connecticut (USA)",,United States,51076,162 cm / 55 kg,"The Ohio State Buckeyes, Columbus (USA)",,,,,,
1952 Summer Olympics,Male,"Frank Martin•Dooley, III",Frank•Dooley,"21 March 1929 in New Haven, Connecticut (USA)",14 November 2022,United States,51322,,"The Ohio State Buckeyes, Columbus (USA)",,,,,,
1988 Summer Olympics; 1992 Summer Olympics,Male,"Daniel Ploug ""Dan""•Jorgensen",Dan•Jorgensen,"4 April 1968 in New London, Connecticut (USA)",,United States,51426,190 cm / 93 kg,,,,,,,
1952 Summer Olympics,Male,Wayne Richard•Moore,Wayne•Moore,"30 November 1931 in Bridgeport, Connecticut (USA)","20 February 2015 in Trumbull, Connecticut (USA)",United States,51496,,New Haven Swim Club,,,,,,
1992 Summer Olympics; 1996 Summer Olympics,Male,Jon C.•Olsen,Jon•Olsen,"25 April 1969 in New Britain, Connecticut (USA)",,United States,51512,195 cm / 82 kg,"Curl-Burke Swim Team / University of Alabama, USA",,,,,,
