Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1996 Summer Olympics,Female,Dionna Marie•Harris,Dionna•Harris,"4 March 1968 in Wilmington, Delaware (USA)",,United States,1383,160 cm,"California Jazz, Bellflower (USA)",,,,,,
1968 Summer Olympics,Male,"Arthur Gray ""Art""•Redden",Art•Redden,"19 June 1936 in Wilmington, Delaware (USA)",,United States,8752,178 cm / 81 kg,"US Marine Corps, (USA)",,,,,,
1924 Summer Olympics,Male,"Sydney Carter ""Sid""•Jelinek",Sid•Jelinek,"18 March 1899 in Wilmington, Delaware (USA)","9 March 1979 in Philadelphia, Pennsylvania (USA)",United States,40721,,"Pennsylvania Barge Club, Philadelphia (USA)",,,,,,
1924 Summer Olympics,Male,John B.•Grier,John•Grier,"6 February 1901 in Delaware City, Delaware (USA)","30 June 1991 in Wilmington, Delaware (USA)",United States,44674,,,Cap,,,,,
1972 Summer Olympics,Female,"Jennifer Ann ""Jenny""•Bartz (-McGillin)",Jenny•Bartz,"23 July 1955 in Wilmington, Delaware (USA)",,United States,50960,171 cm / 61 kg,"Santa Clara SC, Santa Clara (USA)",,,,,,
1976 Summer Olympics,Male,"Steven Garrett ""Steve""•Gregg",Steve•Gregg,"3 November 1955 in Wilmington, Delaware (USA)",,United States,51372,193 cm / 84 kg,Southern California Aquatic Club,,,,,,
1968 Summer Olympics,Male,David Charles•Johnson,David•Johnson,"20 February 1947 in Wilmington, Delaware (USA)",,United States,51422,186 cm / 75 kg,Philadelphia Aquatic Club,,,,,,
1984 Summer Olympics,Male,Aldis Imants•Berzins,Aldis•Berzins,"3 October 1956 in Wilmington, Delaware (USA)",,United States,53278,188 cm / 79 kg,,,,,,,
1964 Summer Olympics; 1968 Summer Olympics; 1972 Summer Olympics,Male,"Stanley Clark ""Stan""•Cole",Stan•Cole,"12 October 1945 in Dover, Delaware (USA)","26 July 2018 in Encinitas, California (USA)",United States,54907,186 cm / 86 kg,"UCLA Bruins, Los Angeles (USA)",,,,,,
1996 Summer Olympics,Male,Jason H.•Gleasman,Jason•Gleasman,"27 March 1975 in Wilmington, Delaware (USA)",,United States,60644,191 cm / 100 kg,"NYAC, New York (USA)",,,,,,
1968 Summer Olympics,Male,"Frank Gardner•Cox, Jr.",Gardner•Cox,"5 February 1920 in Wilmington, Delaware (USA)","30 March 1988 in Villanova, Pennsylvania (USA)",United States,61688,175 cm / 77 kg,Mantoloking Yacht Club/Corinthian Yacht Club,,,,,,
1928 Summer Olympics,Male,"James Harrison Wilson ""Jim""•Thompson",Jim•Thompson,"21 March 1906 in Greenville, Delaware (USA)",26 March 1967 in ? (MAS),United States,63904,,,,,,,,
1988 Summer Olympics; 1996 Summer Olympics,Female,"Victoria Lyn ""Vicki""•Huber (-Rudawsky)",Vicki•Huber,"29 May 1967 in Wilmington, Delaware (USA)",,United States,77866,168 cm / 54 kg,"Villanova Wildcats, Villanova (USA)",,,,,,
1964 Summer Olympics,Male,"Victor Andrew ""Vic""•Zwolak",Vic•Zwolak,"30 November 1938 in Wilmington, Delaware (USA)",,United States,79237,175 cm / 64 kg,Ridley Township Striders,,,,,,
2004 Summer Olympics,Female,"Barbara Metz ""Barb""•Lindquist",Barb•Lindquist,"1 June 1969 in Wilmington, Delaware (USA)",,United States,106098,167 cm / 58 kg,,,,,,,
2008 Summer Olympics; 2012 Summer Olympics; 2016 Summer Olympics,Female,Katelyn•Falgowski,Katelyn•Falgowski,"23 October 1988 in Wilmington, Delaware (USA)",,United States,114052,168 cm / 63 kg,University of Northern California,,,,,,
2008 Summer Olympics,Female,Carrie•Lingo,Carrie•Lingo,"27 September 1979 in Wilmington, Delaware (USA)",,United States,114057,175 cm / 68 kg,,,,,,,
2012 Summer Olympics,Female,Shannon•Taylor,Shannon•Taylor,"25 December 1986 in Milford, Delaware (USA)",,United States,126746,173 cm / 66 kg,,,,,,,
2016 Summer Olympics,Female,Elena•Delle Donne,Elena•Delle Donne,"5 September 1989 in Wilmington, Delaware (USA)",,United States,132057,195 cm / 86 kg,"Chicago Sky, Chicago (USA)",,,,,,
2016 Summer Olympics,Female,Caitlin•Van Sickle,Caitlin•Van Sickle,"26 January 1990 in Wilmington, Delaware (USA)",,United States,132109,166 cm / 58 kg,,,,,,,
2020 Summer Olympics,Male,Marquis Ali•Dendy,Marquis•Dendy,"17 November 1992 in Wilmington, Delaware (USA)",,United States,147338,193 cm / 79 kg,,,,,,,
2024 Summer Olympics,Female,Megumi•Field,Megumi•Field,"15 October 2005 in Wilmington, Delaware (USA)",,United States,154887,,,,,,,,
2024 Summer Olympics,Male,Malacchi•Esdale,Malacchi•Esdale,"4 May 1995 in Newark, Delaware (USA)",,United States,153632,,,,,,,,
