Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1976 Summer Olympics,Female,"Cynthia Jane ""Cindy""•Brogdon",Cindy•Brogdon,"25 February 1957 in Buford, Georgia (USA)",,United States,5160,177 cm / 70 kg,"Mercer Bears, Macon (USA)",,,,,,
1984 Summer Olympics; 1988 Summer Olympics; 1992 Summer Olympics; 1996 Summer Olympics; 2000 Summer Olympics,Female,Teresa•Edwards,Teresa•Edwards,"19 July 1964 in Cairo, Georgia (USA)",,United States,5226,175 cm / 68 kg,"Georgia Bulldogs, Athens (USA) / Primax Magenta, Magenta (ITA) / Mitsubishi Nagoya, Nagoya (JPN) / Atlanta Glory, Atlanta (USA)",,,,,,
1984 Summer Olympics,Female,"Ludi ""Lea""•Henry (-Manning)",Lea•Henry,"22 November 1961 in Colquitt, Georgia (USA)",,United States,5269,162 cm / 53 kg,"Tennessee Volunteers, Knoxville (USA)",,,,,,
1976 Summer Olympics,Female,"Patricia Ann ""Trish""•Roberts",Trish•Roberts,"14 June 1955 in Monroe, Georgia (USA)",,United States,5447,187 cm / 63 kg,"Kansas State Wildcats, Manhattan (USA)",,,,,,
1976 Summer Olympics,Male,"Michel Taylor ""Tate""•Armstrong",Tate•Armstrong,"5 October 1955 in Moultrie, Georgia (USA)",,United States,5639,190 cm / 77 kg,"Duke Blue Devils, Durham (USA)",,,,,,
1960 Summer Olympics,Male,Earl Allen•Kelley,Allen•Kelley,"24 December 1932 in Dearing, Georgia (USA)","13 August 2016 in Lawrence, Kansas (USA)",United States,6382,183 cm / 74 kg,"Kansas Jayhawks, Lawrence (USA)",,,,,,
1988 Summer Olympics,Male,Romallis•Ellis,Romallis•Ellis,"16 December 1965 in Atlanta, Georgia (USA)",,United States,8661,171 cm / 60 kg,,Big Shot,,,,,
1992 Summer Olympics,Male,Vernon•Forrest,Vernon•Forrest,"12 February 1971 in Augusta, Georgia (USA)","25 July 2009 in Atlanta, Georgia (USA)",United States,8669,183 cm / 63 kg,U.S. Olympic Education Center,The Viper,,,,,
1996 Summer Olympics,Male,Eric M.•Giddens,Eric•Giddens,"8 May 1973 in Atlanta, Georgia (USA)",,United States,11082,173 cm / 70 kg,"Georgia Tech Yellow Jackets, Atlanta (USA)",,,,,,
1996 Summer Olympics,Male,"Horace P.•Holden, Jr.",Horace•Holden,"24 May 1963 in Atlanta, Georgia (USA)",,United States,11100,,"Duke Blue Devils, Durham (USA)",,,,,,
1988 Summer Olympics,Female,Ann Hardaway•Sutton (-Taylor),Ann•Sutton,"23 October 1958 in Columbus, Georgia (USA)",,United States,11471,170 cm / 66 kg,,,,,,,
