Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1956 Summer Olympics,Male,"Raymond ""Ray""•Perez",Ray•Perez,"25 January 1939 in Honolulu, Hawaii (USA)","12 March 2013 in Sydney, New South Wales (AUS)",United States,8747,155 cm / 51 kg,Hawaii Youth Organization,,,,,,
1988 Summer Olympics; 1992 Summer Olympics; 1996 Summer Olympics,Female,"Tracey Elizabeth ""Traci""•Phillips",Traci•Phillips,"1 August 1962 in Honolulu, Hawaii (USA)",,United States,11047,162 cm / 55 kg,,,,,,,
1988 Summer Olympics; 1992 Summer Olympics; 1996 Summer Olympics,Male,Michael Everett•Harbold,Michael•Harbold,"22 May 1968 in Honolulu, Hawaii (USA)",,United States,11090,183 cm / 83 kg,,Mike,,,,,
1992 Summer Olympics,Male,Wyatt Randall•Jones,Wyatt•Jones,"1 April 1970 in Honolulu, Hawaii (USA)",,United States,11109,175 cm / 75 kg,,,,,,,
1992 Summer Olympics; 1996 Summer Olympics; 2000 Summer Olympics,Male,Peter Andrew•Newton,Peter•Newton,"6 March 1970 in Honolulu, Hawaii (USA)",,United States,11136,190 cm / 86 kg,,,,,,,
1984 Summer Olympics,Female,"Alexandra ""Sandy""•Pflueger-Clarke (-Phillips)",Sandy•Pflueger-Clarke,"14 April 1954 in Honolulu, Hawaii (USA)",,Great Britain United States,11433,170 cm / 64 kg,,,,,,,
1984 Summer Olympics; 1992 Summer Olympics; 1996 Summer Olympics,Female,Rebecca Lynne•Twigg (-Whitehead-),Rebecca•Twigg,"26 March 1963 in Honolulu, Hawaii (USA)",,United States,13247,170 cm / 57 kg,"7-Eleven, (USA)",,,,,,
1984 Summer Olympics,Female,Karen Christina•Shelton (-Scroggs),Karen•Shelton,"14 November 1957 in Honolulu, Hawaii (USA)",,United States,20369,165 cm / 53 kg,U.S. National Team,,,,,,
1996 Summer Olympics; 2000 Summer Olympics,Female,Hillary Jocelyn•Wolf (-Saba),Hillary•Wolf,"7 February 1977 in Honolulu, Hawaii (USA)",,United States,33355,155 cm / 52 kg,"Olympic Training Center, Colorado Springs",,,,,,
1984 Summer Olympics,Male,Craig John•Agena,Craig•Agena,"7 September 1960 in Honolulu, Hawaii (USA)",,United States,33384,170 cm / 66 kg,"US Army, (USA) / Northglenn Judo Club, Northglenn (USA)",Jiro,,,,,
