Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1984 Summer Olympics,Female,Benita Jean•Edds,Benita•Edds,"12 June 1958 in Sullivan, Indiana (USA)",,United States,2208,175 cm / 72 kg,,,,,,,
1976 Summer Olympics; 1984 Summer Olympics; 1988 Summer Olympics; 1992 Summer Olympics,Male,"Richard Lee ""Rick""•McKinney",Rick•McKinney,"12 October 1953 in Decatur, Indiana (USA)",,United States,2241,170 cm / 59 kg,,,,,,,
1984 Summer Olympics,Male,"Stephen Todd ""Steve""•Alford",Steve•Alford,"23 November 1964 in Franklin, Indiana (USA)",,United States,5600,185 cm / 74 kg,"Indiana Hoosiers, Bloomington (USA)",,,,,,
1948 Summer Olympics,Male,"Clifford Eugene ""Cliff""•Barker",Cliff•Barker,"15 January 1921 in Yorktown, Indiana (USA)","17 March 1998 in Satsuma, Florida (USA)",United States,5677,188 cm / 84 kg,"Kentucky Wildcats, Lexington (USA)",,,,,,
1992 Summer Olympics,Male,Larry Joe•Bird,Larry•Bird,"7 December 1956 in French Lick, Indiana (USA)",,United States,5732,205 cm / 100 kg,"Boston Celtics, Boston (USA)",The Hick from French Lick,,,,,
1948 Summer Olympics,Male,"Vincent Joseph ""Vince""•Boryla",Vince•Boryla,"11 March 1927 in East Chicago, Indiana (USA)","27 March 2016 in Englewood, Colorado (USA)",United States,5773,195 cm / 95 kg,"Denver Nuggets, Denver (USA)",Moose,,,,,
1960 Summer Olympics,Male,"Terence Gilbert ""Terry""•Dischinger",Terry•Dischinger,"21 November 1940 in Terre Haute, Indiana (USA)","9 October 2023 in Lake Oswego, Oregon (USA)",United States,6014,198 cm / 86 kg,"Purdue Boilermakers, West Lafayette (USA)",,,,,,
1952 Summer Olympics,Male,Clyde Edward•Lovellette,Clyde•Lovellette,"7 September 1929 in Petersburg, Indiana (USA)","9 March 2016 in North Manchester, Indiana (USA)",United States,6548,205 cm / 104 kg,"Kansas Jayhawks, Lawrence (USA)",,,,,,
1952 Summer Olympics,Male,"Howard Earl ""Howie""•Williams",Howie•Williams,"29 October 1927 in New Ross, Indiana (USA)","25 December 2004 in Phoenix, Arizona (USA)",United States,7359,183 cm / 76 kg,"Peoria Caterpillars, Peoria (USA)",,,,,,
1952 Summer Olympics,Male,"Charles ""Chuck""•Adkins",Chuck•Adkins,"27 April 1932 in Gary, Indiana (USA)","8 July 1993 in Gary, Indiana (USA)",United States,8608,,,,,,,,
