Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1972 Summer Olympics,Female,Doreen Viola•Wilber (Hansen-),Doreen•Wilber,"8 January 1930 in Rutland, Iowa (USA)","19 October 2008 in Jefferson, Iowa (USA)",United States,2221,167 cm / 60 kg,,,,,,,
1992 Summer Olympics; 1996 Summer Olympics,Male,"James Jon ""Jim""•Butler",Jim•Butler,"15 February 1971 in Iowa City, Iowa (USA)",,United States,2748,193 cm / 77 kg,,,,,,,
1996 Summer Olympics,Male,"Andrew Jay ""A. J.""•Hinch",A. J.•Hinch,"15 May 1974 in Waverly, Iowa (USA)",,United States,3234,185 cm / 91 kg,"Stanford Cardinal, Stanford (USA)",,,,,,
1956 Summer Olympics,Male,"Charles Frick ""Chuck""•Darling",Chuck•Darling,"20 March 1930 in Denison, Iowa (USA)","6 April 2021 in Littleton, Colorado (USA)",United States,5953,203 cm / 102 kg,"Phillips 66ers, Bartlesville (USA)",,,,,,
1984 Summer Olympics,Male,Jon Francis•Koncak,Jon•Koncak,"17 May 1963 in Cedar Rapids, Iowa (USA)",,United States,6424,213 cm / 113 kg,"SMU Mustangs, Dallas (USA)",Jon Contract,,,,,
1932 Summer Olympics,Male,"John ""Johnny""•Miler (Miletich-)",Johnny•Miler,"10 August 1910 in Hocking, Iowa (USA)","17 June 1976 in Iowa City, Iowa (USA)",United States,8734,185 cm,Christ Church Athletic Club,,,,,,
1988 Summer Olympics; 1996 Summer Olympics,Male,"Curtis Jay ""Curt""•Bader",Curt•Bader,"5 January 1961 in Bloomfield, Iowa (USA)",,United States,11054,175 cm / 77 kg,,,,,,,
1924 Summer Olympics,Male,Victor M.•Hopkins (Morice-),Victor•Hopkins,"19 July 1904 in Cedar Rapids, Iowa (USA)","8 December 1969 in Nutley, New Jersey (USA)",United States,14782,180 cm,Davenport Cycling Club,Flicker,,,,,
1988 Summer Olympics,Male,Lance Robert•Ringnald,Lance•Ringnald,"13 June 1970 in Des Moines, Iowa (USA)",,United States,31409,170 cm / 68 kg,LaCueva High School,,,,,,
1956 Summer Olympics; 1960 Summer Olympics,Male,"George Howard•Lambert, Jr.",George•Lambert,"1 September 1928 in Hampton, Iowa (USA)","30 January 2012 in River Falls, Wisconsin (USA)",United States,35154,188 cm / 81 kg,"US Army, (USA)",,,,,,
1984 Summer Olympics,Male,"William Jackson ""Will""•Henderson",Will•Henderson,"4 November 1929 in Ames, Iowa (USA)",,United States Virgin Islands,42910,178 cm / 74 kg,,,,,,,
1992 Summer Olympics,Female,Ann-Marie•Pfiffner (-Johnson),Ann-Marie•Pfiffner,"13 May 1969 in Dubuque, Iowa (USA)",,United States,44585,157 cm / 52 kg,,,,,,,
1924 Summer Olympics,Male,"Raymond Orville ""Ray""•Coulter",Ray•Coulter,"12 April 1897 in Johnson County, Iowa (USA)","23 January 1965 in Mount Sterling, Illinois (USA)",United States,44637,,"US Marine Corps, (USA)",,,,,,
1976 Summer Olympics,Male,"Thomas Nicholas ""Tom""•Treinen",Tom•Treinen,"9 March 1943 in Le Mars, Iowa (USA)",,United States,44782,183 cm / 68 kg,"US Navy, (USA)",,,,,,
1996 Summer Olympics,Female,Anna Louise•Wilson,Anna•Wilson,"1 May 1977 in Iowa City, Iowa (USA)",,New Zealand,49616,,,,,,,,
1984 Summer Olympics,Female,Nancy Lynn•Hogshead (-Makar),Nancy•Hogshead,"17 April 1962 in Iowa City, Iowa (USA)",,United States,51059,172 cm / 66 kg,"Duke Blue Devils, Durham (USA)",,,,,,
1948 Summer Olympics; 1952 Summer Olympics,Female,Zoe Ann•Olsen-Jensen (-Bramham),Zoe Ann•Olsen-Jensen,"11 February 1931 in Council Bluffs, Iowa (USA)","23 September 2017 in ?, Florida (USA)",United States,51142,,"Athens Athletic Club, Oakland (USA)",,,,,,
1968 Summer Olympics; 1972 Summer Olympics,Male,"Michael Jay ""Mike""•Burton",Mike•Burton,"3 July 1947 in Des Moines, Iowa (USA)",,United States,51283,175 cm / 70 kg,"Arden Hills Swim Club, Sacramento (USA)",Mr. Machine,,,,,
1992 Summer Olympics,Male,Kent Monroe•Ferguson,Kent•Ferguson,"9 March 1963 in Cedar Rapids, Iowa (USA)",,United States,51333,183 cm / 73 kg,,,,,,,
1932 Summer Olympics; 1936 Summer Olympics,Male,Frank Allen•Kurtz,Frank•Kurtz,"9 September 1911 in Davenport, Iowa (USA)","30 October 1996 in North Hollywood, California (USA)",United States,51453,,"LAAC, Los Angeles (USA)",,,,,,
1964 Summer Olympics,Male,"Kenneth Robert ""Ken""•Sitzberger",Ken•Sitzberger,"13 February 1945 in Cedar Rapids, Iowa (USA)","2 January 1984 in Coronado, California (USA)",United States,51564,177 cm / 70 kg,"Indiana Hoosiers, Bloomington (USA)",,,,,,
1948 Summer Olympics,Male,"Devere Woodrow ""Chris""•Christensen",Chris•Christensen,"15 November 1918 in Hamilton, Iowa (USA)","12 December 2013 in ?, California (USA)",United States,54906,,"LAAC, Los Angeles (USA)",,,,,,
1960 Summer Olympics,Male,"Frederick Ernest ""Fred""•Tisue",Fred•Tisue,"17 October 1938 in Ames, Iowa (USA)",,United States,54976,175 cm / 74 kg,Lynwood Swim Club,,,,,,
1928 Summer Olympics,Male,Lloyd Otto•Appleton,Lloyd•Appleton,"1 February 1906 in Edgewood, Iowa (USA)","17 March 1999 in Oberlin, Ohio (USA)",United States,60564,,"Cornell College, Mount Vernon, Iowa (USA)",,,,,,
1948 Summer Olympics,Male,Glen Jenson•Brand,Glen•Brand,"3 November 1923 in Clarion, Iowa (USA)","15 November 2008 in Omaha, Nebraska (USA)",United States,60582,,"Iowa State Cyclones, Ames (USA)",,,,,,
1972 Summer Olympics,Male,"Robert Gregory ""Bob""•Buzzard",Bob•Buzzard,"9 December 1942 in Waterloo, Iowa (USA)",,United States,60587,178 cm / 66 kg,"Mayor Daley Youth Foundation, Chicago (USA)",,,,,,
1976 Summer Olympics,Male,"Joseph Marion ""Joe""•Corso",Joe•Corso,"22 December 1951 in West Des Moines, Iowa (USA)",,United States,60602,170 cm / 57 kg,"Purdue Boilermakers, West Lafayette (USA)",,,,,,
1972 Summer Olympics,Male,"Danny Mack ""Dan""•Gable",Dan•Gable,"25 October 1948 in Waterloo, Iowa (USA)",,United States,60636,175 cm / 68 kg,"Iowa State Cyclones, Ames (USA)",,,,,,
1932 Summer Olympics,Male,"Robert William ""Bob""•Hess",Bob•Hess,"10 November 1910 in Cresco, Iowa (USA)","16 March 1998 in Oregon City, Oregon (USA)",United States,60659,,,,,,,,
1948 Summer Olympics,Male,"William Henry ""Bill""•Koll",Bill•Koll,"12 August 1923 in Fort Dodge, Iowa (USA)","27 September 2003 in State College, Pennsylvania (USA)",United States,60679,,"Iowa State Cyclones, Ames (USA)",,,,,,
1948 Summer Olympics,Male,"Gerald Grant ""Gerry""•Leeman",Gerry•Leeman,"20 June 1922 in Little Cedar, Iowa (USA)","10 October 2008 in Cedar Falls, Iowa (USA)",United States,60688,,"Iowa State Cyclones, Ames (USA)",,,,,,
1928 Summer Olympics,Male,"Alvin Roy ""Allie""•Morrison",Allie•Morrison,"29 June 1904 in Marshalltown, Iowa (USA)","18 April 1966 in Omaha, Nebraska (USA)",United States,60719,,"Illinois Fighting Illini, Champaign (USA)",,,,,,
1968 Summer Olympics,Male,"Roy Thomas ""Tom""•Peckham",Tom•Peckham,"28 December 1943 in Cresco, Iowa (USA)",,United States,60730,188 cm / 87 kg,"Iowa State Cyclones, Ames (USA)",,,,,,
1956 Summer Olympics,Male,Dale Oren•Thomas,Dale•Thomas,"26 February 1923 in Cedar Rapids, Iowa (USA)","4 March 2004 in Corvallis, Oregon (USA)",United States,60780,172 cm / 84 kg,,,,,,,
1956 Summer Olympics,Male,Kent Harold•Townley,Kent•Townley,"18 January 1930 in Sioux City, Iowa (USA)","26 May 2005 in ?, Georgia (USA)",United States,60783,167 cm / 61 kg,"Iowa State Cyclones, Ames (USA)",,,,,,
1936 Summer Olympics,Male,William Glenn•Waterhouse,William•Waterhouse,"18 April 1893 in Cedar Rapids, Iowa (USA)","9 December 1973 in Berkeley, California (USA)",United States,64109,,Richmond and San Francisco Yacht Clubs,,,,,,
1992 Summer Olympics,Female,Natasha E.•Kaiser-Brown,Natasha•Kaiser-Brown,"14 May 1967 in Des Moines, Iowa (USA)",,United States,77883,175 cm / 59 kg,Southern California Cheetahs,,,,,,
