Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1992 Summer Olympics,Male,"Richard Douglas ""Rick""•Greene",Rick•Greene,"2 January 1971 in Fort Knox, Kentucky (USA)",,United States,3229,195 cm / 91 kg,"LSU Tigers, Baton Rouge (USA)",,,,,,
1948 Summer Olympics,Male,"Ralph Milton•Beard, Jr.",Ralph•Beard,"2 December 1927 in Hardinsburg, Kentucky (USA)","29 November 2007 in Louisville, Kentucky (USA)",United States,5694,178 cm / 79 kg,"Kentucky Wildcats, Lexington (USA)",,,,,,
1972 Summer Olympics,Male,"Kenneth Bryan ""Kenny""•Davis",Kenny•Davis,"12 September 1948 in Slat, Kentucky (USA)",,United States,5959,180 cm / 82 kg,"Marathon Oil, (USA)",,,,,,
1956 Summer Olympics,Male,"William Best ""Billy""•Evans",Billy•Evans,"13 September 1932 in Berea, Kentucky (USA)",22 November 2020,United States,6083,185 cm / 84 kg,"Kentucky Wildcats, Lexington (USA) / US Air Force, (USA)",,,,,,
1948 Summer Olympics,Male,"Wallace Clayton ""Wally""•Jones",Wally•Jones,"14 July 1926 in Harlan, Kentucky (USA)","27 July 2014 in Lexington, Kentucky (USA)",United States,6341,193 cm / 102 kg,"Kentucky Wildcats, Lexington (USA)",Wah Wah,,,,,
1968 Summer Olympics,Male,"Michael Barnwell ""Mike""•Silliman",Mike•Silliman,"5 May 1944 in Louisville, Kentucky (USA)","16 June 2000 in Louisville, Kentucky (USA)",United States,7110,198 cm / 105 kg,"US Army, (USA)",,,,,,
1960 Summer Olympics,Male,Adrian Howard•Smith,Adrian•Smith,"5 October 1936 in Farmington, Kentucky (USA)",,United States,7139,186 cm / 81 kg,"US Army, (USA)",Odie,,,,,
1960 Summer Olympics,Male,"Cassius Marcellus•Clay, Jr.",Cassius•Clay,"17 January 1942 in Louisville, Kentucky (USA)","3 June 2016 in Scottsdale, Arizona (USA)",United States,8643,187 cm / 80 kg,"Kentucky AAU, Louisville (USA)",The Greatest,,Muhammad Ali,,,
1964 Summer Olympics,Male,"Charles Ray ""Charley""•Ellis",Charley•Ellis,"12 January 1944 in Louisville, Kentucky (USA)",29 August 2018,United States,8660,170 cm / 64 kg,"US Army, (USA)",,,,,,
1952 Summer Olympics,Male,"David Schultz ""Davey""•Moore",Davey•Moore,"1 November 1933 in Lexington, Kentucky (USA)","25 March 1963 in Los Angeles, California (USA)",United States,8738,,,Springfield Rifle,,,,,
1948 Summer Olympics,Male,"Raymond Gordon ""Ray""•Clark, Jr.",Ray•Clark,"16 November 1924 in Louisville, Kentucky (USA)","1 December 1990 in Fresno, California (USA)",United States,11068,,"Potomac BC, Washington (USA)",,,,,,
1992 Summer Olympics; 1996 Summer Olympics,Male,Mark David•Hamilton,Mark•Hamilton,"6 February 1958 in Louisville, Kentucky (USA)",,United States,11089,190 cm / 83 kg,,,,,,,
1996 Summer Olympics,Female,Lucy•Tyler-Sharman (-Vinnicombe-),Lucy•Tyler-Sharman,"6 June 1965 in Louisville, Kentucky (USA)",,Australia,16923,177 cm / 72 kg,"Midland Cycling Club, Perth",,,,,,
1996 Summer Olympics,Male,Otto•Steffers,Otto•Steffers,"19 October 1972 in Louisville, Kentucky (USA)",,United States,20430,180 cm / 79 kg,,,,,,,
1924 Summer Olympics,Male,George Horace•Breed,George•Breed,"14 July 1876 in Louisville, Kentucky (USA)","24 June 1956 in New York, New York (USA)",United States,23670,168 cm,"Fencers Club, New York (USA)",,,,,,
1988 Summer Olympics,Female,Juliet Blair•Thompson (-Hochman),Juliet•Thompson,"20 December 1967 in Louisville, Kentucky (USA)",,United States,40517,178 cm / 70 kg,,,,,,,
