Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1992 Summer Olympics; 1996 Summer Olympics; 2000 Summer Olympics; 2004 Summer Olympics; 2008 Summer Olympics,Male,"Richard Andrew ""Butch""•Johnson",Butch•Johnson,"30 August 1955 in Worcester, Massachusetts (USA)",,United States,2235,191 cm / 98 kg,,,,,,,
1988 Summer Olympics,Male,"Timothy Spencer ""Tim""•Mayotte",Tim•Mayotte,"3 August 1960 in Springfield, Massachusetts (USA)",,United States,2774,190 cm / 83 kg,,Gentleman Tim,,,,,
1992 Summer Olympics,Male,Michael Anthony•Tucker,Michael•Tucker,"25 June 1971 in South Boston, Massachusetts (USA)",,United States,3251,188 cm / 84 kg,Longwood College,,,,,,
1992 Summer Olympics,Female,Medina•Dixon,Medina•Dixon,"2 November 1962 in Boston, Massachusetts (USA)",8 November 2021,United States,5212,190 cm / 75 kg,"Nippon Electric, Tokyo (JPN)",,,,,,
1976 Summer Olympics,Female,"Susan Marie ""Sue""•Rojcewicz",Sue•Rojcewicz,"29 May 1953 in Worcester, Massachusetts (USA)",,United States,5450,170 cm / 59 kg,"Southern Connecticut State University, New Haven (USA)",,,,,,
1932 Summer Olympics,Male,"Nathan ""Nat""•Bor",Nat•Bor,"1 March 1913 in Fall River, Massachusetts (USA)","13 June 1972 in New Bedford, Massachusetts (USA)",United States,8623,,,,,,,,
1928 Summer Olympics,Male,John Lawrence•Daley,John•Daley,"26 August 1909 in Newton, Massachusetts (USA)","7 February 1963 in El Paso, Texas (USA)",United States,8649,,,,,,,,
1928 Summer Olympics,Male,Harry Havelock•Henderson,Harry•Henderson,"12 October 1904 in Weston, Massachusetts (USA)","5 May 1976 in Virginia Beach, Virginia (USA)",United States,8690,,"US Navy, (USA)",,,,,,
1924 Summer Olympics,Male,"Thomas Joseph ""Tom""•Kirby",Tom•Kirby,"21 December 1904 in Roxbury, Massachusetts (USA)","25 November 1967 in Jamaica Plain, Massachusetts (USA)",United States,8708,182 cm / 79 kg,,,,,,,
1924 Summer Olympics,Male,"Alfons Mello ""Al""•Travers (Tavares-)",Al•Travers,"30 January 1906 in Lowell, Massachusetts (USA)","31 October 1993 in Tewksbury, Massachusetts (USA)",United States,8731,170 cm / 67 kg,,,,Al Mello,,,
1972 Summer Olympics,Female,"Caroline Louise ""Lyn""•Ashton",Lyn•Ashton,"29 November 1951 in Northampton, Massachusetts (USA)",,United States,11028,163 cm / 57 kg,Canoe Cruisers Association,,,,,,
1956 Summer Olympics,Male,George Albert•Byers,George•Byers,"3 July 1916 in Lynn, Massachusetts (USA)","5 June 1995 in Dedham, Massachusetts (USA)",United States,11065,174 cm / 64 kg,Samoset Canoe Club,,,,,,
1960 Summer Olympics,Male,Arnold William•Demus,Arnold•Demus,"8 September 1936 in Boston, Massachusetts (USA)",,United States,11071,188 cm / 74 kg,Samoset Canoe Club,,,,,,
1968 Summer Olympics,Male,William Jeremiah•Gates,William•Gates,"30 November 1947 in Beverly, Massachusetts (USA)",,United States,11081,173 cm / 64 kg,"NYAC, New York (USA)",,,,,,
1936 Summer Olympics,Male,Joseph Louis•Hasenfus,Joseph•Hasenfus,"29 May 1913 in Needham, Massachusetts (USA)","20 August 1999 in Augusta, Maine (USA)",United States,11092,,Needham Canoe Club,,,,,,
1936 Summer Olympics,Male,Walter Martin•Hasenfus,Walter•Hasenfus,"18 March 1916 in Needham, Massachusetts (USA)",8 December 1944,United States,11093,,Needham Canoe Club,,,,,,
1968 Summer Olympics,Male,Malcolm MacLeod•Hickox,Malcolm•Hickox,"2 September 1946 in Boston, Massachusetts (USA)",,United States,11099,175 cm / 72 kg,"Mississauga CC, Mississauga (CAN)",,,,,,
1956 Summer Olympics; 1960 Summer Olympics,Male,Richard Leach•Moran,Richard•Moran,"22 November 1932 in Norwood, Massachusetts (USA)","14 June 1989 in Boston, Massachusetts (USA)",United States,11133,175 cm / 79 kg,Samoset Canoe Club,,,,,,
1976 Summer Olympics,Female,Dorothy Sarkis•Morkis,Dorothy•Morkis,"29 December 1942 in Boston, Massachusetts (USA)",,United States,11414,172 cm / 59 kg,,,,,,,
1984 Summer Olympics,Female,Karen Elizabeth•Stives,Karen•Stives,"3 November 1950 in Boston, Massachusetts (USA)","14 August 2015 in Dover, Massachusetts (USA)",United States,11466,160 cm / 48 kg,,,,,,,
1964 Summer Olympics; 1968 Summer Olympics; 1972 Summer Olympics,Male,John Cotton•Allis,John•Allis,"31 May 1942 in Boston, Massachusetts (USA)",,United States,13358,174 cm / 67 kg,Century Road Club,,,,,,
1960 Summer Olympics,Male,"Charles Noyes ""Charlie""•Hewett",Charlie•Hewett,"29 July 1929 in Medfield, Massachusetts (USA)",,United States,14741,180 cm / 79 kg,,,,,,,
1952 Summer Olympics,Male,Umberto•Micco,Umberto•Micco,"24 March 1916 in Boston, Massachusetts (USA)","16 December 1989 in Moncalvo, Asti (ITA)",Italy,19339,,,,,,,,
1996 Summer Olympics,Female,"Pamela Louise ""Pam""•Bustin",Pam•Bustin,"24 April 1967 in Somerset, Massachusetts (USA)",,United States,20341,172 cm / 67 kg,,,,,,,
1988 Summer Olympics,Female,"Sandra Lee ""Sandi""•Costigan",Sandi•Costigan,"6 May 1964 in Winthrop, Massachusetts (USA)",,United States,20343,167 cm / 60 kg,,,,,,,
1988 Summer Olympics,Female,Megan Aileen•Donnelly,Megan•Donnelly,"11 May 1964 in Winchester, Massachusetts (USA)",,United States,20344,172 cm / 68 kg,,,,,,,
1988 Summer Olympics,Female,Donna•Lee (-Chung),Donna•Lee,"27 July 1960 in Boston, Massachusetts (USA)",,United States,20354,160 cm / 60 kg,,,,,,,
1988 Summer Olympics; 1996 Summer Olympics,Female,"Barbara Jean ""Barb""•Marois",Barb•Marois,"1 March 1963 in Auburn, Massachusetts (USA)",,United States,20358,172 cm / 68 kg,"New Hampshire Wildcats, Durham (USA)",,,,,,
1984 Summer Olympics,Female,Leslie Woods•Milne,Leslie•Milne,"17 October 1956 in Framingham, Massachusetts (USA)",,United States,20361,170 cm / 58 kg,U.S. National Team,,,,,,
1988 Summer Olympics; 1996 Summer Olympics,Female,Marcia Anne•Pankratz,Marcia•Pankratz,"1 October 1964 in Wakefield, Massachusetts (USA)",,United States,20365,167 cm / 59 kg,"Iowa Hawkeyes, Iowa City (USA)",,,,,,
1988 Summer Olympics; 1996 Summer Olympics,Female,"Patricia Ann ""Patty""•Shea",Patty•Shea,"15 September 1962 in Belmont, Massachusetts (USA)",,United States,20368,157 cm / 64 kg,University of Massachusetts,,,,,,
1984 Summer Olympics,Female,"Judith Ann ""Judy""•Strong",Judy•Strong,"26 March 1960 in Northampton, Massachusetts (USA)",,United States,20372,172 cm / 66 kg,U.S. National Team,,,,,,
1932 Summer Olympics; 1936 Summer Olympics,Male,"Lanphear ""Lanny""•Buck",Lanny•Buck,"9 December 1901 in Fall River, Massachusetts (USA)","18 May 1974 in Port Chester, New York (USA)",United States,20385,,Westchester Field Hockey Club,,,,,,
1932 Summer Olympics; 1936 Summer Olympics,Male,"James Cuthbert ""Jimmy""•Gentle",Jimmy•Gentle,"21 July 1904 in Dorchester, Massachusetts (USA)","22 May 1986 in Philadelphia, Pennsylvania (USA)",United States,20396,,Philadelphia Cricket Club,,,,,,
1984 Summer Olympics,Male,"Randolph B. ""Randy""•Lipscher",Randy•Lipscher,"20 September 1960 in Boston, Massachusetts (USA)",,United States,20412,178 cm / 79 kg,North Jersey Hockey Club,,,,,,
1932 Summer Olympics; 1936 Summer Olympics,Male,Leonard Francis•O'Brien,Leonard•O'Brien,"20 January 1904 in North Adams, Massachusetts (USA)","30 March 1939 in Boston, Massachusetts (USA)",United States,20421,,,Mike,,,,,
1984 Summer Olympics,Male,"Andrew Hashbrauck ""Drew""•Stone",Drew•Stone,"23 November 1960 in Boston, Massachusetts (USA)",,United States,20432,190 cm / 91 kg,"Harvard Crimson, Cambridge (USA)",,,,,,
1984 Summer Olympics,Female,Jana Marie•Angelakis,Jana•Angelakis,"1 January 1962 in Lynn, Massachusetts (USA)",,United States,20985,162 cm / 63 kg,"Tanner City Fencer's Club, Peabody (USA)",,,,,,
