Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1988 Summer Olympics,Male,"Kenneth Eliot ""Ken""•Flach",Ken•Flach,"24 May 1963 in St. Louis, Missouri (USA)","12 March 2018 in San Francisco, California (USA)",United States,2759,185 cm / 75 kg,,,,,,,
1964 Summer Olympics,Male,"William Warren ""Bill""•Bradley",Bill•Bradley,"28 July 1943 in Crystal City, Missouri (USA)",,United States,5780,196 cm / 93 kg,"Princeton Tigers, Princeton (USA)",,,,,,
1968 Summer Olympics,Male,"Donald Francis ""Don""•Dee",Don•Dee,"9 August 1943 in Booneville, Missouri (USA)","26 November 2014 in North Kansas City, Missouri (USA)",United States,5982,201 cm / 93 kg,"St. Mary of the Plains College, Dodge City (USA)",,,,,,
1948 Summer Olympics; 1952 Summer Olympics,Male,"Robert Albert ""Bob""•Kurland",Bob•Kurland,"23 December 1924 in St. Louis, Missouri (USA)","29 September 2013 in Sanibel Island, Florida (USA)",United States,6463,213 cm / 100 kg,"Phillips 66ers, Bartlesville (USA)",Foothills,,,,,
1952 Summer Olympics,Male,Dan Luther•Pippin,Dan•Pippin,"20 October 1926 in St. Louis, Missouri (USA)","1 April 1965 in McCredie Township, Missouri (USA)",United States,6873,185 cm / 77 kg,"Peoria Caterpillars, Peoria (USA)",,,,,,
1948 Summer Olympics,Male,"Kenneth Herman ""Kenny""•Rollins",Kenny•Rollins,"14 September 1923 in Charleston, Missouri (USA)","9 October 2012 in Greencastle, Indiana (USA)",United States,6988,183 cm / 79 kg,"Kentucky Wildcats, Lexington (USA)",,,,,,
1968 Summer Olympics,Male,"Joseph Henry ""Jo-Jo""•White",Jo-Jo•White,"16 November 1946 in St. Louis, Missouri (USA)","16 January 2018 in Boston, Massachusetts (USA)",United States,7355,191 cm / 89 kg,"Kansas Jayhawks, Lawrence (USA)",,,,,,
1984 Summer Olympics,Male,Virgil Eugene•Hill,Virgil•Hill,"18 January 1964 in Clinton, Missouri (USA)",,United States,8692,183 cm / 75 kg,Williston Boxing Club,Quicksilver,,,,,
1948 Summer Olympics,Male,Washington•Jones,Washington•Jones,"14 July 1925 in St. Louis, Missouri (USA)","9 November 1987 in St. Louis, Missouri (USA)",United States,8705,,"US Air Force, (USA)",,,,,,
1956 Summer Olympics,Male,"Joseph ""Joe""•Shaw",Joe•Shaw,"11 August 1938 in St. Louis, Missouri (USA)","19 December 2005 in Charleston, South Carolina (USA)",United States,8771,175 cm / 64 kg,,Buzz,,,,,
