Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1984 Summer Olympics,Female,Denise Marie•Curry,Denise•Curry,"22 August 1959 in Fort Benton, Montana (USA)",,United States,5198,185 cm / 74 kg,"Stade français, Paris (FRA)",,,,,,
1988 Summer Olympics,Male,Todd Laverne•Foster,Todd•Foster,"27 August 1967 in Missoula, Montana (USA)",,United States,8670,170 cm / 63 kg,,Kid,,,,,
1956 Summer Olympics,Male,Roger Wilson•Rouse,Roger•Rouse,"3 June 1934 in Anaconda, Montana (USA)","7 March 1999 in Helena, Montana (USA)",United States,8759,183 cm / 77 kg,Idaho State College,,,,,,
1996 Summer Olympics,Female,Lindsay H.•Burns (-Barbier),Lindsay•Burns,"6 January 1965 in Big Timber, Montana (USA)",,United States,40442,174 cm / 58 kg,,,,,,,
1984 Summer Olympics; 1988 Summer Olympics,Female,Wanda Rae•Jewell (-Oliver),Wanda•Jewell,"19 June 1954 in Havre, Montana (USA)",,United States,44579,165 cm / 59 kg,,,,,,,
1984 Summer Olympics,Female,"Karen Patricia ""Pat""•Spurgin (-Pitney)",Pat•Spurgin,"10 August 1965 in Billings, Montana (USA)",,United States,44591,183 cm / 79 kg,Yellowstone Rifle Club,,,,,,
1988 Summer Olympics,Female,Deena Lynn•Wigger,Deena•Wigger,"27 August 1966 in Great Falls, Montana (USA)",,United States,44594,162 cm / 51 kg,,,,,,,
1932 Summer Olympics,Male,Thomas M.•Carr,Thomas•Carr,"9 August 1905 in Butte, Montana (USA)","19 August 1955 in Imperial County, California (USA)",United States,44631,,,,,,,,
1924 Summer Olympics,Male,"Samuel Henry ""Sam""•Sharman",Sam•Sharman,"2 November 1879 in Gallatin County, Montana (USA)","30 August 1951 in Los Angeles, California (USA)",United States,44758,188 cm,,,,,,,
1964 Summer Olympics; 1968 Summer Olympics; 1972 Summer Olympics,Male,"Lones Wesley•Wigger, Jr.",Lones•Wigger,"25 August 1937 in Great Falls, Montana (USA)","14 December 2017 in Colorado Springs, Colorado (USA)",United States,44791,170 cm / 82 kg,"US Army, (USA)",Wiggles,,,,,
1992 Summer Olympics; 1996 Summer Olympics,Male,Kendall Duane•Cross,Kendall•Cross,"24 February 1968 in Hardin, Montana (USA)",,United States,60604,170 cm / 57 kg,"Sunkist Kids Wrestling Club, Scottsdale (USA)",,,,,,
