Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1960 Summer Olympics,Male,"Robert Lewis ""Bob""•Boozer",Bob•Boozer,"26 April 1937 in Omaha, Nebraska (USA)","19 May 2012 in Omaha, Nebraska (USA)",United States,5768,203 cm / 99 kg,"Kansas State Wildcats, Manhattan (USA)",Bullet Bob,,,,,
1936 Summer Olympics,Male,Willard Theodore•Schmidt,Willard•Schmidt,"14 February 1910 in Swanton, Nebraska (USA)","13 April 1965 in Coffeyville, Kansas (USA)",United States,7070,205 cm / 86 kg,"McPherson Oilers, McPherson, Kansas (USA)",,,,,,
1936 Summer Olympics,Male,Carl•Vinciquerra,Carl•Vinciquerra,"19 October 1914 in Omaha, Nebraska (USA)","10 November 1997 in Omaha, Nebraska (USA)",United States,8794,,"Creighton Bluejays, Omaha (USA)",,,,,,
1932 Summer Olympics,Male,Curtis Charles•Shears,Curtis•Shears,"4 July 1901 in Omaha, Nebraska (USA)","30 July 1988 in Bonita Springs, Florida (USA)",United States,23794,,"NYAC, New York (USA)",,,,,,
1924 Summer Olympics,Male,Aage Emil•Brix,Aage•Brix,"9 December 1894 in Lexington, Nebraska (USA)","16 March 1963 in Los Angeles, California (USA)",United States,27704,,"LAAC, Los Angeles (USA)",,,,,,
1984 Summer Olympics,Male,"James ""Jim""•Hartung",Jim•Hartung,"7 June 1960 in Omaha, Nebraska (USA)",,United States,31335,165 cm / 64 kg,"Nebraska Cornhuskers, Lincoln (USA)",,,,,,
1948 Summer Olympics,Male,"Hale•Baugh, Jr.",Hale•Baugh,"10 September 1924 in Omaha, Nebraska (USA)","16 November 2011 in Cocoa, Florida (USA)",United States,35140,,"US Army, (USA)",,,,,,
1984 Summer Olympics,Female,Lisa Diane•Rohde,Lisa•Rohde,"12 August 1955 in Wakefield, Nebraska (USA)",,United States,40503,175 cm / 67 kg,"Long Beach Rowing Association, Long Beach (USA)",,,,,,
1964 Summer Olympics; 1968 Summer Olympics,Male,Gary Lee•Anderson,Gary•Anderson,"8 October 1939 in Holdrege, Nebraska (USA)",,United States,44600,183 cm / 77 kg,"US Army, (USA)",,,,,,
1992 Summer Olympics; 1996 Summer Olympics; 2004 Summer Olympics; 2008 Summer Olympics,Male,Bret E.•Erickson,Bret•Erickson,"26 September 1960 in Blair, Nebraska (USA)",,United States,44653,188 cm / 95 kg,"US Army Marksmanship Unit, Fort Benning, Georgia (USA)",,,,,,
1924 Summer Olympics,Male,Frank Henry•Hughes,Frank•Hughes,"14 January 1881 in Neligh, Nebraska (USA)","28 June 1942 in Rochester, Minnesota (USA)",United States,44690,178 cm,Lincoln Park Gun Club,,,,,,
1964 Summer Olympics; 1968 Summer Olympics,Male,"Jerome Herbert ""Jerry""•Anderson",Jerry•Anderson,"23 February 1932 in Hastings, Nebraska (USA)","19 February 2009 in Hollywood, Florida (USA)",Puerto Rico,49881,169 cm / 70 kg,,,,,,,
1976 Summer Olympics,Male,"Michael Lee ""Mike""•Bruner",Mike•Bruner,"23 July 1956 in Omaha, Nebraska (USA)",,United States,51279,179 cm / 73 kg,DeAnza Swim Club,,,,,,
1924 Summer Olympics,Male,"Benjamin Leonard ""Ben""•Thrash",Ben•Thrash,"7 May 1897 in Curtis, Nebraska (USA)","26 February 1966 in Long Beach, California (USA)",United States,51592,175 cm,"Olympic Club, San Francisco (USA)",,,,,,
1984 Summer Olympics,Female,Julie Jo•Vollertsen (-Melli),Julie•Vollertsen,"18 March 1959 in Syracuse, Nebraska (USA)",,United States,53269,184 cm / 73 kg,,,,,,,
1948 Summer Olympics,Male,"Lemoine Spencer ""Lee""•Case",Lee•Case,"8 August 1917 in Curtis, Nebraska (USA)","31 December 1984 in Rancho Mirage, California (USA)",United States,54905,,"LAAC, Los Angeles (USA)",,,,,,
1964 Summer Olympics,Male,"Clark Gaylin ""Gary""•Cleveland",Gary•Cleveland,"18 January 1942 in Hastings, Nebraska (USA)","4 January 2004 in Robbinsdale, Minnesota (USA)",United States,56966,173 cm / 82 kg,"York Barbell Club, York (USA)",,,,,,
1996 Summer Olympics,Male,"Thomas Nelson ""Tom""•Brands, II",Tom•Brands,"9 April 1968 in Omaha, Nebraska (USA)",,United States,60583,165 cm / 62 kg,"Iowa Hawkeyes, Iowa City (USA)",,,,,,
1936 Summer Olympics,Male,"Carlton Hutton ""Carl""•Paul, Jr.",Carl•Paul,"17 August 1917 in Omaha, Nebraska (USA)","26 February 1983 in Palos Verdes, California (USA)",United States,63247,,"Newport Harbor Yacht Club, Newport Beach (USA)",,,,,,
1968 Summer Olympics,Female,Carol Jean L.•Moseke (-Frost),Carol•Moseke,"8 March 1945 in Cedar Rapids, Nebraska (USA)",,United States,77921,170 cm / 68 kg,Nebraska Track Club,,,,,,
1928 Summer Olympics,Male,George Hetzel•Baird,George•Baird,"5 March 1907 in Grand Island, Nebraska (USA)","4 September 2004 in Rhinebeck, New York (USA)",United States,78066,175 cm / 66 kg,"Iowa Hawkeyes, Iowa City (USA)",,,,,,
1948 Summer Olympics,Male,"Clement George ""Clem""•Eischen",Clem•Eischen,"24 December 1926 in Holstein, Nebraska (USA)","7 December 2020 in Gresham, Oregon (USA)",United States,78365,187 cm / 81 kg,"Washington State Cougars, Pullman (USA)",,,,,,
1976 Summer Olympics,Male,Mark Bruce•Enyeart,Mark•Enyeart,"9 October 1953 in Alliance, Nebraska (USA)",,United States,78376,183 cm / 70 kg,Utah State University,,,,,,
1936 Summer Olympics,Male,"Harrison Samuel ""Sam""•Francis",Sam•Francis,"26 October 1913 in Dunbar, Nebraska (USA)","23 April 2002 in Springfield, Missouri (USA)",United States,78414,183 cm / 94 kg,"Nebraska Cornhuskers, Lincoln (USA)",,,,,,
1924 Summer Olympics; 1928 Summer Olympics,Male,Lloyd George•Hahn,Lloyd•Hahn,"7 August 1898 in Falls City, Nebraska (USA)","January 1983 in Brighton, Colorado (USA)",United States,78495,175 cm / 70 kg,"Boston AA, Boston (USA)",,,,,,
1924 Summer Olympics,Male,"Morton Armour ""Mort""•Kaer",Mort•Kaer,"7 September 1902 in Omaha, Nebraska (USA)","11 January 1992 in Mount Shasta, California (USA)",United States,78634,180 cm / 80 kg,"USC Trojans, Los Angeles (USA)",Devil May Kaer,,,,,
1948 Summer Olympics,Male,Roland Eugene•Sink,Roland•Sink,"5 April 1926 in Columbus, Nebraska (USA)",18 May 2015,United States,79046,170 cm / 64 kg,"USC Trojans, Los Angeles (USA)",,,,,,
2000 Summer Olympics,Female,"Teri Sue•Tunks (Steer-, -Cantwell)",Teri•Tunks,"3 October 1975 in Crete, Nebraska (USA)",,United States,89165,180 cm / 86 kg,"Nike, Beaverton (USA)",,,,,,
2000 Summer Olympics; 2004 Summer Olympics,Male,Jordan•Malloch,Jordan•Malloch,"2 September 1978 in Columbus, Nebraska (USA)",,United States,90278,182 cm / 88 kg,,,,,,,
