Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1948 Summer Olympics,Male,Raúl•García-Ordóñez,Raúl•García-Ordóñez,"15 September 1924 in Littleton, New Hampshire (USA)","3 May 2013 in Miami, Florida (USA)",Cuba,6155,188 cm,,,,,,,
1972 Summer Olympics,Male,Eric Mayfield•Evans,Eric•Evans,"27 February 1950 in Exeter, New Hampshire (USA)",,United States,11077,178 cm / 73 kg,Ledyard Canoe Club,"The Hammer, The Mean One",,,,,
1988 Summer Olympics; 1992 Summer Olympics,Female,"Sarah M. ""Sally""•Zack (-Endestad)",Sally•Zack,"1 August 1962 in North Conway, New Hampshire (USA)",,United States,13275,160 cm / 50 kg,,,,,,,
1988 Summer Olympics,Female,"Alexandra Marie ""Sandy""•Vander-Heyden (-Bridgeman)",Sandy•Vander-Heyden,"26 December 1964 in Nashua, New Hampshire (USA)",,United States,20374,172 cm / 64 kg,,Sandy,,Sandra Vander-Heyden,,,
1936 Summer Olympics,Male,Andrew W.•Gajda (-Guyda),Andrew•Gajda,"26 February 1907 in Manchester, New Hampshire (USA)","4 June 1956 in Waltham, Massachusetts (USA)",United States,27745,,Boston Soccer Football Club,Poly,,,,,
1992 Summer Olympics,Female,"Christina ""Tina""•Brown",Tina•Brown,"5 January 1968 in Peterborough, New Hampshire (USA)",,United States,40441,183 cm / 77 kg,,,,,,,
1956 Summer Olympics,Male,Edward Anthony•Masterson,Edward•Masterson,"26 October 1937 in Laconia, New Hampshire (USA)",,United States,40774,170 cm / 52 kg,"West Side Rowing Club, Buffalo (USA)",,,,,,
1928 Summer Olympics; 1932 Summer Olympics,Male,Austin Rhone•Clapp,Austin•Clapp,"8 November 1910 in Farmington, New Hampshire (USA)","22 December 1971 in Woodside, California (USA)",United States,51293,,"Los Angeles Allied Athletic Club, Los Angeles (USA)",,,,,,
1948 Summer Olympics,Male,"Joseph Precott ""Joe""•Pitman",Joe•Pitman,"21 August 1924 in Laconia, New Hampshire (USA)",1 June 2018,United States,57013,67 kg,"York Barbell Club, York (USA)",,,,,,
1924 Summer Olympics,Male,Roger Lee•Flanders,Roger•Flanders,"3 February 1901 in Lancaster, New Hampshire (USA)","8 July 1965 in Oklahoma City, Oklahoma (USA)",United States,60630,,,Professor,,,,,
1976 Summer Olympics,Female,"Cynthia Shepherd ""Cyndy""•Poor (-Jensen)",Cyndy•Poor,"18 May 1953 in Hanover, New Hampshire (USA)",,United States,77939,162 cm / 52 kg,San Jose Cindergals,,,,,,
1928 Summer Olympics; 1932 Summer Olympics,Male,Frank Norris•Conner,Frank•Conner,"6 October 1908 in Exeter, New Hampshire (USA)","22 June 1944 in San Joaquin, California (USA)",United States,78258,180 cm / 91 kg,"NYAC, New York (USA)",,,,,,
2000 Summer Olympics,Male,Conor Patrick•Casey,Conor•Casey,"25 July 1981 in Dover, New Hampshire (USA)",,United States,91201,185 cm / 77 kg,"Portland Pilots, Portland (USA)",,,,,,
2000 Summer Olympics; 2004 Summer Olympics,Male,"Wolfgang ""Wolf""•Moser",Wolf•Moser,"3 December 1974 in Laconia, New Hampshire (USA)",,United States,92726,198 cm / 97 kg,Princeton Training Centre,,,,,,
2000 Summer Olympics,Female,"Barbara Jane ""B. J.""•Bedford (-Miller)",B. J.•Bedford,"9 November 1972 in Hanover, New Hampshire (USA)",,United States,93869,172 cm / 61 kg,"Texas Longhorns, Austin (USA)",,,,,,
2004 Summer Olympics,Female,Laura•Gerraughty (-Ekstrand),Laura•Gerraughty,"29 July 1983 in Nashua, New Hampshire (USA)",,United States,103851,175 cm / 90 kg,"North Carolina Tar Heels, Chapel Hill (USA)",,,,,,
2004 Summer Olympics,Female,Danika•Holbrook-Harris,Danika•Holbrook-Harris,"15 September 1972 in Durham, New Hampshire (USA)",,United States,104230,172 cm / 68 kg,Princeton Training Centre,,,,,,
2004 Summer Olympics,Male,J. Sloan•DuRoss,Sloan•DuRoss,"23 October 1976 in Hanover, New Hampshire (USA)",,United States,104439,198 cm / 97 kg,"Poocock Rowing Centre, Seattle",,,,,,
2004 Summer Olympics,Male,Brett•Heyl,Brett•Heyl,"29 October 1981 in Hanover, New Hampshire (USA)",,United States,105125,177 cm / 70 kg,Adventure Quest,,,,,,
2004 Summer Olympics,Male,"William Jedediah ""Jed""•Dupree",Jed•Dupree,"7 October 1979 in Hanover, New Hampshire (USA)",,United States,106040,177 cm / 79 kg,"Fencers Club, New York (USA)",,,,,,
2008 Summer Olympics,Male,"Charles Desmond ""Charlie""•Davies",Charlie•Davies,"25 June 1986 in Manchester, New Hampshire (USA)",,United States,113681,178 cm / 77 kg,"Hammarby IF, Södermalm, Stockholm (SWE)",,,,,,
2008 Summer Olympics,Male,Eli•Bremer,Eli•Bremer,"31 May 1978 in Hancock, New Hampshire (USA)",,United States,116450,183 cm / 76 kg,"US Air Force, (USA)",,,,,,
2008 Summer Olympics,Female,Joanne•Dow,Joanne•Dow,"19 March 1964 in Manchester, New Hampshire (USA)",,United States,116972,173 cm / 58 kg,"adidas, Herzogenaurach (GER)",,,,,,
2012 Summer Olympics; 2016 Summer Olympics,Female,Sarah Brooke•Groff-True,Sarah•Groff-True,"27 November 1981 in Hanover, New Hampshire (USA)",,United States,126531,173 cm / 63 kg,,,,,,,
2016 Summer Olympics; 2020 Summer Olympics; 2024 Summer Olympics,Female,Jessica•Parratto,Jessica•Parratto,"26 June 1994 in Dover, New Hampshire (USA)",,United States,132074,157 cm / 51 kg,"TriSynerG Diving Academy [Bloomington, IN, USA]",,,,,,
2016 Summer Olympics; 2020 Summer Olympics,Female,Katelin•Snyder-Guregian,Katelin•Snyder-Guregian,"16 August 1987 in Nashua, New Hampshire (USA)",,United States,132137,163 cm / 50 kg,,,,,,,
2016 Summer Olympics,Female,Tessa•Gobbo,Tessa•Gobbo,"8 December 1990 in Keene, New Hampshire (USA)",,United States,132141,185 cm / 82 kg,,,,,,,
2016 Summer Olympics,Male,"Alexander ""Alex""•Karwoski",Alex•Karwoski,"16 September 1990 in Nashua, New Hampshire (USA)",,United States,136326,193 cm / 91 kg,US Rowing Training Center - Princeton [United States of America],,,,,,
2024 Summer Olympics,Male,Christopher•Carlson,Christopher•Carlson,"14 March 1997 in Bedford, New Hampshire (USA)",,United States,153868,,University of Washington,,,,,,
