Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1996 Summer Olympics; 2000 Summer Olympics,Female,Michele Mary•Smith,Michele•Smith,"21 June 1967 in Plainfield, New Jersey (USA)",,United States,1434,177 cm / 70 kg,Redding Rebels,,,,,,
1992 Summer Olympics; 2000 Summer Olympics,Male,Michael Te-Pei•Chang,Michael•Chang,"22 February 1972 in Hoboken, New Jersey (USA)",,United States,2749,175 cm / 72 kg,,,,,,,
1992 Summer Olympics,Male,Jeffrey Bryan•Hammonds,Jeffrey•Hammonds,"3 March 1971 in Plainfield, New Jersey (USA)",,United States,3231,183 cm / 84 kg,"Stanford Cardinal, Stanford (USA)",,,,,,
1992 Summer Olympics,Male,"Ronald Thomas ""Ron""•Villone, Jr.","Ron•Villone, Jr.","16 January 1970 in Englewood, New Jersey (USA)",,United States,3253,190 cm / 104 kg,"UMass Minutemen, Amherst (USA)",,,,,,
1984 Summer Olympics; 1988 Summer Olympics,Female,Anne Theresa•Donovan,Anne•Donovan,"1 November 1961 in Ridgewood, New Jersey (USA)",13 June 2018,United States,5216,203 cm / 62 kg,"?, Shizuoka (JPN)",,,,,,
1976 Summer Olympics,Female,Juliene•Simpson (Brazinski-),Juliene•Simpson,"20 January 1953 in Elizabeth, New Jersey (USA)",,United States,5478,170 cm / 80 kg,"John F. Kennedy College, Wahoo, Nebraska (USA)",,,,,,
1992 Summer Olympics,Male,Leroy Jay•Loggins,Leroy•Loggins,"20 December 1957 in New Brunswick, New Jersey (USA)",,Australia,6531,195 cm / 80 kg,"West Adelaide/Fairmont State University, USA",,,,,,
1996 Summer Olympics,Male,Shaquille Rashuan•O'Neal,Shaquille•O'Neal,"6 March 1972 in Newark, New Jersey (USA)",,United States,6755,216 cm / 137 kg,"Orlando Magic, Orlando (USA)","Shaq, The Big Aristotle, Hobo Master, The Diesel, Shaq Fu, The Big Daddy, The Big Agave, The Big Cactus, The Big Shaqtus, The Big Galactus, Wilt Chamberneezy, The Big Baryshnikov, The Real Deal, The Big Shamrock, The Big Leprechaun, Shaqovic",,,,,
1996 Summer Olympics,Male,Terrance Davan•Cauthen,Terrance•Cauthen,"14 May 1976 in Trenton, New Jersey (USA)",,United States,8640,175 cm / 60 kg,Joe Frazier's Gym,Heat,,,,,
1968 Summer Olympics,Male,"Samuel ""Sammy""•Goss",Sammy•Goss,"28 January 1947 in Trenton, New Jersey (USA)",,United States,8678,162 cm / 54 kg,,,,,,,
1972 Summer Olympics,Male,"Reginald Dennis ""Reggie""•Jones (-Amid Muhammad-)",Reggie•Jones,"23 February 1951 in Newark, New Jersey (USA)",,United States,8703,174 cm / 71 kg,"US Marine Corps, (USA)",,,,,,
1924 Summer Olympics,Male,Joseph Ashur•Lazarus,Joseph•Lazarus,"18 December 1903 in Bayonne, New Jersey (USA)","21 June 1943 in Manhattan, New York, New York (USA)",United States,8716,168 cm,"Cornell Big Red, Ithaca (USA)",,,,,,
1928 Summer Olympics,Male,"Leonard ""Leon""•Lucas",Leon•Lucas,"4 September 1901 in Camden, New Jersey (USA)","19 May 1971 in Philadelphia, Pennsylvania (USA)",United States,8721,,"Neighborhood Athletic Club, Camden",,,,,,
1960 Summer Olympics,Male,"Percy Joseph•Price, Jr.","Percy•Price, Jr.","19 May 1936 in Salem, New Jersey (USA)","12 January 1989 in Jacksonville, North Carolina (USA)",United States,8748,191 cm / 95 kg,"US Marine Corps, (USA)",,,,,,
1956 Summer Olympics; 1960 Summer Olympics,Male,"Russell Charles ""Chick""•Dermond",Chick•Dermond,"31 December 1936 in Fairlawn, New Jersey (USA)","9 May 2015 in Johnson City, New York (USA)",United States,11072,180 cm / 73 kg,"Yonkers PRC, Glenwood, New York (USA)",,,,,,
1936 Summer Olympics,Male,John J.•Lysak,John•Lysak,"16 August 1914 in Bound Brook, New Jersey (USA)","8 January 2020 in Fremont, California (USA)",United States,11121,,"Yonkers PRC, Glenwood, New York (USA)",,,,,,
1948 Summer Olympics,Male,"Stephen John ""Steve""•Lysak",Steve•Lysak,"7 August 1912 in Newark, New Jersey (USA)","30 July 2002 in Yonkers, New York (USA)",United States,11122,,"Yonkers PRC, Glenwood, New York (USA)",,,,,,
1960 Summer Olympics; 1964 Summer Olympics; 1968 Summer Olympics; 1972 Summer Olympics; 1976 Summer Olympics,Male,"Francis Davis ""Frank""•Chapot",Frank•Chapot,"24 February 1932 in Camden, New Jersey (USA)","20 June 2016 in Bound Brook, New Jersey (USA)",United States,11746,178 cm / 70 kg,"US Air Force, (USA)",,,,,,
1976 Summer Olympics,Male,David Lofgren•Boll,David•Boll,"5 May 1953 in Hackensack, New Jersey (USA)",13 August 2017,United States,13654,175 cm / 67 kg,Century Road Club,,,,,,
1932 Summer Olympics,Male,Frank E.•Connell,Frank•Connell,"19 October 1909 in Hoboken, New Jersey (USA)","25 July 2002 in Columbia, South Carolina (USA)",United States,13981,,,,,,,,
1924 Summer Olympics,Male,"William S.•Fenn, Jr.",William•Fenn,"14 September 1904 in Newark, New Jersey (USA)","22 December 1980 in Lavallette, New Jersey (USA)",United States,14307,175 cm,"Bay View Wheelmen, Newark (USA)",,,,,,
1964 Summer Olympics,Male,Alan•Grieco,Alan•Grieco,"7 May 1946 in Lyndhurst, New Jersey (USA)",,United States,14565,180 cm / 75 kg,Century Road Club,,,,,,
