Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1996 Summer Olympics,Male,Braden LaVern•Looper,Braden•Looper,"28 October 1974 in Weatherford, Oklahoma (USA)",,United States,3242,195 cm / 100 kg,"Wichita State Shockers, Wichita (USA)",,,,,,
1936 Summer Olympics,Male,"John Haskell ""Tex""•Gibbons",Tex•Gibbons,"7 October 1907 in Elk City, Oklahoma (USA)","30 May 1984 in La Habra, California (USA)",United States,6178,185 cm / 79 kg,"McPherson Oilers, McPherson, Kansas (USA)",,,,,,
1952 Summer Olympics,Male,Victor Wayne•Glasgow,Wayne•Glasgow,"17 January 1926 in Dacome, Oklahoma (USA)","31 December 2000 in Bartlesville, Oklahoma (USA)",United States,6184,190 cm / 86 kg,"Phillips 66ers, Bartlesville (USA)",,,,,,
1952 Summer Olympics,Male,"Charles Monroe ""Charlie""•Hoag",Charlie•Hoag,"19 July 1931 in Tulsa, Oklahoma (USA)","8 March 2012 in Kansas City, Missouri (USA)",United States,6287,188 cm / 84 kg,"Kansas Jayhawks, Lawrence (USA)",,,,,,
1960 Summer Olympics,Male,"Lester Everett ""Les""•Lane",Les•Lane,"6 March 1932 in Purcell, Oklahoma (USA)","5 September 1973 in Norman, Oklahoma (USA)",Mexico United States,6484,177 cm / 77 kg,"Phillips 66ers, Bartlesville (USA)",,,,United States,,
1948 Summer Olympics,Male,Jesse Banard•Renick,Jesse•Renick,"29 September 1917 in Hickory, Oklahoma (USA)","25 November 1999 in Ada, Oklahoma (USA)",United States,6941,188 cm / 84 kg,"Phillips 66ers, Bartlesville (USA)",Cab,,,,,
1964 Summer Olympics,Male,"Tolman ""Toby""•Gibson, Jr.",Toby•Gibson,"17 April 1942 in Idabel, Oklahoma (USA)","24 March 1993 in Oakland, California (USA)",United States,8675,180 cm / 71 kg,Eastern Washington State College,,,,,,
1952 Summer Olympics,Male,"Ellsworth ""Spider""•Webb",Spider•Webb,"20 November 1931 in Tulsa, Oklahoma (USA)","23 November 2017 in Tulsa, Oklahoma (USA)",United States,8798,,,,,,,,
1964 Summer Olympics; 1968 Summer Olympics; 1972 Summer Olympics,Female,Marcia Ingram•Jones Smoke,Marcia•Jones Smoke,"18 July 1941 in Oklahoma City, Oklahoma (USA)",,United States,11041,169 cm / 61 kg,Niles Kayak Club,,,,,,
1968 Summer Olympics,Female,Sperry Joanna Jones•Rademaker,Sperry•Rademaker,"4 October 1939 in Oklahoma City, Oklahoma (USA)",31 January 2005,United States,11049,170 cm / 54 kg,Orlando Kayak Club,,,,,,
1992 Summer Olympics,Male,"Joseph Max ""Joe-Max""•Moore",Joe-Max•Moore,"23 February 1971 in Tulsa, Oklahoma (USA)",,United States,27793,172 cm / 66 kg,"UCLA Bruins, Los Angeles (USA)",,,,,,
1988 Summer Olympics,Female,Kelly•Garrison-Steves (-Funderburk),Kelly•Garrison-Steves,"5 July 1967 in Altus, Oklahoma (USA)",,United States,29244,155 cm / 48 kg,"Oklahoma Sooners, Norman (USA)",,,,,,
1964 Summer Olympics,Female,"Janice Lee ""Janie""•Speaks (-Arnold, -Hunter)",Janie•Speaks,"8 June 1948 in Oklahoma City, Oklahoma (USA)",,United States,29288,160 cm / 52 kg,Baton Rouge Gym Club,,,,,,
1988 Summer Olympics; 1992 Summer Olympics; 1996 Summer Olympics,Female,Kim Dorota•Clarke,Kim•Clarke,"31 January 1965 in Tulsa, Oklahoma (USA)",,United States,32925,180 cm / 70 kg,,,,,,,
