Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1996 Summer Olympics,Male,"Matthew Hawks ""Matt""•LeCroy",Matt•LeCroy,"13 December 1975 in Anderson, South Carolina (USA)",,United States,3240,185 cm / 102 kg,"Clemson Tigers, Clemson (USA)",,,,,,
1988 Summer Olympics,Male,"William Lloyd ""Willie""•Anderson, Jr.",Willie•Anderson,"8 January 1967 in Greenville, South Carolina (USA)",,United States,5618,200 cm / 86 kg,"Georgia Bulldogs, Athens (USA)",Chill,,,,,
1972 Summer Olympics,Male,"Thomas Edward ""Tom""•Henderson",Tom•Henderson,"26 January 1952 in Newberry, South Carolina (USA)",,United States,6272,188 cm / 86 kg,San Jacinto Junior College,,,,,,
1984 Summer Olympics,Male,"Osie Leon•Wood, III",Leon•Wood,"25 March 1962 in Columbia, South Carolina (USA)",,United States,7369,190 cm / 86 kg,"Cal State Fullerton Titans, Fullerton (USA)",,,,,,
1964 Summer Olympics,Male,"Joseph ""Joe""•Frazier",Joe•Frazier,"12 January 1944 in Beaufort, South Carolina (USA)","7 November 2011 in Philadelphia, Pennsylvania (USA)",United States,8671,183 cm / 89 kg,,"Smokin' Joe, Billie Boy",,,,,
1992 Summer Olympics,Female,Maylon Turner•Hanold,Maylon•Hanold,"13 September 1963 in Charleston, South Carolina (USA)",,United States,11035,167 cm / 62 kg,,,,,,,
1924 Summer Olympics,Male,Vernon Lareau•Padgett,Vernon•Padgett,"26 January 1894 in Walterboro, South Carolina (USA)","21 April 1964 in Walterboro, South Carolina (USA)",United States,12532,,"US Army, (USA)",,,,,,
1924 Summer Olympics,Male,"Thomas ""Tommy""•Hitchcock, Jr.",Tommy•Hitchcock,"11 February 1900 in Aiken, South Carolina (USA)","19 April 1944 in Salisbury, England (GBR)",United States,18231,178 cm,,,,,,,
1988 Summer Olympics,Male,Kevin James•Davis,Kevin•Davis,"29 July 1966 in Charleston, South Carolina (USA)",,United States,31307,170 cm / 63 kg,"Nebraska Cornhuskers, Lincoln (USA)",,,,,,
1984 Summer Olympics; 1988 Summer Olympics,Male,"Joseph Dean ""Joe""•McVein",Joe•McVein,"7 December 1956 in Sumter, South Carolina (USA)",,United States,33000,188 cm / 79 kg,,,,,,,
1928 Summer Olympics,Male,Aubrey Strode•Newman,Aubrey•Newman,"30 January 1903 in Clemson, South Carolina (USA)","19 January 1994 in Sarasota, Florida (USA)",United States,35163,,"US Army, (USA)",Red,,,,,
1984 Summer Olympics,Male,Alan Michael•Forney,Alan•Forney,"28 June 1960 in Beaufort, South Carolina (USA)",,United States,40657,193 cm / 86 kg,,,,,,,
1992 Summer Olympics; 1996 Summer Olympics; 2004 Summer Olympics; 2008 Summer Olympics,Female,"Elizabeth A. ""Libby""•Callahan",Libby•Callahan,"25 February 1952 in Columbia, South Carolina (USA)",,United States,44572,157 cm / 64 kg,"US Army, (USA)",,,,,,
1924 Summer Olympics,Male,Henry Marvin•Bailey,Henry•Bailey,"24 April 1893 in Walterboro, South Carolina (USA)","1 November 1972 in Walterboro, South Carolina (USA)",United States,44608,170 cm,"US Marine Corps, (USA)",,,,,,
