Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1992 Summer Olympics,Male,"Chadwick Michael ""Chad""•McConnell",Chad•McConnell,"13 October 1970 in Sioux Falls, South Dakota (USA)",,United States,3244,185 cm / 82 kg,"Creighton Bluejays, Omaha (USA)",,,,,,
1924 Summer Olympics,Male,John Thomas•O'Neil,John•O'Neil,"4 October 1898 in Faulkton, South Dakota (USA)","25 March 1950 in Los Angeles, California (USA)",United States,18250,177 cm / 80 kg,"Santa Clara Broncos, Santa Clara (USA)",,,,,,
1932 Summer Olympics; 1936 Summer Olympics,Male,"Laurence A. ""Larry""•Knapp",Larry•Knapp,"30 May 1905 in Garden City, South Dakota (USA)","8 November 1976 in Washington, District of Columbia (USA)",United States,20407,,Westchester Field Hockey Club,,,,,,
1996 Summer Olympics,Male,"Orlando E. ""Orly""•Fuentes",Orly•Fuentes,"19 November 1974 in Ellsworth Air Force Base, South Dakota (USA)",,United States,33749,65 kg,"Olympic Training Center, Colorado Springs",,,,,,
1976 Summer Olympics,Male,Darrell Lynn•Vreugdenhil,Darrell•Vreugdenhil,"23 April 1949 in Mitchell, South Dakota (USA)",,United States,40918,191 cm / 91 kg,"Vesper Boat Club, Philadelphia (USA)",,,,,,
1992 Summer Olympics,Female,"Christine M. ""Crissy""•Ahmann-Leighton (-Perham)",Crissy•Ahmann-Leighton,"20 May 1970 in Yankton, South Dakota (USA)",,United States,50949,172 cm / 52 kg,,,,,,,
1932 Summer Olympics; 1936 Summer Olympics,Male,Charles Harold•McCallister,Harold•McCallister,"14 October 1903 in Madison, South Dakota (USA)","22 October 1997 in San Marino, California (USA)",United States,54948,,"LAAC, Los Angeles (USA)",Dutch,,,,,
1988 Summer Olympics; 1992 Summer Olympics,Male,Dennis Marwin•Koslowski,Dennis•Koslowski,"16 August 1959 in Watertown, South Dakota (USA)",,United States,60680,183 cm / 100 kg,,,,,,,
1988 Summer Olympics,Male,Duane Edward•Koslowski,Duane•Koslowski,"16 August 1959 in Watertown, South Dakota (USA)",,United States,60681,180 cm / 130 kg,,,,,,,
1984 Summer Olympics,Male,"Randall Scott ""Randy""•Lewis",Randy•Lewis,"7 June 1959 in Milbank, South Dakota (USA)",,United States,60692,173 cm / 64 kg,"Hawkeye Wrestling Club, Tulare (USA)",,,,,,
1988 Summer Olympics,Male,"James Edwin ""Jim""•Scherr",Jim•Scherr,"27 July 1961 in Eureka, South Dakota (USA)",,United States,60755,183 cm / 95 kg,,,,,,,
1988 Summer Olympics,Male,"William Harold ""Bill""•Scherr",Bill•Scherr,"27 July 1961 in Eureka, South Dakota (USA)",,United States,60756,183 cm / 100 kg,,,,,,,
1932 Summer Olympics,Male,"James Aloysius Bernard ""Jim""•Bausch",Jim•Bausch,"28 March 1906 in Marion Junction, South Dakota (USA)","9 July 1974 in Hot Springs, Arkansas (USA)",United States,78089,188 cm / 95 kg,"KCAC, Kansas City (USA)",,,,,,
1924 Summer Olympics,Male,Samuel Glenn•Hartranft,Glenn•Hartranft,"3 December 1901 in Aberdeen, South Dakota (USA)","12 August 1970 in San Diego, California (USA)",United States,78524,190 cm / 115 kg,"Stanford Cardinal, Stanford (USA)",Tiny,,,,,
1964 Summer Olympics,Male,"William Mervin ""Billy""•Mills",Billy•Mills,"30 June 1938 in Pine Ridge, South Dakota (USA)",,United States,78795,180 cm / 68 kg,"US Marine Corps, (USA)",,,Tamakoce Te’Hila,,,
1948 Summer Olympics,Male,Wilbur Marvin•Thompson,Wilbur•Thompson,"6 April 1921 in Frankfort, South Dakota (USA)","25 December 2013 in Long Beach, California (USA)",United States,79124,183 cm / 89 kg,"LAAC, Los Angeles (USA)",Moose,,,,,
2000 Summer Olympics,Male,Ryan Benjamin•Bolton,Ryan•Bolton,"26 March 1973 in Rapid City, South Dakota (USA)",,United States,94332,180 cm / 75 kg,,,,,,,
2000 Summer Olympics,Male,Lincoln Paul•McIlravy,Lincoln•McIlravy,"17 July 1974 in Rapid City, South Dakota (USA)",,United States,95178,172 cm / 69 kg,"Gateway Wrestling Club, Coralville",,,,,,
2008 Summer Olympics,Male,Brian•Beaman,Brian•Beaman,"16 May 1984 in Mobridge, South Dakota (USA)",,United States,111752,178 cm / 86 kg,,,,,,,
2008 Summer Olympics; 2012 Summer Olympics,Female,"Rebecca Lynn ""Becky""•Hammon",Becky•Hammon,"11 March 1977 in Rapid City, South Dakota (USA)",,Russian Federation,111856,168 cm / 62 kg,"San Antonio Silver Stars, San Antonio (USA)","Beckaboo, Boo-Boo, Bubba, Big Shot Becky",,"Ребекка Линн ""Бекки"" Хэммон",,,
2008 Summer Olympics; 2012 Summer Olympics,Male,Brad•Walker,Brad•Walker,"21 June 1981 in Aberdeen, South Dakota (USA)",,United States,115366,188 cm / 86 kg,"Nike, Beaverton (USA)",,,,,,
2020 Summer Olympics,Female,"Alison Marie ""Ali""•Weisz",Ali•Weisz,"22 May 1995 in Rapid City, South Dakota (USA)",,United States,147237,163 cm / 64 kg,,,,,,,
2024 Summer Olympics,Female,Taryn•Kloth (-Brasher),Taryn•Kloth,"10 April 1997 in Sioux Falls, South Dakota (USA)",,United States,155373,,Louisiana State University,,,,,,
