Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1996 Summer Olympics,Male,"Robert Allen ""R. A.""•Dickey",R. A.•Dickey,"29 October 1974 in Nashville, Tennessee (USA)",,United States,3223,188 cm / 94 kg,"Tennessee Volunteers, Knoxville (USA)",,,,,,
1996 Summer Olympics,Female,Jennifer Lynn•Azzi,Jennifer•Azzi,"31 August 1968 in Oak Ridge, Tennessee (USA)",,United States,5129,172 cm / 64 kg,"Stanford Cardinal, Stanford (USA)",,,,,,
1976 Summer Olympics,Female,"Patricia Sue ""Pat""•Head (-Summitt)",Pat•Head,"14 June 1952 in Clarksville, Tennessee (USA)","28 June 2016 in Knoxville, Tennessee (USA)",United States,5267,178 cm / 70 kg,"UT Martin Skyhawks, Martin, Tennessee (USA)",Bone,,Trish Head,,,
1996 Summer Olympics; 2000 Summer Olympics,Female,Nikki Kesangane•McCray (-Penson),Nikki•McCray,"17 December 1971 in Collierville, Tennessee (USA)",7 July 2023,United States,5365,181 cm / 72 kg,"Washington Mystics, Washington (USA)",,,,,,
1988 Summer Olympics; 1992 Summer Olympics,Male,Raymond Dewayne•Gause Santiago,Raymond•Gause,"2 April 1961 in Memphis, Tennessee (USA)",,Puerto Rico,6161,196 cm / 88 kg,"Vaqueros de Bayamón, Bayamón (PUR)",,,,,,
1996 Summer Olympics,Male,"Anfernee Deon ""Penny""•Hardaway",Penny•Hardaway,"18 July 1972 in Memphis, Tennessee (USA)",,United States,6252,200 cm / 91 kg,"Orlando Magic, Orlando (USA)",,,,,,
1960 Summer Olympics,Male,Oscar Palmer•Robertson,Oscar•Robertson,"24 November 1938 in Charlotte, Tennessee (USA)",,United States,6970,196 cm / 90 kg,"Cincinnati Bearcats, Cincinnati (USA)",Big O,,,,,
1984 Summer Olympics,Female,Melanie Ainsworth•Smith (-Taylor),Melanie•Smith,"23 September 1949 in Memphis, Tennessee (USA)",,United States,11460,170 cm / 57 kg,,,,,,,
1996 Summer Olympics; 2008 Summer Olympics,Male,"Malcolm ""Mac""•Cone",Mac•Cone,"23 August 1952 in Memphis, Tennessee (USA)",,Canada,11771,188 cm / 82 kg,Southern Ways Stable,,,,,,
1948 Summer Olympics,Male,Andrew Allison “Hank”•Frierson,Hank•Frierson,"23 June 1902 in Knoxville, Tennessee (USA)","24 September 1982 in El Paso, Texas (USA)",United States,11988,,"US Army, (USA)",,,,,,
1996 Summer Olympics; 2000 Summer Olympics; 2004 Summer Olympics,Female,"Cynthia Marie ""Cindy""•Parlow (-Cone)",Cindy•Parlow,"8 May 1978 in Memphis, Tennessee (USA)",,United States,27683,177 cm / 66 kg,Atlanta Beat,,,,,,
