Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1988 Summer Olympics; 1992 Summer Olympics; 2000 Summer Olympics,Female,"Denise•Parker (Knudson-, -Smith)",Denise•Parker,"12 December 1973 in Salt Lake City, Utah (USA)",,United States,2214,165 cm / 59 kg,,,,,,,
1984 Summer Olympics; 1988 Summer Olympics,Male,Karl•Tilleman,Karl•Tilleman,"1 November 1960 in Ogden, Utah (USA)",,Canada,7219,188 cm / 83 kg,"Calgary 88's, Calgary (CAN)",,,,,,
1948 Summer Olympics,Male,Elbert Jay•Lambert,Jay•Lambert,"21 November 1925 in Helper, Utah (USA)","6 February 2012 in Salt Lake City, Utah (USA)",United States,8712,183 cm / 84 kg,"West Jordan Boxing Club, West Jordan (USA)",,,,,,
1992 Summer Olympics; 1996 Summer Olympics,Male,Adam•Clawson,Adam•Clawson,"28 December 1972 in Salt Lake City, Utah (USA)","10 July 2017 in Whittier, North Carolina (USA)",United States,11069,185 cm / 77 kg,,,,,,,
1972 Summer Olympics,Male,John Lawrence•van Dyke,John•van Dyke,"18 December 1935 in Ogden, Utah (USA)","28 August 2021 in Santa Fe, New Mexico (USA)",United States,11161,178 cm / 72 kg,"Potomac BC, Washington (USA)",,,,,,
1984 Summer Olympics; 1988 Summer Olympics; 1992 Summer Olympics,Female,Kristin Inga•Thompson-Benedict,Inga•Thompson-Benedict,"27 January 1964 in Salt Lake City, Utah (USA)",,United States,13243,178 cm / 61 kg,,,,,,,
1948 Summer Olympics,Male,Wendell LeRoy•Rollins,Wendell•Rollins,"17 June 1917 in Salt Lake City, Utah (USA)","8 December 1990 in Davis County, Utah (USA)",United States,16360,175 cm / 73 kg,Unione Sportiva Italiana,,,,,,
1936 Summer Olympics,Male,"Kenneth Julian ""Kenny""•Griffin",Kenny•Griffin,"27 January 1912 in Logan, Utah (USA)","26 September 2002 in Oceanside, California (USA)",United States,31327,,"LAAC, Los Angeles (USA)",Ken,,,,,
1968 Summer Olympics,Male,"Curtis Ray ""Curt""•Canning",Curt•Canning,"6 May 1946 in Provo, Utah (USA)",,United States,40574,191 cm / 89 kg,"Harvard Crimson, Cambridge (USA)",,,,,,
1960 Summer Olympics,Male,Gayle Robert•Thompson,Gayle•Thompson,"12 December 1938 in Ogden, Utah (USA)",,United States,40904,188 cm / 82 kg,"US Navy, (USA)",,,,,,
1984 Summer Olympics,Male,"Walter Ward ""Wally""•Zobell, Jr.",Wally•Zobell,"21 April 1950 in Provo, Utah (USA)",,United States,44799,173 cm / 71 kg,"US Army Reserve, (USA)",,,,,,
1928 Summer Olympics; 1932 Summer Olympics; 1936 Summer Olympics,Female,Dorothy•Poynton-Hill (-Teuber),Dorothy•Poynton-Hill,"17 July 1915 in Salt Lake City, Utah (USA)","18 May 1995 in Riverside, California (USA)",United States,51157,,"LAAC, Los Angeles (USA)",,,,,,
1968 Summer Olympics,Male,"Jackson Stewart ""Jack""•Horsley",Jack•Horsley,"25 September 1951 in Salt Lake City, Utah (USA)",,United States,51405,183 cm / 64 kg,Red Shield Triton Swim Club,,,,,,
1984 Summer Olympics; 1988 Summer Olympics,Male,George Peter•Campbell,Peter•Campbell,"21 May 1960 in Salt Lake City, Utah (USA)","11 January 2023 in Lake Arrowhead, California (USA)",United States,54901,193 cm / 89 kg,,,,,,,
1988 Summer Olympics; 1992 Summer Olympics,Male,"Jeffrey Guy ""Jeff""•Campbell",Jeff•Campbell,"2 October 1962 in Salt Lake City, Utah (USA)",,United States,54902,193 cm / 94 kg,,,,,,,
1952 Summer Olympics,Male,"James Leo ""Jim""•Norris",Jim•Norris,"7 July 1930 in Salt Lake City, Utah (USA)","3 June 2021 in Jackson, California (USA)",United States,54955,,El Segundo Swim Club,,,,,,
1992 Summer Olympics,Female,Julie Ann•Jenkins (-Donley),Julie•Jenkins,"12 August 1964 in Ogden, Utah (USA)",,United States,77877,168 cm / 57 kg,Reebok Running Club,,,,,,
1924 Summer Olympics; 1928 Summer Olympics,Male,"Lee Stratford•Barnes, Jr.",Lee•Barnes,"16 July 1906 in Salt Lake City, Utah (USA)","28 December 1970 in Oxnard, California (USA)",United States,78078,173 cm / 68 kg,"LAAC, Los Angeles (USA)",,,,,,
1968 Summer Olympics,Male,Charles Wade•Bell,Wade•Bell,"3 January 1945 in Ogden, Utah (USA)",,United States,78096,180 cm / 70 kg,"Oregon Track Club, Eugene (USA)",,,,,,
1976 Summer Olympics,Male,Richard Lloyd•George,Richard•George,"22 May 1953 in Fillmore, Utah (USA)",,United States,78447,194 cm / 91 kg,"BYU Cougars, Provo (USA)",,,,,,
1964 Summer Olympics,Male,Harold Blaine•Lindgren,Blaine•Lindgren,"26 June 1939 in Salt Lake City, Utah (USA)","5 October 2019 in Payson, Utah (USA)",United States,78704,190 cm / 92 kg,Salt Lake City Recreation Department,,,,,,
1948 Summer Olympics,Male,Clarence Franklin•Robison,Clarence•Robison,"18 June 1923 in Fillmore, Utah (USA)","25 September 2006 in Provo, Utah (USA)",United States,78962,192 cm / 77 kg,"BYU Cougars, Provo (USA)",,,,,,
1936 Summer Olympics,Male,Melboune Dale•Schofield,Dale•Schofield,"14 April 1915 in Salt Lake City, Utah (USA)","9 December 2006 in Portland, Oregon (USA)",United States,79000,183 cm / 79 kg,"BYU Cougars, Provo (USA)",,,,,,
1964 Summer Olympics; 1968 Summer Olympics; 1972 Summer Olympics; 1976 Summer Olympics,Male,L. Jay•Silvester,Jay•Silvester,"27 August 1937 in Tremonton, Utah (USA)",,United States,79041,191 cm / 114 kg,"Santa Clara Valley Youth Village, Santa Clara (USA)",,,,,,
2000 Summer Olympics,Female,Amy Marie•Palmer (Christiansen-),Amy•Palmer,"20 April 1975 in Tooele, Utah (USA)",,United States,89107,180 cm / 95 kg,"NYAC, New York (USA)",,,,,,
2000 Summer Olympics,Female,Courtney Anne•Johnson (Young-),Courtney•Johnson,"7 May 1974 in Salt Lake City, Utah (USA)",,United States,94890,162 cm / 59 kg,"California Golden Bears, Berkeley (USA)",Turbo,,,,,
2004 Summer Olympics,Female,Tiffany•Lott-Hogan,Tiffany•Lott-Hogan,"1 August 1975 in Springville, Utah (USA)",,United States,104867,172 cm / 63 kg,New Balance,,,,,,
2004 Summer Olympics,Female,Rachelle•Kunkel,Rachelle•Kunkel,"1 May 1978 in Salt Lake City, Utah (USA)",,United States,107940,162 cm / 56 kg,"Trojan Diving Team, Los Angeles",,,,,,
2004 Summer Olympics,Male,Justin•Wilcock,Justin•Wilcock,"8 June 1979 in Smithfield, Utah (USA)",,United States,107969,182 cm / 77 kg,"Woodlands Diving Team, The Woodlands (USA)",,,,,,
2004 Summer Olympics,Male,Cael Norman•Sanderson,Cael•Sanderson,"20 June 1979 in Salt Lake City, Utah (USA)",,United States,108121,182 cm / 84 kg,"Sunkist Kids Wrestling Club, Scottsdale (USA)",,,,,,
2008 Summer Olympics,Male,David•Zabriskie,David•Zabriskie,"12 January 1979 in Salt Lake City, Utah (USA)",,United States,111605,183 cm / 72 kg,Team Garmin-Chipotle H3O/Slipstream Chipotle,"The Green Hornet, DZ",,,,,
2008 Summer Olympics; 2012 Summer Olympics; 2016 Summer Olympics; 2020 Summer Olympics,Male,"Jacob Spiker ""Jake""•Gibb",Jake•Gibb,"6 February 1976 in Bountiful, Utah (USA)",,United States,112530,201 cm / 95 kg,,,,,,,
2008 Summer Olympics,Female,Lindsey•Anderson (Olson-),Lindsey•Anderson,"23 May 1985 in Payson, Utah (USA)",,United States,114434,163 cm / 52 kg,"Nike, Beaverton (USA)",,,,,,
2008 Summer Olympics,Male,Niklas Bo•Arrhenius,Niklas•Arrhenius,"10 September 1982 in Provo, Utah (USA)",,Sweden,114712,194 cm / 122 kg,"Spårvägens FK, Stockholm (SWE)",,,,,,
2012 Summer Olympics; 2016 Summer Olympics,Female,Sarah•Scherer,Sarah•Scherer,"12 February 1991 in Salt Lake City, Utah (USA)",,United States,126668,173 cm / 62 kg,"TCU Horned Frogs, Fort Worth (USA)",,,,,,
2012 Summer Olympics,Female,Shalaya•Kipp,Shalaya•Kipp,"19 August 1990 in Salt Lake City, Utah (USA)",,United States,127102,170 cm / 58 kg,"Colorado Buffaloes, Boulder (USA)",,,,,,
2016 Summer Olympics,Female,Devery•Karz,Devery•Karz,"18 February 1988 in Park City, Utah (USA)",,United States,132131,173 cm / 59 kg,"Vesper Boat Club, Philadelphia (USA)",,,,,,
2016 Summer Olympics,Male,Jared•Ward,Jared•Ward,"9 September 1988 in Layton, Utah (USA)",,United States,136248,178 cm / 66 kg,,,,,,,
