Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1972 Summer Olympics,Male,"Edwin Murry ""Ed""•Eliason",Ed•Eliason,"1 May 1938 in Port Gamble, Washington (USA)",,United States,2231,189 cm / 86 kg,,,,,,,
1992 Summer Olympics; 1996 Summer Olympics,Male,John Houston•Stockton,John•Stockton,"26 March 1962 in Spokane, Washington (USA)",,United States,7175,185 cm / 79 kg,"Utah Jazz, Salt Lake City (USA)",Stock,,,,,
1972 Summer Olympics; 1976 Summer Olympics,Male,"David Lee ""Davey""•Armstrong",Davey•Armstrong,"9 June 1955 in Tacoma, Washington (USA)",8 February 2021,United States,8609,175 cm / 57 kg,,,,,,,
1956 Summer Olympics,Male,"Thomas Peter ""Pete""•Rademacher",Pete•Rademacher,"20 November 1928 in Tieton, Washington (USA)","4 June 2020 in Sandusky, Ohio (USA)",United States,8749,186 cm / 95 kg,"US Army, (USA)",,,,,,
1976 Summer Olympics,Male,"Leonard ""Leo""•Randolph",Leo•Randolph,"27 February 1958 in Tacoma, Washington (USA)",,United States,8751,172 cm / 51 kg,Tacoma Boys' Club,,,,,,
1984 Summer Olympics,Male,Robert Edward•Shannon,Robert•Shannon,"11 November 1962 in Tacoma, Washington (USA)",,United States,8770,167 cm / 54 kg,,,,,,,
1984 Summer Olympics,Male,David•Halpern,David•Halpern,"18 August 1955 in Seattle, Washington (USA)",,United States,11088,178 cm / 79 kg,"Washington Canoe Club, Washington (USA)",,,,,,
1992 Summer Olympics; 1996 Summer Olympics; 2000 Summer Olympics,Male,Scott R.•Shipley,Scott•Shipley,"15 May 1971 in Poulsbo, Washington (USA)",,United States,11150,175 cm / 81 kg,,,,,,,
1992 Summer Olympics,Male,Todd Douglas•Trewin,Todd•Trewin,"20 April 1958 in Seattle, Washington (USA)",,United States,12870,180 cm / 75 kg,,,,,,,
1960 Summer Olympics,Male,Jack Ernest•Hartman,Jack•Hartman,"23 April 1937 in Olympia, Washington (USA)",,United States,14675,183 cm / 77 kg,San Jose Bike Club,,,,,,
1988 Summer Olympics,Male,Scott M.•McKinley,Scott•McKinley,"15 October 1968 in Seattle, Washington (USA)",,United States,15583,183 cm / 75 kg,,,,,,,
1996 Summer Olympics,Male,"Philip David ""Phil""•Sykes",Phil•Sykes,"24 July 1970 in Tacoma, Washington (USA)",,United States,20434,195 cm / 91 kg,"Fresno State Bulldogs, Fresno (USA)",,,,,,
1952 Summer Olympics; 1956 Summer Olympics; 1960 Summer Olympics; 1968 Summer Olympics,Female,Maxine Elizabeth•Mitchell,Maxine•Mitchell,"22 July 1917 in Leroy, Washington (USA)","7 November 1991 in Fontana, California (USA)",United States,21009,175 cm / 70 kg,Los Angeles Fencers Club,,,,,,
1924 Summer Olympics,Male,Philip Whalley•Allison,Philip•Allison,"21 May 1889 in Walla Walla, Washington (USA)","5 July 1982 in Salem, Oregon (USA)",United States,23648,170 cm,,,,,,,
1984 Summer Olympics,Male,"Jeffrey D. ""Jeff""•Durgan",Jeff•Durgan,"29 August 1961 in Tacoma, Washington (USA)",,United States,27735,183 cm / 89 kg,"New York Cosmos, New York (USA)",,,,,,
1996 Summer Olympics,Male,Kasey C.•Keller,Kasey•Keller,"29 November 1969 in Olympia, Washington (USA)",,United States,27770,187 cm / 86 kg,"Millwall FC, London (GBR)",,,,,,
1968 Summer Olympics,Female,Joyce Eileen•Tanac (-Schroeder),Joyce•Tanac,"27 September 1950 in Seattle, Washington (USA)",,United States,29293,156 cm / 49 kg,Seattle YMCA (Young Men's Christian Association),,,,,,
1932 Summer Olympics,Male,"William Harmon ""Bill""•Kuhlemeier",Bill•Kuhlemeier,"14 January 1908 in Seattle, Washington (USA)","8 July 2001 in Carlsbad, California (USA)",United States,31371,,Turnverein Germania,,,,,,
1984 Summer Olympics; 1988 Summer Olympics,Male,"Joseph Bradley ""Joe""•Story",Joe•Story,"3 March 1952 in Seattle, Washington (USA)",,United States,33019,170 cm / 77 kg,,,,,,,
1952 Summer Olympics,Male,Frederick Lockwood•Denman,Frederick•Denman,"23 March 1929 in Tacoma, Washington (USA)",20 April 2022,United States,35145,,"US Army, (USA)",,,,,,
