Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1984 Summer Olympics,Female,"Katrina Jane ""Trena""•King (-De Steven)",Trena•King,"17 January 1958 in Kingwood, West Virginia (USA)",,United States,2210,172 cm / 68 kg,,,,,,,
1988 Summer Olympics; 1992 Summer Olympics,Female,"Victoria Andrea ""Vicky""•Bullett",Vicky•Bullett,"4 October 1967 in Martinsburg, West Virginia (USA)",,United States,5165,190 cm / 62 kg,"Maryland Terrapins, College Park, Maryland (USA) / Basket Puglia, Bari (ITA)",,,,,,
1968 Summer Olympics,Male,"Michael Thomas ""Mike""•Barrett",Mike•Barrett,"5 September 1943 in Montgomery, West Virginia (USA)","8 August 2011 in Nashville, Tennessee (USA)",United States,5683,188 cm / 73 kg,"US Navy, (USA)",Birdman,,,,,
1960 Summer Olympics,Male,"Jerome Alan ""Jerry""•West",Jerry•West,"28 May 1938 in Cheylan, West Virginia (USA)",,United States,7351,191 cm / 81 kg,"West Virginia Mountaineers, Morgantown (USA)","Mr. Clutch, The Logo",,,,,
1924 Summer Olympics,Male,"Elery Guy ""Ed""•Greathouse",Ed•Greathouse,"26 October 1899 in Roane County, West Virginia (USA)","1956 in Detroit, Michigan (USA)",United States,8680,183 cm,Washington YMCC,,,,,,
1984 Summer Olympics,Male,James R.•Kreglo,James•Kreglo,"8 August 1956 in Huntington, West Virginia (USA)",,United States Virgin Islands,22592,178 cm / 73 kg,,CC,,,,,
1984 Summer Olympics,Female,Mary Lou•Retton (-Kelley),Mary Lou•Retton,"24 January 1968 in Fairmont, West Virginia (USA)",,United States,29277,145 cm / 42 kg,Karolyi Gym,America's Sweetheart,,,,,
1928 Summer Olympics,Male,Harold Guthrie•Newhart,Harold•Newhart,"19 July 1903 in Parkersburg, West Virginia (USA)","31 March 1977 in Oxford, Ohio (USA)",United States,31392,,"US Marine Corps, (USA)",,,,,,
1988 Summer Olympics,Female,Amy Jean•Gamble,Amy•Gamble,"17 December 1964 in Wheeling, West Virginia (USA)",,United States,32936,178 cm / 74 kg,"Arizona Wildcats, Tucson (USA)",,,,,,
1988 Summer Olympics; 1992 Summer Olympics; 1996 Summer Olympics; 2000 Summer Olympics,Male,Bruce•Meredith,Bruce•Meredith,"19 April 1937 in Wheeling, West Virginia (USA)",,United States Virgin Islands,42915,188 cm / 82 kg,St. Thomas Shooting Association,,,,,,
1996 Summer Olympics,Male,"Bradley Michael ""Brad""•Bridgewater",Brad•Bridgewater,"29 March 1973 in Charleston, West Virginia (USA)",,United States,51276,190 cm / 84 kg,"USC Trojans, Los Angeles (USA)",,,,,,
1924 Summer Olympics,Male,"Harrison Smith ""Harry""•Glancy",Harry•Glancy,"17 September 1904 in Bens Run, West Virginia (USA)","22 September 2002 in New Orleans, Louisiana (USA)",United States,51363,,"Penn AC, Philadelphia (USA)",,,,,,
1988 Summer Olympics; 1996 Summer Olympics,Male,"Eric Randolph ""Randy""•Barnes",Randy•Barnes,"16 June 1966 in Charleston, West Virginia (USA)",,United States,78076,195 cm / 132 kg,"Texas A&M Aggies, College Station (USA) / NYAC, New York (USA) / Goldwin Track Club, Boulder (USA)",,,,,,
1956 Summer Olympics; 1960 Summer Olympics,Male,Glenn Ashby•Davis,Glenn•Davis,"12 September 1934 in Wellsburg, West Virginia (USA)","28 January 2009 in Barberton, Ohio (USA)",United States,78297,183 cm / 73 kg,Ohio Track Club,Jeep,,,,,
1924 Summer Olympics,Male,Merwin B.•Graham,Merwin•Graham,"4 March 1903 in Fairview, West Virginia (USA)","24 January 1989 in San Bernardino, California (USA)",United States,78470,183 cm / 73 kg,"Kansas Jayhawks, Lawrence (USA)",,,,,,
1992 Summer Olympics,Male,James Sherman•Jett,James•Jett,"28 December 1970 in Charleston, West Virginia (USA)",,United States,78607,180 cm / 75 kg,"West Virginia Mountaineers, Morgantown (USA)",,,,,,
1968 Summer Olympics,Male,"Norman ""Norm""•Tate",Norm•Tate,"2 January 1942 in Oswald, West Virginia (USA)",,United States,79111,183 cm / 82 kg,New Jersey Astros,,,,,,
2008 Summer Olympics,Male,Jeremy Michael•Cummings,Jeremy•Cummings,"7 November 1976 in Charleston, West Virginia (USA)",,United States,113429,188 cm / 93 kg,"Durham Bulls, Durham (USA)",,,,,,
2008 Summer Olympics; 2012 Summer Olympics,Male,Deron Michael•Williams,Deron•Williams,"26 June 1984 in Parkersburg, West Virginia (USA)",,United States,113625,191 cm / 95 kg,"Utah Jazz, Salt Lake City (USA) / New Jersey Nets, Rutherford (USA)",D-Will,,,,,
