Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1976 Summer Olympics,Male,Leigh Francis•Barczewski,Leigh•Barczewski,"25 December 1955 in Milwaukee, Wisconsin (USA)",,United States,13505,186 cm / 84 kg,AMF Racing Team,The Tree,,,,,
1984 Summer Olympics,Male,Brent Robert•Emery,Brent•Emery,"15 September 1957 in Milwaukee, Wisconsin (USA)",,United States,14251,170 cm / 66 kg,Murray,,,,,,
1928 Summer Olympics,Male,"Alfred Chester•Nelsen, Sr.","Chester•Nelsen, Sr.","2 October 1902 in Waupaca, Wisconsin (USA)","4 October 1987 in Elsberry, Missouri (USA)",United States,15829,,Century Cycling Club,,,,,,
1972 Summer Olympics,Male,"James Lionel ""Jim""•Ochowicz",Jim•Ochowicz,"23 December 1951 in Milwaukee, Wisconsin (USA)",,United States,15921,175 cm / 68 kg,Wolverine Schwinn,,,,,,
1960 Summer Olympics,Male,Robert Matthew•Pfarr,Robert•Pfarr,"24 July 1920 in Kenosha, Wisconsin (USA)","15 October 2006 in Somers, Wisconsin (USA)",United States,16121,179 cm / 72 kg,Kenosha Wheelmen,,,,,,
1972 Summer Olympics,Male,Robert Roy•Schneider,Robert•Schneider,"17 January 1944 in Madison, Wisconsin (USA)",,United States,16500,183 cm / 77 kg,University of Wisconsin,,,,,,
1960 Summer Olympics,Male,"Robert Paul ""Bob""•Tetzlaff",Bob•Tetzlaff,"13 November 1935 in Milwaukee, Wisconsin (USA)","27 September 2012 in Los Gatos, California (USA)",United States,16823,178 cm / 68 kg,"North Hollywood Wheelmen, Los Angeles (USA)",Mr. T,,,,,
1932 Summer Olympics,Male,"Robert ""Bobby""•Thomas",Bobby•Thomas,"7 September 1912 in Kenosha, Wisconsin (USA)","12 November 2008 in Phoenix, Arizona (USA)",United States,16834,,,,,,,,
1992 Summer Olympics,Male,"Michael Joseph ""Mike""•Huwiler",Mike•Huwiler,"4 January 1972 in Milwaukee, Wisconsin (USA)",,United States,27756,178 cm / 75 kg,"Virginia Cavaliers, Charlottesville (USA)",Huey,,,,,
1952 Summer Olympics,Female,Ruth Catherine•Grulkowski (-Hatyina),Ruth•Grulkowski,"9 December 1930 in Waumandee, Wisconsin (USA)","24 June 2012 in Chicago, Illinois (USA)",United States,29246,,Union Chicago Acrobatics,,,,,,
1952 Summer Olympics,Female,"Marie Margaret•Hoesly (Blumer-, -Steinman, -Herbert)",Marie•Hoesly,"5 November 1916 in Perry Township, Wisconsin (USA)","20 September 2003 in Monroe, Wisconsin (USA)",United States,29248,,Madison Turners,,,,,,
1968 Summer Olympics,Female,Colleen Yvonne•Mulvihill,Colleen•Mulvihill,"9 June 1952 in Merrill, Wisconsin (USA)","2 March 2019 in Longmont, Colorado (USA)",United States,29271,160 cm / 46 kg,McKinley YMCA (Young Men's Christian Association),,,,,,
1956 Summer Olympics,Female,"Joyce May•Racek (-Markley, -Budrunas)",Joyce•Racek,"16 August 1938 in West Point, Wisconsin (USA)","4 August 2001 in Littleton, Colorado (USA)",United States,29276,160 cm / 61 kg,Lincoln Turners,,,,,,
1960 Summer Olympics,Female,Sharon Lee•Richardson (-Zuber),Sharon•Richardson,"26 May 1943 in Albion, Wisconsin (USA)",,United States,29278,162 cm / 46 kg,Pond's Palaestrum,,,,,,
1924 Summer Olympics; 1928 Summer Olympics,Male,"John Bartling•Pearson, Jr.",John•Pearson,"30 January 1902 in Waukesha, Wisconsin (USA)","23 April 1984 in Los Angeles, California (USA)",United States,31399,178 cm,"US Navy, (USA)",,,,,,
1968 Summer Olympics,Male,"Frederick Adolph ""Fred""•Roethlisberger",Fred•Roethlisberger,"28 February 1943 in Milwaukee, Wisconsin (USA)",,United States,31412,170 cm / 75 kg,Milwaukee Turners,,,,,,
1992 Summer Olympics; 1996 Summer Olympics; 2000 Summer Olympics,Male,John•Roethlisberger,John•Roethlisberger,"21 June 1970 in Fort Atkinson, Wisconsin (USA)",,United States,31413,171 cm / 73 kg,,,,,,,
1988 Summer Olympics; 1992 Summer Olympics; 1996 Summer Olympics,Female,Laura•Coenen (-Ryan),Laura•Coenen,"16 October 1962 in Neenah, Wisconsin (USA)",,United States,32926,185 cm / 70 kg,,,,,,,
1992 Summer Olympics; 1996 Summer Olympics,Female,Laurie Ann•Fellner,Laurie•Fellner,"15 January 1968 in Muskegon, Wisconsin (USA)",,United States,32933,178 cm / 64 kg,,,,,,,
1984 Summer Olympics,Female,Carol Beth•Lindsey,Carol•Lindsey,"26 March 1955 in Ashland, Wisconsin (USA)",,United States,32944,172 cm / 65 kg,"National Team, (USA)",,,,,,
