state,number
Alabama,58
Alaska,11
Arizona,79
Arkansas,38
California,1492
Colorado,97
Connecticut,99
Delaware,23
Florida,241
Georgia,135
Hawaii,94
Idaho,19
Illinois,389
Indiana,131
Iowa,67
Kansas,84
Kentucky,54
Louisiana,87
Maine,25
Maryland,103
Massachusetts,253
Michigan,203
Minnesota,124
Mississippi,60
Missouri,155
Montana,32
Nebraska,44
Nevada,25
New Hampshire,29
New Jersey,301
New Mexico,31
New York,743
North Carolina,74
North Dakota,10
Ohio,250
Oklahoma,86
Oregon,105
Pennsylvania,447
Rhode Island,37
South Carolina,48
South Dakota,23
Tennessee,58
Texas,366
Utah,45
Vermont,11
Virginia,111
Washington,194
West Virginia,19
Wisconsin,117
Wyoming,7
