Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1972 Winter Olympics,Female,Barbara Ann•Britch (-Craig),Barbara•Britch,"30 March 1951 in Anchorage, Alaska (USA)",,United States,80729,167 cm / 59 kg,Nordic Ski Club,,,,,,
1976 Winter Olympics,Female,Wendy Lee•Burge,Wendy•Burge,"1 October 1957 in Adah, Alaska (USA)",,United States,80754,158 cm / 47 kg,"LAFSC, Los Angeles (USA)",,,,,,
1992 Winter Olympics,Female,"Susan Daphne ""Sue""•Forbes",Sue•Forbes,"25 July 1961 in Anchorage, Alaska (USA)",,United States,81074,,,,,,,,
1994 Winter Olympics,Female,Megan C.•Gerety (-Moe),Megan•Gerety,"14 October 1971 in Anchorage, Alaska (USA)",,United States,81134,168 cm / 66 kg,Alyeska Ski Club,,,,,,
1988 Winter Olympics; 1992 Winter Olympics; 1994 Winter Olympics,Female,Hilary Kirsten•Lindh,Hilary•Lindh,"10 May 1969 in Juneau, Alaska (USA)",,United States,81684,175 cm / 72 kg,,,,,,,
1972 Winter Olympics; 1976 Winter Olympics,Female,"Marguerite ""Margie""•Mahoney-Richter",Margie•Mahoney,"12 May 1952 in Anchorage, Alaska (USA)",,United States,81744,158 cm / 52 kg,Anchorage Nordics,,,,,,
1984 Winter Olympics,Female,Judy•Rabinowitz (-Endestad),Judy•Rabinowitz,"9 April 1958 in Fairbanks, Alaska (USA)",,United States,82147,160 cm / 54 kg,"Harvard Crimson, Cambridge (USA)",,,,,,
1976 Winter Olympics; 1980 Winter Olympics; 1984 Winter Olympics,Female,Margaret Lynn•von der Heide-Spencer-Galanes,Lynn•von der Heide-Spencer-Galanes,"6 June 1954 in Anchorage, Alaska (USA)",,United States,82961,163 cm / 53 kg,,,,,,,
1976 Winter Olympics,Male,Bela Andrew•Bodnar,Bela•Bodnar,"30 June 1952 in Fairbanks, Alaska (USA)",,United States,84211,,,,,,,,
1972 Winter Olympics,Male,Larry John•Martin,Larry•Martin,"29 November 1950 in Glennallen, Alaska (USA)",,United States,92171,175 cm / 66 kg,"Fort Lewis College Skyhawks, Durango (USA)",Tad,,,,,
