Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1980 Winter Olympics,Female,Lisa-Marie•Allen,Lisa-Marie•Allen,"16 September 1960 in Glendale, California (USA)",,United States,80523,,,,,,,,
1968 Winter Olympics,Female,Wendy Irene•Allen,Wendy•Allen,"16 November 1944 in San Pedro, California (USA)",,United States,80525,163 cm / 55 kg,"Mammoth Mountain Ski Club, Mammoth Lakes (USA)",,,,,,
1976 Winter Olympics; 1980 Winter Olympics,Female,Tai Reina•Babilonia (-Butler),Tai•Babilonia,"22 September 1960 in Los Angeles, California (USA)",,United States,80569,159 cm / 46 kg,"LAFSC, Los Angeles (USA)",,,,,,
1994 Winter Olympics,Female,"Chantal L.•Bailey (Dunn-, -Cermak)",Chantal•Bailey,"28 May 1965 in Harbor City, Los Angeles, California (USA)",,United States,80576,173 cm / 72 kg,Montana Skating Club,,,,,,
1980 Winter Olympics; 1984 Winter Olympics,Female,Judy Ann•Blumberg,Judy•Blumberg,"13 September 1957 in Santa Monica, California (USA)",,United States,80680,157 cm / 48 kg,"Pittsburgh FSC, Pittsburgh (USA)",,,,,,
1984 Winter Olympics,Female,Audrey Tiffany (Tingting-)•Chin,Tiffany•Chin,"10 March 1967 in Toluca Lake, California (USA)",,United States,80826,150 cm / 41 kg,"San Diego Figure Skating Club, San Diego (USA)",,,,,,
1980 Winter Olympics; 1984 Winter Olympics,Female,Christin Elizabeth•Cooper,Christin•Cooper,"8 October 1959 in Los Angeles, California (USA)",,United States,80876,170 cm / 57 kg,,Super Coop,,,,,
1972 Winter Olympics; 1976 Winter Olympics,Female,Dianne Margaret•de Leeuw,Dianne•de Leeuw,"19 November 1955 in Orange, California (USA)",,Netherlands,80925,165 cm / 57 kg,,,,,,,
1964 Winter Olympics; 1968 Winter Olympics,Female,Peggy Gale•Fleming (-Jenkins),Peggy•Fleming,"27 July 1948 in San José, California (USA)",,United States,81072,163 cm / 50 kg,"Arctic Blades FSC, Lake Arrowhead (USA) / Broadmoor Skating Club, Colorado Springs (USA)",,,,,,
1976 Winter Olympics; 1980 Winter Olympics,Female,Linda Sue•Fratianne,Linda•Fratianne,"2 August 1960 in Northridge, California (USA)",,United States,81087,153 cm / 41 kg,"LAFSC, Los Angeles (USA)",,,,,,
1988 Winter Olympics,Female,Yvonne•Gómez Muñoz,Yvonne•Gómez,"19 December 1966 in San Francisco, California (USA)",,Spain,81166,157 cm / 46 kg,,,,,,,
1948 Winter Olympics,Female,"Brynhild•Grasmoen (-Robinson, -Dedrick)",Brynhild•Grasmoen,"7 January 1929 in Merced, California (USA)","30 December 2000 in Merced, California (USA)",United States,81187,175 cm / 59 kg,Merced Ski Club,B,,,,,
1936 Winter Olympics,Female,"Clarita•Heath (-Reiter, -Bright)",Clarita•Heath,"27 August 1916 in Pasadena, California (USA)","13 October 2003 in Brookline, Massachusetts (USA)",United States,81267,,,,,,,,
1972 Winter Olympics,Female,Julie Lynn•Holmes (-Newman),Julie Lynn•Holmes,"23 March 1951 in North Hollywood, California (USA)",,United States,81309,163 cm / 50 kg,"Tulsa FSC, Tulsa (USA)",,,,,,
1988 Winter Olympics; 1992 Winter Olympics,Female,"Kristin Elizabeth•Krone (Rogers-, -Vallant)",Kristin•Krone,"17 June 1968 in Sacramento, California (USA)",,United States,81576,167 cm / 65 kg,,,,,,,
1992 Winter Olympics,Female,Natasha Maria Hanako•Kuchiki,Natasha•Kuchiki,"28 October 1976 in Burbank, California (USA)",,United States,81584,159 cm / 50 kg,"LAFSC, Los Angeles (USA)",,,,,,
1956 Winter Olympics,Female,Catherine Louise•Machado,Catherine•Machado,"20 April 1936 in Santa Monica, California (USA)",,United States,81731,,,,,,,,
1960 Winter Olympics; 1964 Winter Olympics,Female,Linda•Meyers (-Tikalsky),Linda•Meyers,"1 July 1937 in Los Angeles, California (USA)",,United States,81821,164 cm / 57 kg,"Mammoth Mountain Ski Club, Mammoth Lakes (USA)",,,,,,
1992 Winter Olympics,Female,Patricia•Neske (-Barone),Patricia•Neske,"19 October 1966 in Harbor City, California (USA)",,Germany,81921,158 cm / 55 kg,"Düsseldorfer EG, Düsseldorf (GER)",,,,,,
1956 Winter Olympics,Female,Carole Anne•Ormaca (-Butler),Carole•Ormaca,"2 June 1936 in Fresno, California (USA)",,United States,81995,,"St. Moritz ISC, Oakland (USA)",,,,,,
1972 Winter Olympics,Female,"Sandra Wayne ""Sandy""•Poulsen",Sandy•Poulsen,"24 July 1952 in San Francisco, California (USA)",,United States,82115,160 cm / 57 kg,,,,,,,
1960 Winter Olympics,Female,"Barbara Ann•Roles (-Pursley, -Williams)",Barbara Ann•Roles,"6 April 1941 in San Mateo, California (USA)",,United States,82215,,"Arctic Blades FSC, Lake Arrowhead (USA)",,,,,,
1984 Winter Olympics,Female,Rosalynn Diane•Sumners (-Kain),Rosalynn•Sumners,"20 April 1964 in Palo Alto, California (USA)",,United States,82496,155 cm / 47 kg,"Seattle Skating Club, Mountlake Terrace (USA)",,,,,,
1968 Winter Olympics,Female,Sandi Sue•Sweitzer (-Wagelein),Sandi•Sweitzer,"16 September 1946 in Santa Monica, California (USA)",,United States,82506,163 cm / 52 kg,Pickwick Center Skating Club,,,,,,
1976 Winter Olympics,Female,"Erika Leslie•Taylforth (Kessler-, Susman-, - Shorr)",Erika•Taylforth,"22 November 1956 in Encino, California (USA)",,Great Britain,82549,,,,,,,,
1988 Winter Olympics; 1992 Winter Olympics,Female,"Edith Olivia ""Edie""•Thys (-Morgan)",Edie•Thys,"31 March 1966 in San Leandro, California (USA)",,United States,82865,165 cm / 64 kg,"Squaw Valley Ski Team, Olympic Valley, California (USA)",,,,,,
1964 Winter Olympics,Female,Starr•Walton (-Hurley),Starr•Walton,"13 May 1942 in Yuba City, California (USA)",,United States,82993,161 cm / 57 kg,"Sugar Bowl Ski Club, Norden, California (USA)",,,,,,
1984 Winter Olympics; 1988 Winter Olympics; 1992 Winter Olympics,Female,Bonny Susan•Warner (-Simi),Bonny•Warner,"7 April 1962 in Mount Baldy, California (USA)",,United States,83005,176 cm / 74 kg,U.S. Luge Association,,,,,,
1992 Winter Olympics,Female,"Kristine Tsuya ""Kristi""•Yamaguchi (-Hedican)",Kristi•Yamaguchi,"12 July 1971 in Hayward, California (USA)",,United States,83078,152 cm / 42 kg,"Edmonton Royal Glenora Club, CAN",,,,,,
1956 Winter Olympics,Male,Rino Luigi•Alberton,Rino•Alberton,"30 March 1936 in Coniston, California (USA)","13 October 1995 in Niagara Falls, Ontario (CAN)",Italy,83521,,"HC Milano Inter, Milano (ITA)",,,,,,
1980 Winter Olympics,Male,Víctor Hugo•Ascarrunz Fonseca,Víctor Hugo•Ascarrunz,"22 December 1960 in Pasadena, California (USA)",,Bolivia,83714,,,,,,,,
1984 Winter Olympics,Male,"Thomas Ray ""Tom""•Barnes",Tom•Barnes,"5 September 1959 in Fairfield, California (USA)",,United States,83857,188 cm / 91 kg,,,,,,,
1968 Winter Olympics,Male,"James Michael ""Jim""•Barrows",Jim•Barrows,"25 April 1944 in Los Angeles, California (USA)",,United States,83865,183 cm / 86 kg,"Colorado Buffaloes, Boulder (USA)",Moose,,,,,
1994 Winter Olympics,Male,"Gregory ""Greg""•Boester",Greg•Boester,"27 November 1968 in Los Angeles, California (USA)",,United States,84214,178 cm / 65 kg,,,,,,,
1984 Winter Olympics; 1988 Winter Olympics; 1994 Winter Olympics,Male,Brian Anthony•Boitano,Brian•Boitano,"22 October 1963 in Mountain View, California (USA)",,United States,84226,180 cm / 75 kg,"Peninsula SC, San José (USA)",,,,,,
1988 Winter Olympics; 1992 Winter Olympics,Male,Christopher Nicol•Bowman,Christopher•Bowman,"30 March 1967 in Hollywood, Los Angeles, California (USA)","10 January 2008 in Los Angeles, California (USA)",United States,84306,178 cm / 70 kg,"LAFSC, Los Angeles (USA)",Bowman the Showman,,,,,
1960 Winter Olympics,Male,Robert Lee•Brewer,Robert•Brewer,"1 March 1939 in Alhambra, California (USA)",,United States,84358,,"LAFSC, Los Angeles (USA)",,,,,,
1952 Winter Olympics,Male,"Richard Carl ""Dick""•Buek",Dick•Buek,"4 November 1929 in Oakland, California (USA)","3 November 1957 in Donner Lake Village, California (USA)",United States,84452,177 cm / 66 kg,,"Mad Dog, Madman of Donner Summit",,,,,
1992 Winter Olympics,Male,John Freeman•Callahan,John•Callahan,"15 September 1962 in Los Angeles, California (USA)",,United States,84557,183 cm / 79 kg,,,,,,,
1984 Winter Olympics,Male,Mark Wayne•Cockerell,Mark•Cockerell,"24 April 1962 in Burbank, California (USA)",,United States,84820,170 cm / 63 kg,"LAFSC, Los Angeles (USA)",,,,,,
1976 Winter Olympics; 1980 Winter Olympics,Male,Randy•Gardner,Randy•Gardner,"2 December 1958 in Los Angeles, California (USA)",,United States,85944,,"LAFSC, Los Angeles (USA)",,,,,,
1972 Winter Olympics; 1976 Winter Olympics,Male,Charles Andrew•Gilmore,Charles•Gilmore,"27 January 1950 in Orange, California (USA)",,United States,86072,183 cm / 75 kg,Glacier Falls Skating Club,,,,,,
1956 Winter Olympics,Male,"Robinson Lewis ""Robin""•Greiner, Jr.",Robin•Greiner,"24 August 1932 in San José, California (USA)",7 November 2021,United States,86219,,"St. Moritz ISC, Oakland (USA)",,,,,,
1992 Winter Olympics,Male,Tom•Hansen,Tom•Hansen,"23 September 1968 in Santa Barbara, California (USA)",,Canada,86447,182 cm / 70 kg,British Columbia Biathlon/Larch Hills Ski Club,,,,,,
1972 Winter Olympics,Male,Ralph Carl•Havens,Ralph•Havens,"10 April 1943 in San Diego, California (USA)",,United States,86521,180 cm / 75 kg,,,,,,,
1964 Winter Olympics; 1968 Winter Olympics,Male,"James Frederic ""Jimmy""•Heuga",Jimmy•Heuga,"22 September 1943 in San Francisco, California (USA)","8 February 2010 in Louisville, Colorado (USA)",United States,86617,168 cm / 72 kg,"Colorado Buffaloes, Boulder (USA) / Squaw Valley Ski Team, Olympic Valley, California (USA)",,,,,,
1964 Winter Olympics,Male,"James Jeremiah ""Jim""•Higgins",Jim•Higgins,"9 March 1936 in Hollywood, Los Angeles, California (USA)",,United States,86635,185 cm / 75 kg,"US Army, (USA)",,,,,,
1988 Winter Olympics,Male,"William Walker ""Bill""•Hudson",Bill•Hudson,"27 June 1966 in Los Angeles, California (USA)",,United States,87222,183 cm / 82 kg,"Squaw Valley Ski Team, Olympic Valley, California (USA)",,,,,,
1960 Winter Olympics; 1964 Winter Olympics,Male,"Richard Howard ""Dick""•Hunt",Dick•Hunt,"31 October 1935 in Los Angeles, California (USA)",,United States,87240,185 cm / 82 kg,"Pasadena AA, Pasadena (USA)",,,,,,
1980 Winter Olympics,Male,"Glenn Rea•Jobe, Jr.","Glenn•Jobe, Jr.","4 March 1951 in Stockton, California (USA)",,United States,87550,190 cm / 75 kg,,,,,,,
1984 Winter Olympics,Male,"William Dean ""Bill""•Johnson",Bill•Johnson,"30 March 1960 in Los Angeles, California (USA)","21 January 2016 in Gresham, Oregon (USA)",United States,87613,175 cm / 77 kg,U.S. Ski Team,,,,,,
1988 Winter Olympics,Male,Hans D.•Johnstone,Hans•Johnstone,"29 May 1961 in Oakland, California (USA)",,United States,87616,178 cm / 77 kg,,,,,,,
1976 Winter Olympics,Male,"Gregory Francis ""Greg""•Jones",Greg•Jones,"3 December 1953 in Truckee, California (USA)",,United States,87626,,,,,,,,
1988 Winter Olympics; 1992 Winter Olympics; 1994 Winter Olympics,Male,Duncan Morrow•Kennedy,Duncan•Kennedy,"20 December 1967 in Burlingame, California (USA)",,United States,87878,180 cm / 77 kg,,,,,,,
1972 Winter Olympics,Male,Clark David•King,Clark•King,"1 December 1949 in Burbank, California (USA)",,United States,87966,183 cm / 69 kg,Pickwick Speedskating Club,,,,,,
1976 Winter Olympics,Male,Terry Paul•Kubicka,Terry•Kubicka,"3 April 1956 in Long Beach, California (USA)",,United States,88675,,"Arctic Blades FSC, Lake Arrowhead (USA)",,,,,,
1968 Winter Olympics,Male,Kim Alfred•Layton,Kim•Layton,"26 November 1942 in San Luis Obispo, California (USA)",,United States,89475,186 cm / 82 kg,"US Air Force, (USA)",,,,,,
1994 Winter Olympics,Male,Éric•LeMarque,Éric•LeMarque,"1 July 1969 in West Hills, California (USA)",,France,89553,175 cm / 78 kg,"Dragons de Rouen, Rouen (FRA)",,,,,,
1992 Winter Olympics,Male,"Maurice William ""Moe""•Mantha",Moe•Mantha,"21 January 1961 in Lakewood, California (USA)",,United States,92118,188 cm / 96 kg,"Winnipeg Jets, Winnipeg (CAN)",,,,,,
