Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1932 Winter Olympics,Male,"Edward Patrick Francis ""Eddie""•Eagan",Eddie•Eagan,"26 April 1898 in Denver, Colorado (USA)","14 June 1967 in New York, New York (USA)",United States,8658,179 cm,"Yale Bulldogs, New Haven (USA)",,,,,,
1956 Winter Olympics,Female,"Lucille Mary•Ash (-McClure, -Klee)",Lucille•Ash,"26 May 1935 in Colorado Springs, Colorado (USA)",,United States,80555,,,,,,,,
1972 Winter Olympics,Female,Barbara Marie•Brown,Barbara•Brown,"21 July 1953 in Denver, Colorado (USA)",,United States,80736,153 cm / 48 kg,"Denver FSC, Centennial, Colorado (USA)",,,,,,
1992 Winter Olympics; 1994 Winter Olympics,Female,Ingrid Jean•Butts,Ingrid•Butts,"30 July 1963 in Denver, Colorado (USA)",,United States,80770,165 cm / 58 kg,Crested Butte Nordic Council,,,,,,
1964 Winter Olympics,Female,Christine•Haigler (-Krall),Christine•Haigler,"5 January 1948 in Colorado Springs, Colorado (USA)",,United States,81230,162 cm / 52 kg,"Broadmoor Skating Club, Colorado Springs (USA)",,,,,,
1976 Winter Olympics,Female,Twila Renee•Hinkle (-Majkowski),Twila•Hinkle,"9 November 1954 in Denver, Colorado (USA)",,United States,81296,,Rocky Mountain Division,,,,,,
1992 Winter Olympics; 1994 Winter Olympics; 1998 Winter Olympics; 2002 Winter Olympics,Female,Nina M.•Kemppel,Nina•Kemppel,"14 October 1970 in Boulder, Colorado (USA)",,United States,81466,178 cm / 64 kg,Alaska Pacific University Nordic Ski Club,,,,,,
1988 Winter Olympics,Female,Beth Anne•Madsen (-McNichol),Beth•Madsen,"12 March 1964 in Aspen, Colorado (USA)",,United States,81737,160 cm / 57 kg,,,,,,,
1992 Winter Olympics; 1994 Winter Olympics,Female,Monique Gia•Pelletier,Monique•Pelletier,"12 July 1969 in Aspen, Colorado (USA)",,United States,82060,167 cm / 66 kg,,Mo,,,,,
1952 Winter Olympics,Female,"Catherine Louise ""Katy""•Rodolph (-Wegeman, -Wyatt)",Katy•Rodolph,"1 November 1930 in Denver, Colorado (USA)","17 September 1994 in Las Vegas, Nevada (USA)",United States,82210,171 cm / 63 kg,,,,,,,
1956 Winter Olympics,Female,Gladys Maxine•Werner (-Walker),Gladys•Werner,"22 December 1933 in Steamboat Springs, Colorado (USA)","20 July 2001 in Steamboat Springs, Colorado (USA)",United States,83029,,"SSWSC, Steamboat Springs (USA)",Skeeter,,,,,
1984 Winter Olympics,Male,Landis Stevens•Arnold,Landis•Arnold,"6 August 1960 in Boulder, Colorado (USA)",,United States,83699,180 cm / 77 kg,"Winter Park Ski Club, Winter Park, Colorado (USA)",,,,,,
1972 Winter Olympics; 1976 Winter Olympics,Male,"Robert Olen•Berkley, Jr.","Robert•Berkley, Jr.","23 September 1948 in Denver, Colorado (USA)",,United States,84055,183 cm / 75 kg,"US Army, (USA)",,,,,,
1972 Winter Olympics,Male,"Douglas Brian ""Doug""•Berndt",Doug•Berndt,"10 September 1949 in Denver, Colorado (USA)","2 February 1995 in Denver, Colorado (USA)",United States,84062,180 cm / 67 kg,"US Air Force, (USA)",,,,,,
1932 Winter Olympics,Male,"Norton Ray ""Nort""•Billings",Nort•Billings,"8 November 1904 in Lyons, Colorado (USA)","1 May 1994 in Longmont, Colorado (USA)",United States,84125,180 cm / 76 kg,,,,,,,
1960 Winter Olympics,Male,John Ray•Burritt,John•Burritt,"23 June 1934 in Cedaredge, Colorado (USA)","7 January 2015 in Cedaredge, Colorado (USA)",United States,84497,,,,,,,,
1972 Winter Olympics; 1976 Winter Olympics,Male,Richard Price•Cavanaugh,Richard•Cavanaugh,"30 June 1948 in Denver, Colorado (USA)",,United States,84658,173 cm / 70 kg,,,,,,,
1980 Winter Olympics; 1988 Winter Olympics,Male,E. Gary•Crawford,Gary•Crawford,"30 August 1957 in Denver, Colorado (USA)",,United States,84896,193 cm / 81 kg,,,,,,,
1956 Winter Olympics,Male,Marvin Leaman•Crawford,Marvin•Crawford,"30 July 1932 in Denver, Colorado (USA)","10 January 2004 in Colorado Springs, Colorado (USA)",United States,84897,,"US Army, (USA)",,,,,,
1968 Winter Olympics,Male,Jere Lee•Elliott,Jere•Elliott,"20 September 1946 in Steamboat Springs, Colorado (USA)",,United States,85480,173 cm / 69 kg,"SSWSC, Steamboat Springs (USA)",,,,,,
1964 Winter Olympics; 1968 Winter Olympics; 1972 Winter Olympics,Male,"Michael Wordsworth ""Mike""•Elliott",Mike•Elliott,"3 April 1942 in Durango, Colorado (USA)",,United States,85481,178 cm / 73 kg,Durango Ski Club,,,,,,
1964 Winter Olympics,Male,"Stanley Clair ""Stan""•Fail",Stan•Fail,"11 June 1936 in Yuma, Colorado (USA)",,United States,85600,180 cm / 77 kg,Demorra Speedskating Club,,,,,,
1960 Winter Olympics,Male,"Scott David ""Dave""•Gorsuch",Dave•Gorsuch,"22 September 1938 in Climax, Colorado (USA)","26 June 2021 in Vail, Colorado (USA)",United States,86153,,Continental Ski Club,,,,,,
