Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1972 Winter Olympics,Female,"Patricia ""Patty""•Boydstun (-Hovdey)",Patty•Boydstun,"22 December 1951 in Council, Idaho (USA)",,United States,80721,153 cm / 50 kg,Payette Lakes Ski Club,,,,,,
1984 Winter Olympics,Female,Maria•Maricich,Maria•Maricich,"30 March 1961 in Sun Valley, Idaho (USA)",,United States,81759,167 cm / 61 kg,"Utah Utes, Salt Lake City (USA)",,,,,,
1976 Winter Olympics,Female,"Susan ""Suzy""•Patterson (-Gillette)",Suzy•Patterson,"11 October 1955 in Sun Valley, Idaho (USA)",,United States,82039,154 cm / 52 kg,"Sun Valley Ski Club, Sun Valley (USA)",,,,,,
1994 Winter Olympics; 1998 Winter Olympics; 2002 Winter Olympics,Female,Picabo•Street,Picabo•Street,"3 April 1971 in Triumph, Idaho (USA)",,United States,82474,170 cm / 74 kg,USSA,,,,,,
1964 Winter Olympics,Female,Margo Lee•Walters (-McDonald),Margo•Walters,"11 March 1942 in Rexburg, Idaho (USA)",,United States,82992,157 cm / 52 kg,"Utah Utes, Salt Lake City (USA)",Magoo,,,,,
1960 Winter Olympics,Male,"James Marvin ""Jim""•Barrier",Jim•Barrier,"7 August 1940 in Wallace, Idaho (USA)","26 August 2000 in Indio, California (USA)",United States,83861,,Kalispell Ski Club,,,,,,
1960 Winter Olympics,Male,Frank Elliott•Brown,Frank•Brown,"16 April 1937 in Boise, Idaho (USA)","4 June 2016 in McCall, Idaho (USA)",United States,84399,,,,,,,,
1964 Winter Olympics,Male,Francis Lloyd•Feltman,Francis•Feltman,"12 March 1939 in Idaho Falls, Idaho (USA)",,United States,85667,183 cm / 77 kg,"US Army, (USA)",Buddy,,,,,
1984 Winter Olympics,Male,"Jeffrey Paul ""Jeff""•Hastings",Jeff•Hastings,"25 June 1959 in Mountain Home, Idaho (USA)",,United States,86503,173 cm / 66 kg,"Ford Sayre, Hanover (USA)",,,,,,
1976 Winter Olympics; 1980 Winter Olympics; 1984 Winter Olympics; 1988 Winter Olympics,Male,Lyle Barber•Nelson,Lyle•Nelson,"9 February 1949 in McCall, Idaho (USA)",,United States,95785,188 cm / 84 kg,,,,,,,
1976 Winter Olympics; 1980 Winter Olympics,Male,"James Peter ""Pete""•Patterson",Pete•Patterson,"4 January 1957 in Sun Valley, Idaho (USA)",,United States,96244,165 cm / 68 kg,,,,,,,
1998 Winter Olympics,Female,Ntala•Skinner (-Quintilio),Ntala•Skinner,"22 February 1973 in Sun Valley, Idaho (USA)",,United States,99590,170 cm / 61 kg,"Sun Valley Ski Club, Sun Valley (USA)",,,,,,
2002 Winter Olympics; 2006 Winter Olympics; 2010 Winter Olympics,Male,Jeret•Peterson,Jeret•Peterson,"12 December 1981 in Boise, Idaho (USA)","25 July 2011 in Emigration Canyon, Utah (USA)",United States,101591,175 cm / 80 kg,Bogus Basin Ski Club/University of Utah,Speedy,,,,,
2002 Winter Olympics,Male,Dane R.•Spencer,Dane•Spencer,"24 December 1977 in Boise, Idaho (USA)",,United States,101793,178 cm / 86 kg,USSA,,,,,,
2006 Winter Olympics; 2010 Winter Olympics; 2014 Winter Olympics,Male,Nate•Holland,Nate•Holland,"8 November 1978 in Sandpoint, Idaho (USA)",,United States,110452,178 cm / 91 kg,,,,,,,
2006 Winter Olympics; 2010 Winter Olympics,Male,Graham•Watanabe,Graham•Watanabe,"19 March 1982 in Sun Valley, Idaho (USA)",,United States,110468,168 cm / 68 kg,Sun Valley Ski Education FND / Colorado Mountain College,,,,,,
2010 Winter Olympics,Female,Hailey•Duke,Hailey•Duke,"17 September 1985 in Sun Valley, Idaho (USA)",,United States,118372,170 cm / 70 kg,"Park City Ski Education Foundation, McCall Ski Team, United States",,,,,,
2010 Winter Olympics; 2014 Winter Olympics,Female,Sara•Studebaker (-Hall),Sara•Studebaker,"7 October 1984 in Boise, Idaho (USA)",,United States,118576,168 cm / 59 kg,US Olympic Training Center / Dartmouth University,,,,,,
2014 Winter Olympics,Female,Kaitlyn Brooke•Farrington,Kaitlyn•Farrington,"18 December 1989 in Hailey, Idaho (USA)",,United States,128764,163 cm / 57 kg,,,,,,,
2014 Winter Olympics; 2018 Winter Olympics,Female,Jessika•Jenson,Jessika•Jenson,"7 August 1991 in Idaho Falls, Idaho (USA)",,United States,128767,165 cm / 54 kg,Westminster College,,,,,,
2014 Winter Olympics,Male,Sage•Kotsenburg,Sage•Kotsenburg,"27 July 1993 in Coeur d'Alene, Idaho (USA)",,United States,128775,178 cm / 75 kg,,,,,,,
2018 Winter Olympics,Female,Caitlin•Patterson,Caitlin•Patterson,"30 January 1990 in McCall, Idaho (USA)",,United States,138271,175 cm / 60 kg,University of Vermont / Craftsbury Green Racing Project,,,,,,
2018 Winter Olympics; 2022 Winter Olympics,Male,Scott•Patterson,Scott•Patterson,"28 January 1992 in McCall, Idaho (USA)",,United States,138276,180 cm / 73 kg,"University of Vermont / Alaska Pacific University Nordic Ski Center, Anchorage",,,,,,
2018 Winter Olympics,Male,Ben•Ferguson,Ben•Ferguson,"21 January 1995 in Boise, Idaho (USA)",,United States,138370,175 cm / 75 kg,,,,,,,
2018 Winter Olympics; 2022 Winter Olympics,Male,Chase•Josey,Chase•Josey,"31 March 1995 in Hailey, Idaho (USA)",,United States,138372,180 cm / 70 kg,Sun Valley Education Foundation (USA),,,,,,
2022 Winter Olympics,Male,Andrew Joseph•Blaser,Andrew•Blaser,"8 May 1989 in Meridian, Idaho (USA)",,United States,149160,,,,,,,,
