Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1936 Winter Olympics,Female,Mary Elizabeth•Bird (-Young),Mary•Bird,"10 June 1910 in Chicago, Illinois (USA)","3 November 2002 in Sharon, Connecticut (USA)",United States,80663,,White Mountain Ski Club,,,,,,
1960 Winter Olympics,Female,Beverly Jean•Buhr,Beverly•Buhr,"16 July 1941 in Evanston, Illinois (USA)",,United States,80751,,"Northbrook Speedskating Club, Northbrook (USA)",,,,,,
1968 Winter Olympics,Female,Toy Joan•Dorgan (-Martin),Toy•Dorgan,"29 December 1946 in Springfield, Illinois (USA)",,United States,80964,168 cm / 58 kg,,,,,,,
1980 Winter Olympics,Female,"Deborah Kay ""Debra""•Genovese",Debra•Genovese,"9 March 1955 in Rockford, Illinois (USA)",,United States,81132,157 cm / 48 kg,,,,,,,
1984 Winter Olympics; 1988 Winter Olympics,Female,"Janet Elizabeth ""Jane""•Goldman",Jane•Goldman,"16 September 1964 in Skokie, Illinois (USA)",,United States,81162,170 cm / 58 kg,"Northbrook Speedskating Club, Northbrook (USA)",Jan,,,,,
1976 Winter Olympics,Female,"Dorothy Stuart•Hamill (-Martin, -Forsythe)",Dorothy•Hamill,"26 July 1956 in Chicago, Illinois (USA)",,United States,81238,160 cm / 55 kg,"Skating Club of New York, New York (USA)",,,,,,
1968 Winter Olympics; 1972 Winter Olympics,Female,Dianne Mary•Holum,Dianne•Holum,"19 May 1951 in Chicago, Illinois (USA)",,United States,81312,167 cm / 56 kg,"Northbrook Speedskating Club, Northbrook (USA)",,,,,,
1964 Winter Olympics,Female,Vivian Laureen•Joseph,Vivian•Joseph,"7 March 1948 in Chicago, Illinois (USA)",,United States,81424,159 cm / 57 kg,"Chicago Figure Skating Club, Glenview (USA)",,,,,,
1980 Winter Olympics,Female,"Sandra J. ""Sandy""•Lenz (-Jackson)",Sandy•Lenz,"10 June 1960 in Rockford, Illinois (USA)",,United States,81656,,,,,,,,
1960 Winter Olympics; 1964 Winter Olympics,Female,"Barbara Day ""Barb""•Lockhart",Barb•Lockhart,"3 September 1941 in Chicago, Illinois (USA)",,United States,81702,171 cm / 66 kg,"Northwest Chicago Speedskating Club, Chicago (USA)",,,,,,
1968 Winter Olympics; 1972 Winter Olympics,Female,"Janet•Lynn (Nowicki-, -Salomon)",Janet•Lynn,"6 April 1953 in Chicago, Illinois (USA)",,United States,81726,158 cm / 49 kg,Wagon Wheel Figure Skating Club,,,,,,
1976 Winter Olympics,Female,Colleen M.•O'Connor,Colleen•O'Connor,"17 December 1951 in Chicago, Illinois (USA)",,United States,81965,160 cm / 51 kg,"Broadmoor Skating Club, Colorado Springs (USA)",,,,,,
1972 Winter Olympics; 1976 Winter Olympics; 1980 Winter Olympics,Female,Leah Jean•Poulos-Mueller,Leah•Poulos-Mueller,"5 October 1951 in Berwyn, Illinois (USA)",,United States,82114,170 cm / 59 kg,"Northbrook Speedskating Club, Northbrook (USA)",,,,,,
1984 Winter Olympics,Female,Lydia Rose•Stephans (-Murphy),Lydia•Stephans,"19 October 1960 in Chicago, Illinois (USA)",,United States,82459,160 cm / 57 kg,"Northbrook Speedskating Club, Northbrook (USA)",,,,,,
1976 Winter Olympics; 1984 Winter Olympics; 1988 Winter Olympics,Female,Nancy Louise•Swider-Peltz,Nancy•Swider-Peltz,"20 August 1956 in Chicago, Illinois (USA)",,United States,82507,167 cm / 57 kg,Wheaton,,,,,,
1988 Winter Olympics,Female,Jill Ann•Trenary (-Dean),Jill•Trenary,"1 August 1968 in Chicago, Illinois (USA)",,United States,82887,162 cm / 52 kg,"Broadmoor Skating Club, Colorado Springs (USA)",,,,,,
1992 Winter Olympics,Female,Calla Vita•Urbanski (-Petka),Calla•Urbanski,"26 June 1960 in Chicago, Illinois (USA)",,United States,82912,150 cm / 42 kg,"University of Delaware FSC, Newark (USA)",,,,,,
1968 Winter Olympics; 1972 Winter Olympics,Male,"Nathaniel Hopkins ""Neil""•Blatchford, IV",Neil•Blatchford,"5 October 1945 in Chicago, Illinois (USA)",,United States,84174,183 cm / 80 kg,"Northbrook Speedskating Club, Northbrook (USA)",,,,,,
1952 Winter Olympics; 1956 Winter Olympics,Male,"Charles William ""Chuck""•Burke",Chuck•Burke,"8 October 1930 in Chicago, Illinois (USA)",,United States,84484,,Northbrook Speed Skating Club/U.S. Army,,,,,,
