Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1980 Winter Olympics; 1988 Winter Olympics,Female,Leslie B.•Bancroft-Krichko,Leslie•Bancroft-Krichko,"22 February 1959 in Portland, Maine (USA)",,United States,80589,178 cm / 66 kg,,,,,,,
1994 Winter Olympics,Female,Anne-Lise•Parisien,Anne-Lise•Parisien,"22 October 1972 in Lewiston, Maine (USA)",,United States,82029,162 cm / 55 kg,,Anna,,,,,
1960 Winter Olympics; 1964 Winter Olympics,Male,"Charles Arthur ""Charlie""•Akers",Charlie•Akers,"12 July 1939 in Rumford, Maine (USA)","30 June 2016 in Palmer, Alaska (USA)",United States,83511,177 cm / 73 kg,U.S. Army/University of Maine,,,,,,
1976 Winter Olympics; 1980 Winter Olympics,Male,Karl Ruben•Anderson,Karl•Anderson,"6 August 1953 in Lewiston, Maine (USA)",,United States,83604,173 cm / 78 kg,"Sugarloaf Mountain Ski Club, Carrabassett Valley (USA)",,,,,,
1976 Winter Olympics,Male,"Daniel George ""Dan""•Bolduc",Dan•Bolduc,"6 April 1953 in Waterville, Maine (USA)",,United States,84231,,"Harvard Crimson, Cambridge (USA)",,,,,,
1964 Winter Olympics; 1968 Winter Olympics,Male,John Ford•Bower,John•Bower,"8 November 1940 in Lewiston, Maine (USA)","6 June 2017 in Park City, Utah (USA)",United States,84302,178 cm / 83 kg,"US Army, (USA)",,,,,,
1948 Winter Olympics; 1952 Winter Olympics,Male,Wendall W.•Broomhall,Wendall•Broomhall,"3 December 1919 in Mexico, Maine (USA)","30 December 2017 in Paris, Maine (USA)",United States,84394,,"Chisholm Ski Club, Rumford (USA)",Chummy,,,,,
1994 Winter Olympics,Male,"Christopher ""Chris""•Imes",Chris•Imes,"27 August 1972 in Norway, Maine (USA)",,United States,87336,180 cm / 89 kg,"Maine Black Bears, Orono, Maine (USA)",,,,,,
1972 Winter Olympics,Male,"Robert Cloudman ""Bob""•Kendall",Bob•Kendall,"23 July 1947 in Augusta, Maine (USA)",,United States,87876,178 cm / 75 kg,"US Army, (USA)",,,,,,
1968 Winter Olympics,Male,Jon Alton•Lufkin,Jon•Lufkin,"9 July 1947 in Rumford, Maine (USA)",,United States,91935,179 cm / 66 kg,Durango Ski Club,,,,,,
1972 Winter Olympics; 1976 Winter Olympics,Male,"Terrance William N. ""Terry""•O'Brien",Terry•O'Brien,"28 July 1943 in Portland, Maine (USA)",,United States,95950,183 cm / 82 kg,"US Air Force, (USA)",,,,,,
1952 Winter Olympics,Male,Robert Walter•Pidacks,Robert•Pidacks,"28 January 1929 in Rumford, Maine (USA)","28 March 1999 in St. Pete Beach, Florida (USA)",United States,96428,,Maine Outing Club,,,,,,
1984 Winter Olympics; 1988 Winter Olympics,Male,"Daniel Owen ""Dan""•Simoneau",Dan•Simoneau,"9 January 1959 in Farmington, Maine (USA)",,United States,97557,175 cm / 75 kg,Oregon Nordic Club,,,,,,
1968 Winter Olympics,Male,"Thomas Ferguson ""Tom""•Upham",Tom•Upham,"2 May 1943 in Lewiston, Maine (USA)",,United States,98489,180 cm / 75 kg,"Colorado Buffaloes, Boulder (USA)",,,,,,
1998 Winter Olympics; 2002 Winter Olympics; 2006 Winter Olympics,Female,Kirsten Lee•Clark (-Rickenbach),Kirsten•Clark,"23 April 1977 in Raymond, Maine (USA)",,United States,99434,167 cm / 66 kg,"Sugarloaf Mountain Ski Club, Carrabassett Valley (USA)",,,,,,
2002 Winter Olympics,Male,Brian•Welch,Brian•Welch,"18 January 1984 in Portland, Maine (USA)",,United States,101153,173 cm / 59 kg,National Sports Federation,,,,,,
2010 Winter Olympics,Female,Julia•Clukey,Julia•Clukey,"29 April 1985 in Augusta, Maine (USA)",,United States,119435,175 cm / 68 kg,Maine,,,,,,
2010 Winter Olympics,Female,Megan Rae•Sweeney,Megan•Sweeney,"17 February 1987 in Portland, Maine (USA)",,United States,119442,165 cm / 70 kg,Empire State College,,,,,,
2014 Winter Olympics,Male,Russell•Currier,Russell•Currier,"26 June 1987 in Stockholm, Maine (USA)",,United States,128678,173 cm / 66 kg,Maine Winter Sports Center (USA),,,,,,
2018 Winter Olympics; 2022 Winter Olympics,Female,Laurel Clare•Egan,Clare•Egan,"19 November 1987 in Portland, Maine (USA)",,United States,138255,173 cm / 57 kg,"University of New Hampshire / US Olympic Training Center, Lake Placid",,,,,,
2018 Winter Olympics,Male,Troy•Murphy,Troy•Murphy,"13 June 1992 in Bethel, Maine (USA)",,United States,138298,180 cm / 75 kg,Park City Freestyle Ski Team (USA),,,,,,
2018 Winter Olympics; 2022 Winter Olympics; 2026 Winter Olympics,Female,Emily Carolyn•Sweeney,Emily•Sweeney,"16 March 1993 in Portland, Maine (USA)",,United States,138347,165 cm / 67 kg,Army World Class Athlete Program (WCAP) (USA),,,,,,
