Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1952 Winter Olympics; 1956 Winter Olympics,Female,"Tenley Emma•Albright (-Gardiner, -Blakely)",Tenley•Albright,"18 July 1935 in Newton Center, Massachusetts (USA)",,United States,80519,,"Skating Club of Boston, Boston (USA)",,,,,,
1924 Winter Olympics; 1928 Winter Olympics,Female,Theresa•Weld-Blanchard (-Barnes),Theresa•Weld-Blanchard,"21 August 1893 in Brookline, Massachusetts (USA)","12 March 1978 in Boston, Massachusetts (USA)",United States,80676,,"Skating Club of Boston, Boston (USA)",,,,,,
1980 Winter Olympics; 1984 Winter Olympics,Female,"Caitlin A. ""Kitty""•Carruthers (-Conrad)",Kitty•Carruthers,"30 May 1961 in Boston, Massachusetts (USA)",,United States,80800,152 cm / 44 kg,"Skating Club of Wilmington, Wilmington (USA)",,,,,,
1994 Winter Olympics,Female,Karen•Cashman (-Lehmann),Karen•Cashman,"15 December 1971 in Plymouth, Massachusetts (USA)",,United States,80803,165 cm / 61 kg,,,,,,,
1980 Winter Olympics,Female,Susan Hall•Charlesworth,Susan•Charlesworth,"12 January 1954 in Weston, Massachusetts (USA)",,United States,80812,162 cm / 53 kg,,,,,,,
1992 Winter Olympics,Female,"Margareth M. ""Maggie""•Connor",Maggie•Connor,"1 September 1963 in Salem, Massachusetts (USA)",,United States,80872,175 cm / 66 kg,,,,,,,
1984 Winter Olympics,Female,"Antoinette Helen ""Toni""•Damigella",Toni•Damigella,"19 July 1966 in Quincy, Massachusetts (USA)",,United States,80912,176 cm / 69 kg,U.S. Luge Association,,,,,,
1932 Winter Olympics,Female,Suzanne•Davis (-King),Suzanne•Davis,"7 February 1912 in Waban, Massachusetts (USA)","28 July 1991 in Richmond, Virginia (USA)",United States,80919,,"Skating Club of Boston, Boston (USA)",,,,,,
1980 Winter Olympics; 1984 Winter Olympics,Female,Holly Beth•Flanders (-Schlopy),Holly•Flanders,"26 December 1957 in Arlington, Massachusetts (USA)",,United States,81070,167 cm / 65 kg,,,,,,,
1960 Winter Olympics; 1964 Winter Olympics,Female,Joan Lee•Hannah (-Robinson),Joan•Hannah,"27 April 1939 in Boston, Massachusetts (USA)",,United States,81247,162 cm / 57 kg,"Mammoth Mountain Ski Club, Mammoth Lakes (USA)",,,,,,
1976 Winter Olympics,Female,"Susan Marie ""Susie""•Kelley",Susie•Kelley,"1 November 1954 in Needham, Massachusetts (USA)",,United States,81464,158 cm / 45 kg,"Skating Club of Boston, Boston (USA)",,,,,,
1992 Winter Olympics; 1994 Winter Olympics,Female,Nancy Ann•Kerrigan (-Solomon),Nancy•Kerrigan,"13 October 1969 in Woburn, Massachusetts (USA)",,United States,81471,162 cm / 52 kg,"Colonial Figure Skating Club, Boxborough, Massachusetts (USA)",,,,,,
1960 Winter Olympics,Female,Nancy Irene Rouillard•Ludington,Nancy•Ludington,"25 July 1939 in Stoneham, Massachusetts (USA)",,United States,81712,,Commonwealth Figure Skating Club,,,,,,
1936 Winter Olympics,Female,Grace E.•Madden (-Ward),Grace•Madden,"30 July 1911 in Marblehead, Massachusetts (USA)","14 June 1987 in Darien, Connecticut (USA)",United States,81736,,"Skating Club of Boston, Boston (USA)",,,,,,
1948 Winter Olympics,Female,Gretchen Van Zandt•Merrill (-Gay),Gretchen•Merrill,"2 November 1925 in Boston, Massachusetts (USA)","22 April 1965 in Windsor, Connecticut (USA)",United States,81816,,"Skating Club of Boston, Boston (USA)",Queenie,,,,,
1988 Winter Olympics; 1992 Winter Olympics,Female,"Leslie Kay ""LeeLee""•Morrison-Henry",LeeLee•Morrison-Henry,"2 October 1960 in Norwood, Massachusetts (USA)",,Canada,81874,172 cm / 59 kg,National Team,,,,,,
1964 Winter Olympics; 1968 Winter Olympics,Female,"Albertina Natalie ""Tina""•Noyes",Tina•Noyes,"7 January 1949 in Cambridge, Massachusetts (USA)",,United States,81958,160 cm / 52 kg,"Skating Club of Boston, Boston (USA)",,,,,,
